tenant_key,platform_name,platform_type,hosting_model,data_center_or_region,technology_stack,operational_owner,criticality,lifecycle_state,capacity_or_scale,constraints,future_target_flag,volumetric_narrative,known_challenges_narrative,known_upgrades_plan_narrative,data_quality_notes,maturity_assessment_narrative,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,infrastructure_id,inherited_line_of_business,inherited_function_tier,inherited_segment_hops
skyharbor-air,DC-East Primary Data Center,Owned Data Center,on_premise,"Chicago, IL metro (DC-East)",Cisco core switching; NetApp/Pure storage; VMware vSphere compute,VP Infrastructure & Cloud,tier1,current,"~1,850 physical/virtual server instances; N+1 power and cooling",Approaching floor-space capacity; expansion requires a 9-month facilities lead time,false,"Runs at roughly 26% average utilization with peaks to 44% during year-end close; hosts 9,488 workloads/instances for IT infrastructure engineers.","the user interface has not been modernized since the original implementation, slowing IT infrastructure engineers down, and failover to the secondary site has not been fully tested against current production load.",VP Infrastructure & Cloud has scheduled a version upgrade for Q4 FY26 as part of the multi-year infrastructure roadmap.,"Known duplicate-record rate of roughly 26% in compute, storage, and power capacity data, mostly from the DC-West Secondary Data Center interface not deduplicating on load.","Adoption is uneven across stations among IT infrastructure engineers; governance is developing with VP Infrastructure & Cloud as the named accountable owner; technical debt is significant, concentrated in the batch scheduling logic.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror vendor capacity-planning exports; validate against real AWS/Azure/GCP CUR data and on-prem capacity reports before promotion.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,2,INFRA-0001,synthetic-demo,9492b8ccf7a78edcfb562cc2f90a050663a2942a493297239f80216b5c027249,enriched_dense_synthetic_generation_2026_07,none,INF-21e8c2877c,cargo;enterprise;mainline;regional,back;middle,2
skyharbor-air,DC-West Secondary Data Center (DR),Owned Data Center,on_premise,"Dallas, TX metro (DC-West)",Cisco core switching; NetApp/Pure storage; VMware vSphere compute,VP Infrastructure & Cloud,tier1,current,~620 physical/virtual server instances; DR failover target for tier-1 systems,Failover has not been fully tested against current production load since the last capacity expansion,false,Runs at roughly 29% average utilization with peaks to 65% during irregular-ops weather events; hosts 592 workloads/instances for IT infrastructure engineers.,"the user interface has not been modernized since the original implementation, slowing IT infrastructure engineers down, and failover to the secondary site has not been fully tested against current production load.",VP Infrastructure & Cloud has scheduled expansion of real-time integration coverage for H1 FY27 as part of the multi-year infrastructure roadmap.,"Known duplicate-record rate of roughly 29% in disaster-recovery capacity and failover test data, mostly from the DC-East Primary Data Center interface not deduplicating on load.","Adoption is growing but below target among IT infrastructure engineers; governance is informal with VP Infrastructure & Cloud as the named accountable owner; technical debt is moderate, concentrated in custom modifications that block vendor upgrades.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror vendor capacity-planning exports; validate against real AWS/Azure/GCP CUR data and on-prem capacity reports before promotion.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,3,INFRA-0002,synthetic-demo,2cb876134eaf1ecc2ca04bf0f33c36548981fd963b7df07ef07c4b885635209a,enriched_dense_synthetic_generation_2026_07,none,INF-d47a927f41,cargo;enterprise;mainline;regional,back;middle,2
skyharbor-air,Fort Worth Tech Ops Data Closet,Owned Data Center,on_premise,"Fort Worth, TX (Tech Ops Center)",Cisco switching; local VMware cluster,Director Mainframe & Legacy Platforms,tier2,current,~85 server instances supporting TRAX and local MRO tools,No formal DR failover target; runbook is informal,false,"Runs at roughly 19% average utilization with peaks to 41% during hurricane season disruption events; hosts 8,444 workloads/instances for MRO planners.","reporting lags production data by up to 14 hours because refresh is still batch-based, and failover to the secondary site has not been fully tested against current production load.",Director Mainframe & Legacy Platforms has scheduled an API modernization for Q2 FY27 as part of the multi-year infrastructure roadmap.,"local Tech Ops infrastructure data completeness is strong (~19%), but cross-reference accuracy against DC-East Primary Data Center has not been formally measured.","Adoption is moderate among MRO planners; governance is centralized but under-resourced with Director Mainframe & Legacy Platforms as the named accountable owner; technical debt is low, concentrated in the integration layer.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror vendor capacity-planning exports; validate against real AWS/Azure/GCP CUR data and on-prem capacity reports before promotion.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,4,INFRA-0003,synthetic-demo,f2293eaf99e93d173596deabd736a9e1916da2780a2bf49e6fa0cb6458eca8d3,enriched_dense_synthetic_generation_2026_07,none,INF-1e9e00eaa6,enterprise,back,2
skyharbor-air,Denver Meridian Co-lo Facility,Owned/Colo Data Center,on_premise,"Denver, CO (former Meridian HQ)",Legacy Cisco/HP switching and storage inherited from Meridian Regional Airways,Meridian Regional Technology Office,tier2,current,~140 server instances hosting Meridian legacy PSS/crew/finance systems,End-of-support hardware on several legacy nodes; consolidation into DC-East planned,false,"Runs at roughly 30% average utilization with peaks to 64% during the winter holiday period; hosts 5,278 workloads/instances for IT infrastructure engineers supporting the Meridian integration.",access provisioning for new IT infrastructure engineers supporting the Meridian integration takes 3 business days versus the 1-day target; capacity headroom has fallen below the 20% operating standard during the winter holiday period in the last two cycles.,Meridian Regional Technology Office has scheduled consolidating remaining Meridian legacy workloads into DC-East for FY27 as part of the multi-year infrastructure roadmap.,A residual data quality gap from the Meridian Regional integration means 30% of Meridian legacy infrastructure inventory data records still carry the legacy Meridian identifier scheme instead of the mainline standard.,"Adoption is growing but below target among IT infrastructure engineers supporting the Meridian integration; governance is centralized but under-resourced with Meridian Regional Technology Office as the named accountable owner; technical debt is concentrated but manageable, concentrated in unsupported middleware versions.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror vendor capacity-planning exports; validate against real AWS/Azure/GCP CUR data and on-prem capacity reports before promotion.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,5,INFRA-0004,synthetic-demo,ff1c2628c728baf9a68e88c36f5d3fb3711ef3ce3185b9591695387e9e721e8d,enriched_dense_synthetic_generation_2026_07,none,INF-d754dc6f61,cargo;enterprise;loyalty;mainline;regional,back;front;middle,2
skyharbor-air,IBM z16 Mainframe LPAR — PROD1,Mainframe,mainframe,DC-East Primary Data Center,IBM z16; z/OS; CICS; DB2 for z/OS,Director Mainframe & Legacy Platforms,tier1,current,Reservations/revenue-accounting batch capacity; MIPS utilization ~68% average,Vendor support cost has risen the past two renewal cycles; internal COBOL/CICS skills bench is shrinking,false,"Runs at roughly 17% average utilization with peaks to 50% during peak summer travel; hosts 9,562 workloads/instances for mainframe systems programmers.","duplicate manual data entry between this system and CA-7 Mainframe Batch Scheduler, and failover to the secondary site has not been fully tested against current production load.","Capacity expansion / an API modernization planned for late FY27, owned by Director Mainframe & Legacy Platforms.","mainframe capacity and batch-throughput data completeness is strong (~17%), but cross-reference accuracy against CA-7 Mainframe Batch Scheduler has not been formally measured.","Adoption is strong at hub stations but weak at outstations among mainframe systems programmers; governance is developing with Director Mainframe & Legacy Platforms as the named accountable owner; technical debt is concentrated but manageable, concentrated in custom modifications that block vendor upgrades.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror vendor capacity-planning exports; validate against real AWS/Azure/GCP CUR data and on-prem capacity reports before promotion.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,6,INFRA-0005,synthetic-demo,e49d5d89259723c6ee38de310b70fe360f7d3c1c0ef7699ff4c9d186daa96c04,enriched_dense_synthetic_generation_2026_07,none,INF-82bc694aee,enterprise,back,2
skyharbor-air,IBM z16 Mainframe LPAR — DR1,Mainframe,mainframe,DC-West Secondary Data Center,IBM z16; z/OS; CICS; DB2 for z/OS,Director Mainframe & Legacy Platforms,tier1,current,DR-standby LPAR mirroring PROD1,Last full DR cutover test predates the current CA-7 job dependency map,false,"Runs at roughly 13% average utilization with peaks to 47% during irregular-ops weather events; hosts 11,405 workloads/instances for mainframe systems programmers.",duplicate manual data entry between this system and IBM z16 Mainframe LPAR — PROD1; capacity headroom has fallen below the 20% operating standard during irregular-ops weather events in the last two cycles.,Director Mainframe & Legacy Platforms has scheduled an API modernization for H1 FY27 as part of the multi-year infrastructure roadmap.,"mainframe DR readiness data completeness is strong (~13%), but cross-reference accuracy against IBM z16 Mainframe LPAR — PROD1 has not been formally measured.","Adoption is uneven across stations among mainframe systems programmers; governance is well-established with Director Mainframe & Legacy Platforms as the named accountable owner; technical debt is moderate, concentrated in hard-coded station configuration.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror vendor capacity-planning exports; validate against real AWS/Azure/GCP CUR data and on-prem capacity reports before promotion.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,7,INFRA-0006,synthetic-demo,dec382044b9bc45b9ffd2413ed40e5688040d329cc4f063eca1e62c96acf0adc,enriched_dense_synthetic_generation_2026_07,none,INF-38e7a9c7a0,enterprise,back,2
skyharbor-air,SkyHarbor Private Cloud — DC-East VMware Cluster,Private Cloud,private_cloud,DC-East Primary Data Center,"VMware vSphere/NSX; hosts AIMS Crew, TRAX, and internal middleware",VP Infrastructure & Cloud,tier1,current,"~410 VMs across crew, MRO, and integration workloads",Some hosts running past the vendor-recommended refresh cycle,false,"Throughput of 27 VM instances hosted/day; 9,150 connected downstream systems depend on its availability.","mobile/offline connectivity drops at the Miami (MIA) cargo hub, forcing a paper or manual fallback; capacity headroom has fallen below the 20% operating standard during the winter holiday period in the last two cycles.","Capacity expansion / expansion of real-time integration coverage planned for Q2 FY27, owned by VP Infrastructure & Cloud.","Known duplicate-record rate of roughly 10% in private-cloud VM inventory data, mostly from the DC-East Primary Data Center interface not deduplicating on load.",Technical debt is significant (chiefly the reporting layer); functional adoption by cloud platform engineers is strong at hub stations but weak at outstations; governance maturity is centralized but under-resourced pending a signed-off ownership RACI.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror vendor capacity-planning exports; validate against real AWS/Azure/GCP CUR data and on-prem capacity reports before promotion.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,8,INFRA-0007,synthetic-demo,43945f9d743a4b699f087c114e16e4842a394b725c9e30ec9caba0c485d48637,enriched_dense_synthetic_generation_2026_07,none,INF-4bf6c6f8ac,cargo;enterprise;mainline;regional,back;middle,2
skyharbor-air,AWS Production Workload Account,Public Cloud Account,aws,us-east-1 (primary); us-west-2 (DR),EC2; RDS; S3; EKS; Lambda,VP Infrastructure & Cloud,tier1,current,"~1,240 production compute instances; multi-AZ",Multi-cloud tagging inconsistency makes cost allocation to business functions partly manual,false,Runs at roughly 30% average utilization with peaks to 67% during peak summer travel; hosts 728 workloads/instances for cloud platform engineers.,"reporting lags production data by up to 13 hours because refresh is still batch-based, and failover to the secondary site has not been fully tested against current production load.",VP Infrastructure & Cloud has scheduled a version upgrade for Q4 FY26 as part of the multi-year infrastructure roadmap.,"AWS production workload capacity data completeness is strong (~30%), but cross-reference accuracy against Confluent Kafka Event Backbone has not been formally measured.",Technical debt is concentrated but manageable (chiefly the original 2016-era codebase); functional adoption by cloud platform engineers is uneven across stations; governance maturity is informal pending a documented data steward assignment.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror vendor capacity-planning exports; validate against real AWS/Azure/GCP CUR data and on-prem capacity reports before promotion.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,9,INFRA-0008,synthetic-demo,dfdabe3938b0970d367d19dd64c03fb75f0f8f816bd1973f8a980bd62a6b1ae1,enriched_dense_synthetic_generation_2026_07,none,INF-8be3e05881,cargo;enterprise;mainline;regional,back;middle,2
skyharbor-air,AWS Data & Analytics Account,Public Cloud Account,aws,us-east-1,S3 data lake; Databricks on AWS; Glue; Redshift Spectrum,VP Data & AI Platforms,tier1,current,~2.1 PB data lake storage; growing ~18%/quarter,Bronze/silver/gold medallion layering is not yet certified across all domains,false,"Capacity: 24,274 data lake storage volume, 5% provisioned, with headroom reviewed quarterly by data engineers.","reporting lags production data by up to 10 hours because refresh is still batch-based, and failover to the secondary site has not been fully tested against current production load.","Capacity expansion / migration to the cloud-hosted successor platform planned for late FY27, owned by VP Data & AI Platforms.","AWS data & analytics platform capacity data fields are largely complete, but 5% of records show stale location values older than 1183 days.","Developing governance maturity — VP Data & AI Platforms owns the platform, but a formal RACI for data stewardship is still pending. Adoption sits at high among data engineers. Technical debt is low.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror vendor capacity-planning exports; validate against real AWS/Azure/GCP CUR data and on-prem capacity reports before promotion.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,10,INFRA-0009,synthetic-demo,2f9a37484f07fed33d96be3507c7d56fd2b9975ba2cc497ebf7771274e423bef,enriched_dense_synthetic_generation_2026_07,none,INF-5f1b7e0cf6,enterprise;loyalty;mainline;mro;regional,back;front;middle,2
skyharbor-air,AWS Development/Non-Prod Account,Public Cloud Account,aws,us-east-1,EC2; RDS; EKS (dev/test),VP Infrastructure & Cloud,tier3,current,~380 non-production instances,Non-prod cost governance is weaker than production; idle-instance cleanup is manual,false,"Capacity: 53,535 non-prod instances running, 14% provisioned, with headroom reviewed quarterly by IT application support engineers.","the user interface has not been modernized since the original implementation, slowing IT application support engineers down, and failover to the secondary site has not been fully tested against current production load.",VP Infrastructure & Cloud has scheduled a phased module rollout for Q2 FY27 as part of the multi-year infrastructure roadmap.,"non-production cloud capacity data is well-governed for production use, though historical records prior to 2020 lack consistent location tagging.","Developing governance maturity — VP Infrastructure & Cloud owns the platform, but a formal RACI for data stewardship is still pending. Adoption sits at growing but below target among IT application support engineers. Technical debt is elevated and actively being paid down.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror vendor capacity-planning exports; validate against real AWS/Azure/GCP CUR data and on-prem capacity reports before promotion.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,universal-standard-v3,11,INFRA-0010,synthetic-demo,a303712c461ee625ebe2849af05014b63e9029e2bea94664ff0aa9b895f86cee,enriched_dense_synthetic_generation_2026_07,none,INF-eb5fb539a7,cargo;enterprise;mainline;regional,back;middle,2
