tenant_key,system_name,servicenow_ci_sys_id,reporting_period,total_incidents,p1_incidents,p2_incidents,p3_incidents,p4_incidents,avg_mttr_hours,p1_mttr_hours,sla_target_pct,sla_actual_pct,sla_breach_count,top_root_cause_category,change_requests_count,change_success_rate_pct,escalation_to_vendor_count,service_desk_provider,notes,source_classification,generation_method
skyharbor-air,Amadeus Altéa Inventory,SHACMDB-f005de2d41,trailing_12mo_ending_2026-07-31,49,5,13,18,13,2.1,1.1,99.9,100,0,vendor-side outage,9,93.9,7,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"SLA performance is borderline for this tier1 system — one known operational risk factor on record, not yet consistently breaching.",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Amadeus Altéa Reservations,SHACMDB-54803ffd82,trailing_12mo_ending_2026-07-31,39,3,11,15,10,2.1,1.1,99.9,100,0,vendor-side outage,6,97.7,7,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"SLA performance is borderline for this tier1 system — one known operational risk factor on record, not yet consistently breaching.",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Amadeus Altéa Departure Control (DCS),SHACMDB-7c96709187,trailing_12mo_ending_2026-07-31,46,3,12,18,13,2.7,1.6,99.9,99.91,0,batch/scheduling delay,12,84.1,8,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"Ticket volume and SLA performance run under pressure, tracking the known operational issue already on record for this system (Known constraint: mobile/offline connectivity drops at the Chicago (ORD) hub, forcing a paper or manual fallback).",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,NDC Distribution API Gateway,SHACMDB-8d9480c39c,trailing_12mo_ending_2026-07-31,52,5,12,20,15,1.4,0.8,99.9,100,0,integration/interface failure,10,92.9,7,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,GDS Booking Connector — Sabre,SHACMDB-410aa10920,trailing_12mo_ending_2026-07-31,25,0,5,11,9,2.5,1.4,99.5,99.89,0,integration/interface failure,4,95.8,4,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier2 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,GDS Booking Connector — Travelport,SHACMDB-02332e9c29,trailing_12mo_ending_2026-07-31,9,0,1,4,4,6.2,2.9,98,98.26,0,infrastructure/network,2,95.3,1,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier3 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,SkyHarbor.com Direct Booking Engine,SHACMDB-35e65488f6,trailing_12mo_ending_2026-07-31,44,3,10,17,14,1.6,1,99.9,100,0,access/authentication,7,98.5,9,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,SkyHarbor Mobile App Backend,SHACMDB-31b457c7dd,trailing_12mo_ending_2026-07-31,38,3,11,15,9,1.2,0.6,99.9,100,0,access/authentication,7,93.2,9,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Group & Charter Booking Desk Tool,SHACMDB-8ac7648eb6,trailing_12mo_ending_2026-07-31,25,0,4,10,11,13.4,5.4,98,97.55,2,infrastructure/network,4,91.3,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"Ticket volume and SLA performance run under pressure, tracking the known operational issue already on record for this system (No formal support contract; the legacy file-format handoff with Amadeus Altéa Inventory requires manual reformatting, and the one SME who understands it is nearing retirement).",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Corporate Travel Portal,SHACMDB-99f82be84e,trailing_12mo_ending_2026-07-31,9,0,2,4,3,4.9,2.9,98,98.51,0,vendor-side outage,2,92.6,2,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier3 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Fare Filing / ATPCO Interface,SHACMDB-bd2c1fff1d,trailing_12mo_ending_2026-07-31,29,0,4,11,14,3.1,1.4,99.5,99.83,0,infrastructure/network,8,97.3,5,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier2 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Interline & Codeshare Settlement Engine,SHACMDB-03ba8cb25f,trailing_12mo_ending_2026-07-31,44,0,7,16,21,2.8,1.2,99.5,99.98,0,vendor-side outage,8,93.9,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier2 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,AIMS Crew Pairing & Rostering,SHACMDB-95ddf81e5c,trailing_12mo_ending_2026-07-31,69,7,19,31,12,2.7,1.5,99.9,99.74,1,data quality/reconciliation,18,87.6,16,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"Ticket volume and SLA performance run under pressure, tracking the known operational issue already on record for this system (Known constraint: mobile/offline connectivity drops at the Chicago (ORD) hub, forcing a paper or manual fallback).",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Crew Legality & FAR117 Tracking,SHACMDB-3619194365,trailing_12mo_ending_2026-07-31,47,3,11,21,12,1.3,0.5,99.9,100,0,capacity/performance degradation,9,98,6,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Fatigue Risk Management System,SHACMDB-6e8267f50d,trailing_12mo_ending_2026-07-31,15,0,3,6,6,2.5,1.1,99.5,99.83,0,vendor-side outage,4,97.5,3,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier2 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,CrewPortal Self-Service Mobile App,SHACMDB-41e49aa219,trailing_12mo_ending_2026-07-31,20,1,3,7,9,4,1.6,99.5,99.76,0,access/authentication,6,95.6,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"SLA performance is borderline for this tier2 system — one known operational risk factor on record, not yet consistently breaching.",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Crew Training Records / LMS,SHACMDB-2ddcade8b4,trailing_12mo_ending_2026-07-31,20,1,3,8,8,3.2,1.5,99.5,99.83,0,capacity/performance degradation,4,93.1,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier2 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Crew Payroll Interface,SHACMDB-de6bd01c22,trailing_12mo_ending_2026-07-31,49,1,6,21,21,4.1,1.9,99.5,99.73,0,capacity/performance degradation,13,94.6,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"SLA performance is borderline for this tier2 system — one known operational risk factor on record, not yet consistently breaching.",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Crew Hotel & Ground Transport Logistics Tool,SHACMDB-d260b1b0fb,trailing_12mo_ending_2026-07-31,5,0,1,2,2,6.3,3.2,98,98.48,0,batch/scheduling delay,1,98.3,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier3 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Meridian Legacy Crew Scheduler,SHACMDB-7b07d9807e,trailing_12mo_ending_2026-07-31,43,1,8,16,18,6.6,2.8,99.5,99.11,2,capacity/performance degradation,11,83.5,10,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"Ticket volume and SLA performance run under pressure, tracking the known operational issue already on record for this system (No formal support contract; mobile/offline connectivity drops at the Miami (MIA) cargo hub, forcing a paper or manual fallback, and the one SME who understands it is nearing retirement).",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,JetPlan Flight Planning,SHACMDB-aadbb35266,trailing_12mo_ending_2026-07-31,35,3,8,14,10,1.4,0.7,99.9,100,0,integration/interface failure,6,93.5,8,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,IROPS Recovery Cockpit,SHACMDB-5425fd04e9,trailing_12mo_ending_2026-07-31,37,3,11,16,7,1.2,0.6,99.9,100,0,vendor-side outage,7,96.9,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Mainframe Flight Following (legacy),SHACMDB-13abcbff24,trailing_12mo_ending_2026-07-31,42,1,6,18,17,6.7,2.7,99.5,99.01,2,batch/scheduling delay,7,84.5,7,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"Ticket volume and SLA performance run under pressure, tracking the known operational issue already on record for this system (No formal support contract; batch-window latency causes data to be up to 12 hours stale during peak periods, and the one SME who understands it is nearing retirement).",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Weather & NOTAM Briefing Service,SHACMDB-dad6b5c490,trailing_12mo_ending_2026-07-31,40,3,9,18,10,1.2,0.5,99.9,100,0,access/authentication,8,93.7,6,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,EFB Content Manager,SHACMDB-c43a749fd9,trailing_12mo_ending_2026-07-31,24,2,6,9,7,1.6,0.8,99.9,100,0,integration/interface failure,5,96.8,4,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Fuel Planning & Optimization Engine,SHACMDB-2e39820fc7,trailing_12mo_ending_2026-07-31,23,0,4,10,9,2.8,1.6,99.5,99.89,0,change-related regression,4,93.9,6,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier2 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,ACARS / Satcom Datalink Gateway,SHACMDB-e90418e41a,trailing_12mo_ending_2026-07-31,62,4,18,28,12,1.9,1,99.9,99.99,0,data quality/reconciliation,13,96,7,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"SLA performance is borderline for this tier1 system — one known operational risk factor on record, not yet consistently breaching.",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Aircraft Weight & Balance Calculator,SHACMDB-1a0253446b,trailing_12mo_ending_2026-07-31,35,3,9,15,8,2.1,0.8,99.9,100,0,capacity/performance degradation,8,97.6,4,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"SLA performance is borderline for this tier1 system — one known operational risk factor on record, not yet consistently breaching.",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,De-Icing Management System,SHACMDB-e987764d7b,trailing_12mo_ending_2026-07-31,38,1,6,14,17,2.8,1.5,99.5,99.92,0,integration/interface failure,7,96.8,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier2 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Ground Equipment (GSE) Fleet Management,SHACMDB-19bb0e68ea,trailing_12mo_ending_2026-07-31,7,0,1,3,3,5.2,2.2,98,98.38,0,integration/interface failure,1,97.6,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier3 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,TRAX Line Maintenance,SHACMDB-d658308bc0,trailing_12mo_ending_2026-07-31,47,5,14,19,9,1.5,0.6,99.9,100,0,infrastructure/network,14,94,9,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,TRAX Engineering Records,SHACMDB-1c9e8431f4,trailing_12mo_ending_2026-07-31,44,3,12,19,10,1.4,0.6,99.9,100,0,vendor-side outage,11,94.9,6,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
