tenant_key,function_name,parent_function,executive_owner,business_capabilities,criticality,annual_budget_usd,fte_count,outsourced_support,current_state_notes,target_state_notes,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,function_id,line_of_business,function_tier,headcount_fte,cost_to_serve_usd,process_maturity,change_appetite,regulatory_exposure,business_segment,business_segment_key,function_type,office_lens_abarva,office_lens_basis,expected_value_archetype,segment_sponsor_role
skyharbor-air,Flight Operations,,SVP Flight Operations,Dispatch; flight planning; fuel optimization; EFB; IROPS recovery; regulatory ops control,tier1,210000000,1450,Jeppesen (flight planning content); partial,Dispatch runs on Jeppesen JetPlan with an in-house IROPS recovery layer; mainframe-era flight following still in the loop for a subset of legacy routes.,Retire mainframe flight-following dependency and consolidate IROPS recovery into a single AI-assisted cockpit by FY28.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,2,BF-0001,synthetic-demo,399da89b74c9ebf5955b60cf7a0e9d5c0ded5814b9e5764000f5c095f00d898e,enriched_dense_synthetic_generation_2026_07,none,FN-abdc8a6140,mainline;regional,middle,1450,144828,optimising,high,high,Flight & Ground Operations,flight_ground_ops,non_clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,Chief Operating Officer
skyharbor-air,Crew Operations,,SVP Crew Operations,Crew pairing/rostering; crew tracking and legality; fatigue risk management; crew payroll interfacing; crew self-service,tier1,165000000,980,None material,AIMS crew system covers mainline; Meridian Regional crew (acquired 2023) still runs a separate legacy scheduler pending migration.,Single crew platform across mainline and Meridian Regional by end of FY27; retire Meridian legacy scheduler.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,3,BF-0002,synthetic-demo,666ae743a7aa2b4b976e09f3084fb9461ed557085c240cdd84dc3611a9c6bf94,enriched_dense_synthetic_generation_2026_07,none,FN-b5b52a1686,mainline;regional,middle,980,168367,defined,low,high,Flight & Ground Operations,flight_ground_ops,non_clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,Chief Operating Officer
skyharbor-air,Maintenance & Engineering (MRO),,SVP Technical Operations,Line and heavy maintenance planning; engineering records; reliability; parts/rotables inventory; tech records digitization,tier1,145000000,2100,"OEM technical support (Boeing, Airbus, GE, Pratt & Whitney, Rolls-Royce)",TRAX MRO covers mainline fleet; tech records for older 767/757 tails are still partly paper-to-scan.,Complete tech records digitization for legacy widebody fleet by FY27; integrate engine health monitoring feeds directly into TRAX.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,4,BF-0003,synthetic-demo,2ba6a471d16137511c33196b5d1ac4d9feb0385611d06eff4bdad8b4fabf4c26,enriched_dense_synthetic_generation_2026_07,none,FN-39e8f1acae,mro;mainline;regional,middle,2100,69048,optimising,moderate,low,Flight & Ground Operations,flight_ground_ops,non_clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,Chief Operating Officer
skyharbor-air,Revenue Management & Pricing,,VP Revenue Management,O&D forecasting; network revenue optimization; fare filing; ancillary and offer/order pricing,tier1,58000000,210,PROS professional services (implementation support),PROS RM suite live for network and O&D forecasting; offer/order management still mid-migration from legacy fare tables.,Complete offer/order management cutover and retire legacy ATPCO batch fare-filing interface by FY27.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,5,BF-0004,synthetic-demo,98d2e2510158c32953008e0dd0bef37a9af1700c2fbf160a63496f1a6ba7d053,enriched_dense_synthetic_generation_2026_07,none,FN-8cb236f1f7,mainline;regional;cargo,middle,210,276190,measured,low,moderate,Passenger & Commercial,passenger_commercial,non_clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,Chief Commercial Officer
skyharbor-air,Network Planning & Scheduling,,VP Network Planning,Schedule construction; fleet assignment optimization; slot coordination; codeshare schedule sync,tier1,22000000,85,None material,"Lido/NetLine schedule planning integrated with fleet assignment optimizer; slot coordination for constrained airports (LHR, JFK, DCA) is largely manual.",Automate slot-coordination workflow for constrained airports by FY27.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,6,BF-0005,synthetic-demo,b14032fb550742d1ba501aebfd8f0189ed5a002bc70d320fe5abd99557f6b661,enriched_dense_synthetic_generation_2026_07,none,FN-38a9d20ae7,mainline;regional;cargo,middle,85,258824,initial,moderate,low,Shared Enterprise Services,hospital_delivery,non_clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,Chief Financial Officer
skyharbor-air,Loyalty & Customer Marketing,,SVP Marketing & Loyalty,SkyHarbor Rewards points/tier engine; co-brand card partnership; redemption; loyalty CRM and campaign management,tier1,71000000,260,Salesforce Marketing Cloud managed services (campaign ops),Loyalty core and co-brand card interface are stable; member data platform / CDP is mid-build and not yet the system of record for personalization.,"Cut personalization decisioning fully over to the new member CDP by FY27, retiring the legacy segmentation warehouse job.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,7,BF-0006,synthetic-demo,b2f40fb6bb2c5822eff24e76417814fadeda0140acddf6b83ee79c0b0d4eb7e9,enriched_dense_synthetic_generation_2026_07,none,FN-52413ef634,loyalty;mainline,front,260,273077,defined,low,moderate,Passenger & Commercial,passenger_commercial,non_clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,Chief Commercial Officer
skyharbor-air,Airport & Ground Operations,,SVP Airport Operations,Departure control; common-use terminal equipment; baggage handling and tracking; gate/load management; ramp operations,tier1,190000000,4200,SITA (CUTE hosting and support); Menzies/Swissport (ground handling at outstations),Amadeus Altéa DCS covers mainline departure control at hub stations; several outstations still run older common-use kit pending refresh.,Complete CUTE/CUPPS refresh at remaining outstations by FY28; extend RFID bag tracking beyond the current 41-station footprint.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,8,BF-0007,synthetic-demo,e9f88a8f88672c20a9348eddfe0beb90c22c1412e02ce0dd30e46ea8e15560ae,enriched_dense_synthetic_generation_2026_07,none,FN-3c44f4712d,mainline;regional;cargo,middle,4200,45238,initial,moderate,low,Flight & Ground Operations,flight_ground_ops,non_clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,Chief Operating Officer
skyharbor-air,Cargo & Logistics,,VP Cargo,Cargo booking and management; track and trace; dangerous goods compliance; cargo revenue accounting,tier2,34000000,310,IBS Software (iCargo managed hosting),"iCargo covers booking, track & trace, and DG compliance for mainline widebody cargo; regional belly cargo still runs on a spreadsheet-driven manual process.",Bring regional belly cargo onto iCargo Lite by FY27 to eliminate manual capacity allocation.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,9,BF-0008,synthetic-demo,17e382b4d859652f208c931be5a605932939d1dd911bb3604bd3a1d0be3791e7,enriched_dense_synthetic_generation_2026_07,none,FN-a856409941,cargo,middle,310,109677,optimising,high,low,Cargo,cargo,non_clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,VP Cargo
skyharbor-air,In-Flight Services & Catering,,VP In-Flight Services,Catering planning and ordering; in-flight entertainment content management; onboard retail,tier2,41000000,240,Gate Gourmet / dnata (catering supply); Panasonic Avionics (IFE content network),Catering ordering integrates with crew/flight schedule feeds; onboard retail POS reconciliation to revenue accounting is still a monthly manual batch.,Automate daily onboard retail POS-to-revenue-accounting reconciliation by FY27.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,10,BF-0009,synthetic-demo,8560160456b9045cdb0920e711be6b07138d5058d56a845061cf611fd78616c4,enriched_dense_synthetic_generation_2026_07,none,FN-e3c85a9a97,mainline;regional,front,240,170833,initial,low,high,Passenger & Commercial,passenger_commercial,non_clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,Chief Commercial Officer
skyharbor-air,"Distribution, Sales & E-Commerce",,VP Distribution & E-Commerce,GDS/NDC distribution; direct channel booking (web/app); group and corporate sales; travel agency portal,tier1,48000000,175,Sabre and Amadeus (GDS connectivity); Deloitte Digital (web platform delivery),"NDC Level 4 live with two of three major GDS partners; the direct booking engine and mobile app share a common backend, but the group/charter desk still runs a separate legacy tool.",Complete NDC rollout to the third GDS partner and retire the standalone group/charter booking tool by FY27.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,11,BF-0010,synthetic-demo,20c4bab24127abe019fed9925194d223f3ce9f0e4f43d7065c61ae52b6715c87,enriched_dense_synthetic_generation_2026_07,none,FN-5485584d8f,mainline;regional;cargo;loyalty,front,175,274286,managed,moderate,low,Passenger & Commercial,passenger_commercial,non_clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,Chief Commercial Officer
