tenant_key,platform_or_capability,maturity_dimension,current_level,current_label,target_level,target_label,evidence,assessor_rationale,gaps,assessor_role,assessment_date,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status
skyharbor-air,Teradata Enterprise Warehouse,Platform Architecture & Scalability,3,Defined,3,Defined,Nightly batch window utilization at 83% of the SLA window; ~500 nightly jobs against a fixed appliance,"Stable, well-understood architecture but at a capacity ceiling; scaling further means adding appliance nodes, not elastic scale",No elastic scaling; capacity headroom is finite and shrinking,VP Data & AI Platforms,2026-07-31,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,universal-standard-v3,2,MAT-0001,synthetic-demo,eddd7a6435a7ae2b10fb7edc733b92272a1acfdc68e6f9f503d1e924aa05b880,enriched_dense_synthetic_generation_2026_07,none
skyharbor-air,Teradata Enterprise Warehouse,Migration Readiness (to Snowflake),2,Emerging,4,Managed,Teradata to Snowflake Migration Program is in planning phase; 2 of 4 subject areas scoped,Migration plan exists but execution has not started; dependency on Informatica pipeline re-platforming is unresolved,No validated cutover runbook yet for the highest-risk finance subject area,VP Data & AI Platforms,2026-07-31,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,universal-standard-v3,3,MAT-0002,synthetic-demo,651aad10e8ae7ccb77f3c4c862c0c01348946fbca207d417e34bda2d7015c0ca,enriched_dense_synthetic_generation_2026_07,none
skyharbor-air,Snowflake — Commercial & Loyalty Domains,Platform Architecture & Scalability,4,Managed,5,Optimized,Auto-scaling multi-cluster warehouses in production for 2 domains; consumption-based cost model in place,Cloud-native elastic architecture is a material step up from the legacy appliance model,Credit consumption governance (cost controls on ad hoc query warehouses) is not yet mature,VP Data & AI Platforms,2026-07-31,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,universal-standard-v3,4,MAT-0003,synthetic-demo,0f6b456ffca8b164896206ed6b1f683fca3eb7b43539a79f0f56009cce2f572a,enriched_dense_synthetic_generation_2026_07,none
skyharbor-air,Snowflake — Commercial & Loyalty Domains,Self-Service / Adoption,3,Defined,4,Managed,Revenue management and loyalty analysts actively query Snowflake domains daily,Adoption is real but concentrated in 2 of the planned 4+ target domains,No enterprise-wide self-service semantic layer yet published,Chief Data & Analytics Officer,2026-07-31,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,universal-standard-v3,5,MAT-0004,synthetic-demo,6a76d4a971afd0ef498db0596377b946133df79f8581797c13f47e1036b78dc7,enriched_dense_synthetic_generation_2026_07,none
skyharbor-air,Databricks Lakehouse (MRO/Ops/Customer AI),AI/ML & Automation Enablement,3,Defined,4,Managed,"3 production workspaces support MRO predictive maintenance, IROPS ops AI, and customer AI use cases","Real production ML workloads exist, but MLOps practices (drift monitoring, automated retraining) are still manual","Model drift monitoring for MRO predictive models is a manual quarterly process, not automated",VP Data & AI Platforms,2026-07-31,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,universal-standard-v3,6,MAT-0005,synthetic-demo,2a5423a364e1076f316555093af425bcac5d36ebb81ccd6c035cb3686617620b,enriched_dense_synthetic_generation_2026_07,none
skyharbor-air,Databricks Lakehouse (MRO/Ops/Customer AI),Data Governance & Stewardship,2,Emerging,4,Managed,Unity Catalog is deployed but not enforced consistently across all 3 workspaces,"Governance tooling exists but enforcement is inconsistent, creating an audit gap",No enforced Unity Catalog access policy in 1 of 3 workspaces,Chief Data & Analytics Officer,2026-07-31,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,universal-standard-v3,7,MAT-0006,synthetic-demo,5f8732b4bc73846c84c1f322e52c38464574dacb1067d818a6228ccacdb7ea2a,enriched_dense_synthetic_generation_2026_07,none
skyharbor-air,Confluent Kafka Event Backbone,Platform Architecture & Scalability,3,Defined,4,Managed,"~60 topics in production sustaining low-thousands events/second; supports IROPS, booking, and crew event streams","Solid production streaming backbone, but several legacy batch-fed source systems still bypass it entirely","Batch-fed sources (mainframe flight following, several legacy tools) are not integrated into the streaming backbone",VP Data & AI Platforms,2026-07-31,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,universal-standard-v3,8,MAT-0007,synthetic-demo,17448296a4bcf5a9164e9a4b99272e8475f6165291ad193fdd611c0ac7f7f3a4,enriched_dense_synthetic_generation_2026_07,none
skyharbor-air,Informatica PowerCenter ETL,Platform Architecture & Scalability,2,Emerging,3,Defined,~500 nightly ETL jobs against source-to-target mappings largely built for the Teradata era,Functional but aging; a meaningful share of pipelines will need re-platforming to feed Snowflake/Databricks instead of Teradata,"No modern orchestration layer (e.g., dbt/Airflow) alongside the legacy PowerCenter jobs",VP Data & AI Platforms,2026-07-31,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,universal-standard-v3,9,MAT-0008,synthetic-demo,7725b0346021f979b048c00bc08426d58b5f29680fe1dafbb1b224321c008278,enriched_dense_synthetic_generation_2026_07,none
skyharbor-air,Collibra Data Governance & Catalog,Data Governance & Stewardship,2,Emerging,4,Managed,Catalog coverage estimated at 54% of production data assets per the FY26 Q2 metric,"Governance program exists and has an accountable owner, but coverage and steward-assignment completeness both lag the platform investment",No completed data steward RACI; catalog coverage below the 80% target,Chief Data & Analytics Officer,2026-07-31,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,universal-standard-v3,10,MAT-0009,synthetic-demo,7cb3c6a3c43d685e84721bab5e1f5dd39c4c8ada79fb9c2da1e9f80be2541124,enriched_dense_synthetic_generation_2026_07,none
skyharbor-air,Tableau + Power BI (BI & Reporting),Self-Service / Adoption,4,Managed,4,Managed,27 published Tableau dashboard views/day plus active Power BI Premium usage in Finance & Ops,"Broad, sustained self-service BI adoption across business functions; a mature capability relative to peers",Dual-tool (Tableau + Power BI) footprint creates minor governance overhead but is not currently a material risk,Chief Data & Analytics Officer,2026-07-31,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,2026-07-31,medium,"Maturity levels are assessor judgment (AbarVa synthetic data steward, standing in for a named platform-owner assessor) using a 1-5 Ad Hoc/Emerging/Defined/Managed/Optimized rubric; not an independently certified maturity model score.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/19_data_analytics_platform_maturity.csv,universal-standard-v3,11,MAT-0010,synthetic-demo,6088acbc1b39cd0128245672441890564a1e135c72de567bd51b70f87dc9a56b,enriched_dense_synthetic_generation_2026_07,none
