tenant_key,program_name,business_sponsor,technology_owner,objective,scope,status,phase,target_outcomes,dependencies,risks,budget_usd,expected_value_usd,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,program_id,inherited_line_of_business,inherited_function_tier,inherited_segment_hops
skyharbor-air,Meridian Regional Technology Integration Program,Chief Strategy Officer,Regional CIO — Meridian Regional Integration,"Cut over Meridian Regional's legacy PSS, crew, finance, safety-reporting, and badge-access systems onto SkyHarbor's mainline platforms",Meridian Legacy Sabre DCS; Meridian Legacy Reservations; Meridian Legacy Crew Scheduler; Meridian Legacy Finance System; Meridian Legacy Safety Reporting Intake,at_risk,execution,Single PSS/crew/finance platform across mainline and Meridian Regional by FY27; retirement of the Denver co-lo facility,AIMS crew capacity headroom; SAP S/4HANA FI cutover readiness; union agreement harmonization,Schedule slip risk if crew union negotiations extend past Q3 FY27,31000000,27500000,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,2,PROG-0001,synthetic-demo,17fe17f47040e655ff5d8a8f89f13b6c85466f347ab0e289d83a36423db11488,enriched_dense_synthetic_generation_2026_07,none,PRG-211a6cac3d,cargo;enterprise;loyalty;mainline;mro;regional,back;front;middle,2
skyharbor-air,NDC Distribution Completion Program,VP Distribution & E-Commerce,VP Commercial & Distribution Systems,Complete NDC Level 4 rollout to the third GDS partner and retire the legacy group/charter booking tool,NDC Distribution API Gateway; GDS Booking Connector — Sabre; GDS Booking Connector — Travelport; Group & Charter Booking Desk Tool,on_track,execution,100% NDC-enabled GDS coverage; real-time inventory sharing for group bookings,Third GDS partner's certification timeline,Distribution partner delay could push completion past FY27,8200000,11400000,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,3,PROG-0002,synthetic-demo,dea419aa03245efb60a7f2c64ba3a2f334a06a959c380a0f1d857392b5838c1c,enriched_dense_synthetic_generation_2026_07,none,PRG-0dfb87fea2,cargo;enterprise;loyalty;mainline;regional,back;front;middle,2
skyharbor-air,PureConnect to Genesys Cloud CX Migration,VP Customer Experience,Director Contact Center & CX Technology,Migrate the two remaining international overflow contact center sites off legacy PureConnect onto Genesys Cloud CX,Genesys PureConnect (legacy — 2 international sites); Genesys Cloud CX; PureConnect On-Prem Telephony Infrastructure (2 international sites),on_track,execution,Single contact center platform; consistent agent desktop across all sites,Foundever overflow agent retraining schedule,International site network readiness could slip the Q2 FY27 target,4100000,2600000,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,4,PROG-0003,synthetic-demo,bb751e7f6c982c7101682e3a420b3aa77ba3f6d1c052615b5d12c005e298a9db,enriched_dense_synthetic_generation_2026_07,none,PRG-1bf735e782,cargo;loyalty;mainline;regional,front;middle,2
skyharbor-air,Teradata to Snowflake Migration Program,Chief Data & Analytics Officer,VP Data & AI Platforms,"Migrate finance and crew/ops subject areas off the Teradata appliance onto Snowflake, then sunset Teradata",Teradata Enterprise Warehouse — Finance Subject Area; Teradata Enterprise Warehouse — Crew & Ops Subject Area; Snowflake — Commercial Analytics Domain; Informatica PowerCenter ETL,planned,planning,Retirement of the Teradata appliance by FY28; reduced nightly batch-window pressure,Informatica pipeline re-platforming; data quality validation for migrated subject areas,Dual-running cost during migration if the FY28 target slips,14500000,9800000,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,5,PROG-0004,synthetic-demo,3cec2899295af65a051ae9f4e73083baf5bbe2f0cbcc279df2178335e7722103,enriched_dense_synthetic_generation_2026_07,none,PRG-5f30c87947,enterprise;loyalty;mainline;mro;regional,back;front;middle,2
skyharbor-air,Member Data Platform (CDP) Cutover,SVP Marketing & Loyalty,VP Data & AI Platforms,"Make the Member Data Platform (CDP) system of record for loyalty personalization decisioning, retiring the legacy segmentation warehouse job",Member Data Platform (CDP); Legacy Segmentation Warehouse Job; Salesforce Marketing Cloud (Loyalty Campaigns),on_track,execution,Real-time personalization decisioning; retirement of the legacy Teradata segmentation job,Snowflake — Loyalty & Personalization Domain data completeness,Personalization quality regression risk during cutover window,6300000,5100000,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,6,PROG-0005,synthetic-demo,579a8c99fe8eef6df62f542270c87ecea814645dec2e7ef1a81caba6856a138f,enriched_dense_synthetic_generation_2026_07,none,PRG-d299617faf,enterprise;loyalty;mainline;mro;regional,back;front;middle,2
skyharbor-air,CyberArk PAM Full Coverage Rollout,CISO,Cybersecurity & IT Risk,Extend CyberArk PAM coverage from partial to 100% of tier-1 systems,CyberArk PAM; Okta Workforce Identity,at_risk,execution,Elimination of standing privileged credentials on tier-1 systems,Application owner onboarding capacity,Coverage gap remains an active audit finding until FY27 completion,5200000,0,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,7,PROG-0006,synthetic-demo,8e2ba92dc6e3364c647e9103f2fb99264b1d4c367c8018a9720654dd5b0a6f23,enriched_dense_synthetic_generation_2026_07,none,PRG-252e763844,enterprise,back,2
skyharbor-air,Outstation CUTE/CUPPS Refresh Program,SVP Airport Operations,VP Airport & Ground Systems,Refresh common-use terminal equipment at remaining outstations on older kit,SITA CUTE Common-Use Terminal Equipment (Platform); Local Check-in Terminal (multiple outstations),planned,planning,Elimination of peak-boarding kiosk timeouts at refreshed outstations,SITA hardware supply chain lead time,Budget competition with the RFID expansion program,18700000,3400000,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,8,PROG-0007,synthetic-demo,eecea7ce3ac3aaab6cd3584e76099dc02a6ae6c76b550a980472b4e447339166,enriched_dense_synthetic_generation_2026_07,none,PRG-c9361191b8,cargo;mainline;regional,middle,2
skyharbor-air,RFID Bag Tracking Expansion,SVP Airport Operations,VP Airport & Ground Systems,Extend RFID bag-scan coverage beyond the current 41-station footprint,RFID Bag Tracking Platform; WorldTracer Baggage Tracing,planned,planning,Reduced mishandled-baggage rate at newly covered stations,Station hardware installation scheduling,Funding not yet fully approved beyond the first expansion wave,9100000,6700000,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,9,PROG-0008,synthetic-demo,3f4dc131f89e85560be3087875cf6b1ac5774bdc63c1157b505ff6568bef5cd3,enriched_dense_synthetic_generation_2026_07,none,PRG-fd5849f56c,cargo;mainline;regional,middle,2
skyharbor-air,IROPS AI Recovery Cockpit Expansion,SVP Flight Operations,VP Flight & Crew Systems,Expand AI-assisted disruption recovery scenario generation beyond the current single-hub pilot to all hub stations,IROPS Recovery Cockpit; Databricks — Ops AI Workspace; Genesys WFM (Workforce Management),at_risk,pilot,Faster recovery-scenario generation during IROPS events; reduced passenger rebooking time,Real-time disruption event feed into Genesys WFM forecasting,Pilot results not yet validated at a second hub,7400000,12200000,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,10,PROG-0009,synthetic-demo,1b162bca756ef0d7c80559dc26a0ae6aa25c2ccfcfe760266c5046e7d6c39d28,enriched_dense_synthetic_generation_2026_07,none,PRG-6d64586756,enterprise;loyalty;mainline;mro;regional,back;front;middle,2
skyharbor-air,Aircraft Lease Accounting (ASC 842) Automation,CFO,VP Enterprise Applications,Complete LeaseAccelerator rollout to replace the spreadsheet-based aircraft lease capitalization model,LeaseAccelerator (Aircraft Lease Accounting); SAP S/4HANA — Fixed Assets,on_track,execution,Elimination of the manual spreadsheet lease-accounting model; audit-ready ASC 842 compliance,Fleet lease data migration accuracy,Prior-period restatement risk if migrated lease data has errors,3800000,1900000,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,11,PROG-0010,synthetic-demo,46d3b79d9a5f45ec26b3690ffef90cb6ef5ee1d144fa049a0c2d2d5e0735a489,enriched_dense_synthetic_generation_2026_07,none,PRG-4cd532c14b,cargo;enterprise;mainline;regional,back;front;middle,2
