tenant_key,org_unit,parent_org_unit,leader_name_or_role,role_level,decision_rights,owned_functions,owned_systems,owned_data_domains,location_scope,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,org_unit_id
skyharbor-air,Office of the CEO,,CEO,CEO,"Enterprise strategy, capital allocation, M&A approval",Corporate Strategy & M&A Integration,,enterprise,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,2,ORG-0001,synthetic-demo,c778b696d5416740fa1f691a057620e640f4dd9f3ce741367bbeeb2c1ff6d439,enriched_dense_synthetic_generation_2026_07,none,ORG-47a900239f
skyharbor-air,Chief Operating Officer,Office of the CEO,COO,C-suite,"Day-to-day operations authority across Flight, Crew, Airport, MRO, Network",Flight Operations; Crew Operations; Airport & Ground Operations; Network Planning & Scheduling,,operations,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,3,ORG-0002,synthetic-demo,f2ef02d0a5e74fa35a1873a00ac6f290da1c9422609d27776334a97084945e88,enriched_dense_synthetic_generation_2026_07,none,ORG-d6107e93d1
skyharbor-air,Chief Financial Officer,Office of the CEO,CFO,C-suite,Financial approval authority; capital and lease accounting; treasury,Finance & Accounting; Fuel Management & Sustainability (fuel hedging),,finance,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,4,ORG-0003,synthetic-demo,ac18d177da30072f3349942f1912c033718079e79bd6ce8cb7a1c57515669499,enriched_dense_synthetic_generation_2026_07,none,ORG-aeb51a56c1
skyharbor-air,Chief Human Resources Officer,Office of the CEO,CHRO,C-suite,Workforce policy; union labor relations authority; compensation approval,Human Resources & Labor Relations,,workforce,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,5,ORG-0004,synthetic-demo,8615bb20551e3b2ae07768577ce63a4394f18d709d858230234dfadfbe9e12a2,enriched_dense_synthetic_generation_2026_07,none,ORG-332a728b9c
skyharbor-air,Chief Information & Technology Officer,Office of the CEO,CIO/CTO,C-suite,Technology investment approval; architecture standards; vendor technology contracts,Information Technology & Digital,,enterprise_technology,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,6,ORG-0005,synthetic-demo,d2001e3ebdad958562dd640e242677fee7a887487a468520aa6b650478903e5f,enriched_dense_synthetic_generation_2026_07,none,ORG-bc893c01bc
skyharbor-air,Chief Commercial Officer,Office of the CEO,CCO,C-suite,Commercial strategy; pricing authority; distribution partner agreements,"Revenue Management & Pricing; Distribution, Sales & E-Commerce; Loyalty & Customer Marketing; Cargo & Logistics",,commercial,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,7,ORG-0006,synthetic-demo,5d1019be933185bc9b7e00917a2b77e88d3805b33e4a612da6e8ad7e0066f6ac,enriched_dense_synthetic_generation_2026_07,none,ORG-ce86df42a5
skyharbor-air,General Counsel & Chief Legal Officer,Office of the CEO,General Counsel,C-suite,Legal and regulatory sign-off; contract execution authority,"Legal, Regulatory & Compliance",,legal,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,8,ORG-0007,synthetic-demo,a89941b548b80a05eff28143bea54f99ad9bf98d1bfbe69194e8adc6c120d902,enriched_dense_synthetic_generation_2026_07,none,ORG-a1b45c96d6
skyharbor-air,Chief Safety & Security Officer,Office of the CEO,CSSO,C-suite,Safety management system authority; ASAP program sponsor; corporate security policy,Safety & Security,,safety_security,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,9,ORG-0008,synthetic-demo,a8006428701b27f073e330b4b0b8f622bdc02a50bc90ef41e08e3fe90255056d,enriched_dense_synthetic_generation_2026_07,none,ORG-b3feb68ca8
skyharbor-air,Chief Data & Analytics Officer,Office of the CEO,CDAO,C-suite,Enterprise data governance authority; AI/GenAI use-case approval,"Data, Analytics & AI",,enterprise_data,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,10,ORG-0009,synthetic-demo,7045b86f0394050dc3d0fa84f98767450e0eb3b471155c4f88cc7fcb2c75d403,enriched_dense_synthetic_generation_2026_07,none,ORG-3ce4b27728
skyharbor-air,Chief Strategy Officer,Office of the CEO,CSO,C-suite,Strategic planning; M&A integration governance,Corporate Strategy & M&A Integration,,strategy,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,11,ORG-0010,synthetic-demo,b2328918d82bde00b6a90e1e81263e6ccd4e455d3ee96e5ae3968b066e89546b,enriched_dense_synthetic_generation_2026_07,none,ORG-0d0811ea9f
