WARNING: Command group 'containerapp job logs' is in preview and under development. Reference and support levels: https://aka.ms/CLI_refstatus
WARNING: No replica provided, defaulting to latest replica: job-airdn-validate-lab-jk1rhhw-zxtgz
2026-07-27T20:42:46.03160  Connecting to the container 'airdn-job'...
2026-07-27T20:42:46.18253  Successfully Connected to container: 'airdn-job' [Execution: 'job-airdn-validate-lab-jk1rhhw', Replica: 'job-airdn-validate-lab-jk1rhhw-zxtgz']
2026-07-27T20:42:09.9729439Z stdout F BEGIN
2026-07-27T20:42:09.9748854Z stdout F CREATE SCHEMA
2026-07-27T20:42:09.9760235Z stdout F CREATE SCHEMA
2026-07-27T20:42:09.9771612Z stdout F CREATE SCHEMA
2026-07-27T20:42:09.9782139Z stdout F CREATE SCHEMA
2026-07-27T20:42:09.9793731Z stdout F CREATE SCHEMA
2026-07-27T20:42:09.9803507Z stdout F CREATE SCHEMA
2026-07-27T20:42:09.9816863Z stdout F CREATE SCHEMA
2026-07-27T20:42:09.9825566Z stdout F CREATE SCHEMA
2026-07-27T20:42:09.9834628Z stdout F CREATE SCHEMA
2026-07-27T20:42:09.9845575Z stdout F CREATE SCHEMA
2026-07-27T20:42:09.9921563Z stdout F DO
2026-07-27T20:42:10.0224483Z stdout F CREATE TABLE
2026-07-27T20:42:10.0397825Z stdout F CREATE TABLE
2026-07-27T20:42:10.0591561Z stdout F CREATE TABLE
2026-07-27T20:42:10.0830788Z stdout F CREATE TABLE
2026-07-27T20:42:10.0997661Z stdout F CREATE TABLE
2026-07-27T20:42:10.1168484Z stdout F CREATE TABLE
2026-07-27T20:42:10.1340662Z stdout F CREATE TABLE
2026-07-27T20:42:10.1544961Z stdout F CREATE TABLE
2026-07-27T20:42:10.1712482Z stdout F CREATE TABLE
2026-07-27T20:42:10.1861186Z stdout F CREATE TABLE
2026-07-27T20:42:10.2007594Z stdout F CREATE TABLE
2026-07-27T20:42:10.2163220Z stdout F CREATE TABLE
2026-07-27T20:42:10.2331121Z stdout F CREATE TABLE
2026-07-27T20:42:10.2496998Z stdout F CREATE TABLE
2026-07-27T20:42:10.2669421Z stdout F CREATE TABLE
2026-07-27T20:42:10.2836250Z stdout F CREATE TABLE
2026-07-27T20:42:10.2976698Z stdout F CREATE TABLE
2026-07-27T20:42:10.3126511Z stdout F CREATE TABLE
2026-07-27T20:42:10.3267203Z stdout F CREATE TABLE
2026-07-27T20:42:10.3411799Z stdout F CREATE TABLE
2026-07-27T20:42:10.3577543Z stdout F CREATE TABLE
2026-07-27T20:42:10.3742999Z stdout F CREATE TABLE
2026-07-27T20:42:10.3823358Z stdout F CREATE INDEX
2026-07-27T20:42:10.4016856Z stdout F CREATE TABLE
2026-07-27T20:42:10.4182965Z stdout F CREATE TABLE
2026-07-27T20:42:10.4271462Z stdout F CREATE INDEX
2026-07-27T20:42:10.4423124Z stdout F CREATE TABLE
2026-07-27T20:42:10.4574016Z stdout F CREATE TABLE
2026-07-27T20:42:10.4752030Z stdout F CREATE TABLE
2026-07-27T20:42:10.4904460Z stdout F CREATE TABLE
2026-07-27T20:42:10.5056006Z stdout F CREATE TABLE
2026-07-27T20:42:10.5202824Z stdout F CREATE TABLE
2026-07-27T20:42:10.5404077Z stdout F CREATE TABLE
2026-07-27T20:42:10.5617902Z stdout F CREATE TABLE
2026-07-27T20:42:10.5793919Z stdout F CREATE TABLE
2026-07-27T20:42:10.5939462Z stdout F CREATE TABLE
2026-07-27T20:42:10.6091710Z stdout F CREATE TABLE
2026-07-27T20:42:10.6250093Z stdout F CREATE TABLE
2026-07-27T20:42:10.6412075Z stdout F CREATE TABLE
2026-07-27T20:42:10.6574071Z stdout F CREATE TABLE
2026-07-27T20:42:10.6713242Z stdout F CREATE TABLE
2026-07-27T20:42:10.6879466Z stdout F CREATE TABLE
2026-07-27T20:42:10.7020599Z stdout F CREATE TABLE
2026-07-27T20:42:10.7157231Z stdout F CREATE TABLE
2026-07-27T20:42:10.7326712Z stdout F CREATE TABLE
2026-07-27T20:42:10.7503493Z stdout F CREATE TABLE
2026-07-27T20:42:10.7689774Z stdout F CREATE TABLE
2026-07-27T20:42:10.7878264Z stdout F CREATE TABLE
2026-07-27T20:42:10.8023641Z stdout F CREATE TABLE
2026-07-27T20:42:10.8167962Z stdout F CREATE TABLE
2026-07-27T20:42:10.8250357Z stdout F CREATE INDEX
2026-07-27T20:42:10.8322979Z stdout F CREATE INDEX
2026-07-27T20:42:10.8400873Z stdout F CREATE INDEX
2026-07-27T20:42:10.8482281Z stdout F CREATE INDEX
2026-07-27T20:42:10.8562224Z stdout F CREATE INDEX
2026-07-27T20:42:10.8640151Z stdout F CREATE INDEX
2026-07-27T20:42:10.8713704Z stdout F CREATE INDEX
2026-07-27T20:42:10.8807453Z stdout F CREATE INDEX
2026-07-27T20:42:10.8917625Z stdout F CREATE INDEX
2026-07-27T20:42:10.9010950Z stdout F CREATE INDEX
2026-07-27T20:42:10.9087770Z stdout F CREATE INDEX
2026-07-27T20:42:10.9169478Z stdout F CREATE INDEX
2026-07-27T20:42:10.9198530Z stdout F CREATE FUNCTION
2026-07-27T20:42:10.9214196Z stdout F CREATE FUNCTION
2026-07-27T20:42:10.9241080Z stdout F CREATE FUNCTION
2026-07-27T20:42:10.9350420Z stdout F COMMIT
2026-07-27T20:42:11.0011831Z stdout F schemas=10
