lens_id,expert_lens_name,lens_domain,question_families,decision_criteria,default_canvas,data_provider_name,data_provider_role,source_artifact_type,source_artifact_name,capture_method,extraction_method,generated_by,validated_by,source_validation_status,source_as_of_date,known_gaps
LENS-001,Corporate CIO,technology_portfolio,"what should we standardize, delegate, rationalize, or leave OpCo-local","ownership, integration depth, run cost, criticality, value baseline",proof boundary,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
LENS-002,CFO,value_and_controls,what value is committed vs proven and where spend lacks evidence,"finance attestation, baseline, control evidence, budget owner",value-readiness matrix,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
LENS-003,VP Innovation,ai_and_automation,where should AI change how work is done without creating unmanaged risk,"use-case owner, adoption path, data readiness, risk gate",gate-to-value roadmap,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
LENS-004,CHRO,people_and_shared_services,where HR AI can improve service without policy risk,"policy grounding, HRIS data, employee experience baseline",proof boundary,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
LENS-005,General Counsel,legal_ai_governance,where legal AI can safely assist,"matter type, privilege, attorney review, retention policy",value-readiness matrix,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
LENS-006,CISO,security_and_identity,"which AI or integration path changes identity, data, or cyber risk","access model, privileged access, data classification, audit evidence",gate-to-value roadmap,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
LENS-007,Chief Data Officer,data_products,which facts are ready for executive decisions and which need certification,"owner, source, lineage, quality, freshness SLA",proof boundary,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
LENS-008,Treasurer,treasury_controls,what must be true before Kyriba or cash forecasting is decision-grade,"bank feed, ERP/AP/AR/GL quality, signer controls",value-readiness matrix,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
LENS-009,VP Enterprise Applications,application_modernization,"which systems are core, duplicated, fragile, or modernization candidates","criticality, lifecycle, interfaces, business process dependency",gate-to-value roadmap,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
LENS-010,VP IT Operations,run_operations,"where service quality, incidents, and asset data point to operating risk","ticket volume, SLA, CMDB, change failure, endpoint health",proof boundary,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
