persona_id,persona_name,business_area,population_count,ai_relevance,work_context
FC-PER-001,Branch banker / relationship manager,Consumer Banking,16800,High,"Onboarding, deposits, cross-sell, KYC, customer 360, next-best-action"
FC-PER-002,Contact center agent,Customer Care,8900,High,"Servicing, disputes, fraud calls, intent detection, knowledge assist"
FC-PER-003,Commercial lending officer,Commercial Banking,2100,High,"Credit memos, spreading, covenant tracking, origination, pricing"
FC-PER-004,Credit underwriter,Risk,1800,High,"Underwriting, risk rating, exception handling, policy adherence"
FC-PER-005,Fraud analyst,Financial Crimes,1450,High,"Alert triage, case investigation, fraud scoring, dispute resolution"
FC-PER-006,AML investigator,Financial Crimes,1650,High,"Transaction monitoring, SAR narrative, sanctions, KYC refresh"
FC-PER-007,Wealth advisor,Wealth Management,2400,High,"Portfolio review, planning, proposals, client meeting prep"
FC-PER-008,Payments operations analyst,Operations,2200,High,"Exception handling, reconciliation, returns, ISO 20022 repair"
FC-PER-009,Software engineer,Technology,5400,High,"Core/cards/channels delivery, code assist, test generation"
FC-PER-010,Data engineer,Data Platform,420,High,"Lakehouse pipelines, lineage, data quality, feature engineering"
FC-PER-011,Financial analyst / controller,Finance,1900,Medium,"Close, reconciliation, variance, regulatory reporting, FP&A"
FC-PER-012,Model risk validator,Risk,240,High,"SR 11-7 validation, model documentation, challenger models, monitoring"
FC-PER-013,Compliance officer,Compliance,1300,High,"Surveillance, fair lending, reg change, complaint analysis"
FC-PER-014,Collections specialist,Operations,1600,Medium,"Delinquency outreach, hardship, settlement, prioritization"
FC-PER-015,Cloud platform engineer,Cloud,380,High,"AWS/Azure, Databricks, Unity Catalog, FinOps, networking"
FC-PER-016,Treasury / ALM analyst,Treasury,320,Medium,"Liquidity, funding, rates, FX, IRRBB, securities"
