vendor_id,vendor_name,category,annual_spend_usd,contract_end_date,renewal_risk,business_owner,technology_owner,evidence_id
APX-VND-001,Salesforce,commerce,1200000,2026-07-15,high,COO,Store Systems and POS,APX-EVID-001
APX-VND-002,Oracle,erp,2040000,2026-08-15,low,Chief Digital Officer,Digital Commerce Engineering,APX-EVID-002
APX-VND-003,Manhattan,supply_chain,2880000,2026-09-15,low,Chief Merchandising Officer,Merchandising and Planning Systems,APX-EVID-003
APX-VND-004,IBM,data_ai,3720000,2026-10-15,medium,Chief Supply Chain Officer,Supply Chain Platforms,APX-EVID-004
APX-VND-005,Toshiba,security,4560000,2026-11-15,low,Chief Marketing Officer,Customer Data and Loyalty Platforms,APX-EVID-005
APX-VND-006,Adobe,services,5400000,2026-12-15,high,CFO,ERP and Corporate Systems,APX-EVID-006
APX-VND-007,Blue Yonder,commerce,6240000,2026-07-15,medium,Chief Risk Officer,"Data, Analytics and AI",APX-EVID-007
APX-VND-008,SAP,erp,7080000,2026-08-15,low,CIO,Cloud Platform and SRE,APX-EVID-008
APX-VND-009,Databricks,supply_chain,7920000,2026-09-15,low,CHRO,Cybersecurity,APX-EVID-009
APX-VND-010,Snowflake,data_ai,8760000,2026-10-15,medium,Chief Procurement Officer,Service Management and End User Tech,APX-EVID-010
APX-VND-011,ServiceNow,security,9600000,2026-11-15,high,Chief Real Estate Officer,Store Systems and POS,APX-EVID-011
APX-VND-012,Microsoft,services,10440000,2026-12-15,low,SVP Private Brands,Digital Commerce Engineering,APX-EVID-012
APX-VND-013,AWS,commerce,11280000,2026-07-15,medium,COO,Merchandising and Planning Systems,APX-EVID-013
APX-VND-014,Google,erp,12120000,2026-08-15,low,Chief Digital Officer,Supply Chain Platforms,APX-EVID-014
APX-VND-015,NVIDIA,supply_chain,12960000,2026-09-15,low,Chief Merchandising Officer,Customer Data and Loyalty Platforms,APX-EVID-001
APX-VND-016,UKG,data_ai,13800000,2026-10-15,high,Chief Supply Chain Officer,ERP and Corporate Systems,APX-EVID-002
APX-VND-017,Workday,security,14640000,2026-11-15,low,Chief Marketing Officer,"Data, Analytics and AI",APX-EVID-003
APX-VND-018,CrowdStrike,services,15480000,2026-12-15,low,CFO,Cloud Platform and SRE,APX-EVID-004
APX-VND-019,Datadog,commerce,16320000,2026-07-15,medium,Chief Risk Officer,Cybersecurity,APX-EVID-005
APX-VND-020,MuleSoft,erp,17160000,2026-08-15,low,CIO,Service Management and End User Tech,APX-EVID-006
APX-VND-021,Klaviyo,supply_chain,18000000,2026-09-15,high,CHRO,Store Systems and POS,APX-EVID-007
APX-VND-022,Braze,data_ai,18840000,2026-10-15,medium,Chief Procurement Officer,Digital Commerce Engineering,APX-EVID-008
APX-VND-023,NCR,security,19680000,2026-11-15,low,Chief Real Estate Officer,Merchandising and Planning Systems,APX-EVID-009
APX-VND-024,Zebra,services,20520000,2026-12-15,low,SVP Private Brands,Supply Chain Platforms,APX-EVID-010
APX-VND-025,Okta,commerce,21360000,2026-07-15,medium,COO,Customer Data and Loyalty Platforms,APX-EVID-011
APX-VND-026,Fortinet,erp,22200000,2026-08-15,high,Chief Digital Officer,ERP and Corporate Systems,APX-EVID-012
APX-VND-027,Accenture,supply_chain,23040000,2026-09-15,low,Chief Merchandising Officer,"Data, Analytics and AI",APX-EVID-013
APX-VND-028,Deloitte,data_ai,23880000,2026-10-15,medium,Chief Supply Chain Officer,Cloud Platform and SRE,APX-EVID-014
APX-VND-029,Infosys,security,24720000,2026-11-15,low,Chief Marketing Officer,Cybersecurity,APX-EVID-001
APX-VND-030,TCS,services,25560000,2026-12-15,low,CFO,Service Management and End User Tech,APX-EVID-002
APX-VND-031,EPAM,commerce,26400000,2026-07-15,high,Chief Risk Officer,Store Systems and POS,APX-EVID-003
APX-VND-032,Capgemini,erp,27240000,2026-08-15,low,CIO,Digital Commerce Engineering,APX-EVID-004
APX-VND-033,SAS,supply_chain,28080000,2026-09-15,low,CHRO,Merchandising and Planning Systems,APX-EVID-005
APX-VND-034,Tableau,data_ai,28920000,2026-10-15,medium,Chief Procurement Officer,Supply Chain Platforms,APX-EVID-006
APX-VND-035,Power BI,security,29760000,2026-11-15,low,Chief Real Estate Officer,Customer Data and Loyalty Platforms,APX-EVID-007
APX-VND-036,Narvar,services,30600000,2026-12-15,high,SVP Private Brands,ERP and Corporate Systems,APX-EVID-008
APX-VND-037,Riskified,commerce,31440000,2026-07-15,medium,COO,"Data, Analytics and AI",APX-EVID-009
APX-VND-038,Forter,erp,32280000,2026-08-15,low,Chief Digital Officer,Cloud Platform and SRE,APX-EVID-010
APX-VND-039,Stripe,supply_chain,33120000,2026-09-15,low,Chief Merchandising Officer,Cybersecurity,APX-EVID-011
APX-VND-040,Adyen,data_ai,33960000,2026-10-15,medium,Chief Supply Chain Officer,Service Management and End User Tech,APX-EVID-012
APEXRETAIL-VND-0041,Salesforce / expansion 1,commerce,1200000,2026-07-15,high,COO,Store Systems and POS,APX-EVID-001
APEXRETAIL-VND-0042,Oracle / expansion 2,erp,2040000,2026-08-15,low,Chief Digital Officer,Digital Commerce Engineering,APX-EVID-002
APEXRETAIL-VND-0043,Manhattan / expansion 3,supply_chain,2880000,2026-09-15,low,Chief Merchandising Officer,Merchandising and Planning Systems,APX-EVID-003
