template_id,title,template_type
template:golden:001,Sourcing template 001,RFP
template:golden:002,Sourcing template 002,RFI
template:golden:003,Sourcing template 003,SOW
template:golden:004,Sourcing template 004,MSA amendment
template:golden:005,Sourcing template 005,RFP
template:golden:006,Sourcing template 006,RFI
template:golden:007,Sourcing template 007,SOW
template:golden:008,Sourcing template 008,MSA amendment
template:golden:009,Sourcing template 009,RFP
template:golden:010,Sourcing template 010,RFI
template:golden:011,Sourcing template 011,SOW
template:golden:012,Sourcing template 012,MSA amendment
template:golden:013,Sourcing template 013,RFP
template:golden:014,Sourcing template 014,RFI
template:golden:015,Sourcing template 015,SOW
template:golden:016,Sourcing template 016,MSA amendment
template:golden:017,Sourcing template 017,RFP
template:golden:018,Sourcing template 018,RFI
template:golden:019,Sourcing template 019,SOW
template:golden:020,Sourcing template 020,MSA amendment
template:golden:021,Sourcing template 021,RFP
template:golden:022,Sourcing template 022,RFI
