site_id,country,business_unit_id,primary_system,validated_system_flag,quality_cost_usd,capacity_utilization_pct,plant_vp
NST-PLANT-01,DE,BU-DENTAL,Rockwell FactoryTalk,true,2275000,62,VP Manufacturing Site 1
NST-PLANT-02,IE,BU-HIS,Werum PAS-X,true,2550000,63,VP Manufacturing Site 2
NST-PLANT-03,MX,BU-STERILE,Custom historian,false,2825000,64,VP Manufacturing Site 3
NST-PLANT-04,CN,BU-MONITOR,Siemens Opcenter,true,3100000,65,VP Manufacturing Site 4
NST-PLANT-05,JP,BU-FILTER,Rockwell FactoryTalk,true,3375000,66,VP Manufacturing Site 5
NST-PLANT-06,SG,BU-AWC,Werum PAS-X,false,3650000,67,VP Manufacturing Site 6
NST-PLANT-07,BR,BU-DENTAL,Custom historian,true,3925000,68,VP Manufacturing Site 7
NST-PLANT-08,FR,BU-HIS,Siemens Opcenter,true,4200000,69,VP Manufacturing Site 8
NST-PLANT-09,GB,BU-STERILE,Rockwell FactoryTalk,false,4475000,70,VP Manufacturing Site 9
NST-PLANT-10,IN,BU-MONITOR,Werum PAS-X,true,4750000,71,VP Manufacturing Site 10
NST-PLANT-11,CA,BU-FILTER,Custom historian,true,5025000,72,VP Manufacturing Site 11
NST-PLANT-12,US,BU-AWC,Siemens Opcenter,false,5300000,73,VP Manufacturing Site 12
NST-PLANT-13,DE,BU-DENTAL,Rockwell FactoryTalk,true,5575000,74,VP Manufacturing Site 13
NST-PLANT-14,IE,BU-HIS,Werum PAS-X,true,5850000,75,VP Manufacturing Site 14
NST-PLANT-15,MX,BU-STERILE,Custom historian,false,6125000,76,VP Manufacturing Site 15
NST-PLANT-16,CN,BU-MONITOR,Siemens Opcenter,true,6400000,77,VP Manufacturing Site 16
NST-PLANT-17,JP,BU-FILTER,Rockwell FactoryTalk,true,6675000,78,VP Manufacturing Site 17
NST-PLANT-18,SG,BU-AWC,Werum PAS-X,false,6950000,79,VP Manufacturing Site 18
NST-PLANT-19,BR,BU-DENTAL,Custom historian,true,7225000,80,VP Manufacturing Site 19
NST-PLANT-20,FR,BU-HIS,Siemens Opcenter,true,7500000,81,VP Manufacturing Site 20
NST-PLANT-21,GB,BU-STERILE,Rockwell FactoryTalk,false,7775000,82,VP Manufacturing Site 21
NST-PLANT-22,IN,BU-MONITOR,Werum PAS-X,true,8050000,83,VP Manufacturing Site 22
NST-PLANT-23,CA,BU-FILTER,Custom historian,true,8325000,84,VP Manufacturing Site 23
NST-PLANT-24,US,BU-AWC,Siemens Opcenter,false,8600000,85,VP Manufacturing Site 24
NST-PLANT-25,DE,BU-DENTAL,Rockwell FactoryTalk,true,8875000,86,VP Manufacturing Site 25
NST-PLANT-26,IE,BU-HIS,Werum PAS-X,true,9150000,87,VP Manufacturing Site 26
NST-PLANT-27,MX,BU-STERILE,Custom historian,false,9425000,88,VP Manufacturing Site 27
NST-PLANT-28,CN,BU-MONITOR,Siemens Opcenter,true,9700000,89,VP Manufacturing Site 28
NST-PLANT-29,JP,BU-FILTER,Rockwell FactoryTalk,true,9975000,90,VP Manufacturing Site 29
NST-PLANT-30,SG,BU-AWC,Werum PAS-X,false,10250000,91,VP Manufacturing Site 30
NST-PLANT-31,BR,BU-DENTAL,Custom historian,true,10525000,92,VP Manufacturing Site 31
NST-PLANT-32,FR,BU-HIS,Siemens Opcenter,true,10800000,61,VP Manufacturing Site 32
NST-PLANT-33,GB,BU-STERILE,Rockwell FactoryTalk,false,11075000,62,VP Manufacturing Site 33
NST-PLANT-34,IN,BU-MONITOR,Werum PAS-X,true,11350000,63,VP Manufacturing Site 34
NST-PLANT-35,CA,BU-FILTER,Custom historian,true,11625000,64,VP Manufacturing Site 35
NST-PLANT-36,US,BU-AWC,Siemens Opcenter,false,11900000,65,VP Manufacturing Site 36
NST-PLANT-37,DE,BU-DENTAL,Rockwell FactoryTalk,true,12175000,66,VP Manufacturing Site 37
NST-PLANT-38,IE,BU-HIS,Werum PAS-X,true,12450000,67,VP Manufacturing Site 38
NST-PLANT-39,MX,BU-STERILE,Custom historian,false,12725000,68,VP Manufacturing Site 39
NST-PLANT-40,CN,BU-MONITOR,Siemens Opcenter,true,13000000,69,VP Manufacturing Site 40
NST-PLANT-41,JP,BU-FILTER,Rockwell FactoryTalk,true,13275000,70,VP Manufacturing Site 41
NST-PLANT-42,SG,BU-AWC,Werum PAS-X,false,13550000,71,VP Manufacturing Site 42
