team_id,team_name,executive_owner_role,domain,head_count_fte,offshore_pct,annual_budget_usd
LAK-IT-001,Office of CIO,CIO,technology_leadership,70,0,31000000
LAK-IT-002,SAP and ERP Platforms,VP ERP,erp,520,18,156000000
LAK-IT-003,Treasury and Finance Systems,VP Finance Technology,treasury_finance,210,12,62000000
LAK-IT-004,Integration and Middleware,VP Integration,api_edi_batch,240,18,48000000
LAK-IT-005,Data Platform and BI,Chief Data Officer,data_analytics,460,22,98000000
LAK-IT-006,Manufacturing and OT Systems,VP Manufacturing Tech,mes_ot,780,8,174000000
LAK-IT-007,Cloud and Infrastructure,VP Infrastructure,cloud_datacenter,630,12,188000000
LAK-IT-008,ServiceNow and IT Operations,VP IT Operations,itsm,180,15,43000000
LAK-IT-009,Cybersecurity and Identity,CISO,cyber,390,5,116000000
LAK-IT-010,AI Automation Office,Chief Data Officer,ai_governance,95,5,28000000
