technology_code,technology_name,technology_family,vendor_or_standard,domain,industry_relevance,regulated_data_touchpoint,source_artifact,status,version,notes
TECH-AWS-COMPUTE,AWS Compute,compute,AWS,cloud_platform,global,infrastructure_metadata,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-AWS-IAM,AWS IAM,identity_access,AWS,cloud_platform,global,identity_data,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-AWS-LANDING-ZONE,AWS Landing Zone,cloud_foundation,AWS,cloud_platform,global,infrastructure_metadata,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-AWS-NETWORKING,AWS Networking,network,AWS,cloud_platform,global,infrastructure_metadata,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-AWS-SECURITY,AWS Security,cloud_security,AWS,cloud_platform,global,security_data,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-AWS-STORAGE,AWS Storage,storage,AWS,cloud_platform,global,infrastructure_metadata,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-CLINICAL-QUALITY,Clinical Quality,industry_analytics,Industry,healthcare_provider,healthcare,restricted_phi_possible,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-DATABRICKS-ADMIN,Databricks Platform Administration,data_platform,Databricks,data_platform,global,analytics_data,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-DATABRICKS-ENGINEERING,Databricks Data Engineering,data_engineering,Databricks,data_platform,global,analytics_data,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-DATABRICKS-ML-GENAI,Databricks ML and GenAI,ai_ml,Databricks,data_platform,global,model_and_feature_data,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-DATABRICKS-UNITY-CATALOG,Databricks Unity Catalog,data_governance,Databricks,data_platform,regulated_industries,lineage_and_policy_data,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-EPIC-BRIDGES,Epic Bridges,clinical_integration,Epic,healthcare_provider,healthcare,restricted_phi_possible,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-EPIC-CABOODLE,Epic Caboodle,clinical_data_platform,Epic,healthcare_provider,healthcare,restricted_phi_possible,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-EPIC-CADENCE,Epic Cadence,patient_access,Epic,healthcare_provider,healthcare,restricted_phi_possible,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-EPIC-CLARITY,Epic Clarity,clinical_data_platform,Epic,healthcare_provider,healthcare,restricted_phi_possible,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-EPIC-COGITO,Epic Cogito,clinical_analytics,Epic,healthcare_provider,healthcare,restricted_phi_possible,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-EPIC-RESOLUTE,Epic Resolute,revenue_cycle,Epic,healthcare_provider,healthcare,restricted_phi_possible,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-EPIC-WILLOW,Epic Willow,clinical_pharmacy,Epic,healthcare_provider,healthcare,restricted_phi_possible,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-FHIR,FHIR,healthcare_interoperability_standard,HL7,healthcare_provider,healthcare,restricted_phi_possible,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-HADOOP,Hadoop,legacy_data_platform,Apache,data_platform,global,analytics_data,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-HEALTHCARE-ANALYTICS,Healthcare Analytics,industry_analytics,Industry,healthcare,healthcare,restricted_phi_possible,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-HL7,HL7,healthcare_integration_standard,HL7,healthcare_provider,healthcare,restricted_phi_possible,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-PAYER-DOMAIN,Payer Domain,industry_domain,Industry,healthcare_payer,healthcare,claims_and_member_data,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-PROVIDER-DOMAIN,Provider Domain,industry_domain,Industry,healthcare_provider,healthcare,restricted_phi_possible,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-SAS,SAS,analytics_platform,SAS,analytics,regulated_industries,analytics_data,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-SERVICENOW-APM,ServiceNow APM,application_portfolio,ServiceNow,enterprise_platform,global,application_data,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-SERVICENOW-CMDB,ServiceNow CMDB,configuration_management,ServiceNow,enterprise_platform,global,asset_and_system_data,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-SERVICENOW-CSDM,ServiceNow CSDM,service_model,ServiceNow,enterprise_platform,global,operational_data,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-SERVICENOW-ITSM,ServiceNow ITSM,itsm,ServiceNow,enterprise_platform,global,operational_data,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-SERVICENOW-VRM,ServiceNow Vendor Management,vendor_management,ServiceNow,enterprise_platform,global,supplier_data,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-SNOWFLAKE-PLATFORM,Snowflake,data_platform,Snowflake,data_platform,global,analytics_data,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-SQL-SERVER,SQL Server,database_platform,Microsoft,data_platform,global,application_or_analytics_data,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-WORKDAY-ADAPTIVE,Workday Adaptive Planning,planning,Workday,enterprise_platform,global,financial_data,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
TECH-WORKDAY-EIB,Workday EIB,integration,Workday,enterprise_platform,global,employee_or_financial_data,hand-authored-global-pricing-extension,active,1.0.0,Reference technology for role relevance and Moves solution-pricing selection.
