rate_band_code,role_code,level_code,currency,rate_basis,rate_unit,loaded_rate,scarcity_adj_rate,indicative_bill_rate,valid_from,source,confidence,approval_status,status,version
ROL-001-LVL-01,ROL-001,LVL-01,USD,onshore_si_t1_benchmark,hour,467.88,608.24,1015.63,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0001 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-002-LVL-03,ROL-002,LVL-03,USD,onshore_si_t1_benchmark,hour,323.91,421.09,698.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0002 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-002-LVL-04,ROL-002,LVL-04,USD,onshore_si_t1_benchmark,hour,269.93,350.91,585.00,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0003 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-003-LVL-04,ROL-003,LVL-04,USD,onshore_si_t1_benchmark,hour,269.93,350.91,585.00,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0004 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-003-LVL-05,ROL-003,LVL-05,USD,onshore_si_t1_benchmark,hour,220.44,286.57,487.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0005 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-004-LVL-03,ROL-004,LVL-03,USD,onshore_si_t1_benchmark,hour,323.91,356.30,591.25,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0006 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-004-LVL-04,ROL-004,LVL-04,USD,onshore_si_t1_benchmark,hour,269.93,296.92,495.00,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0007 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-004-LVL-05,ROL-004,LVL-05,USD,onshore_si_t1_benchmark,hour,220.44,242.49,412.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0008 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-004-LVL-06,ROL-004,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,197.95,343.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0009 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-005-LVL-04,ROL-005,LVL-04,USD,onshore_si_t1_benchmark,hour,269.93,296.92,495.00,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0010 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
