capability_code,tower_code,capability_name,scarcity_tier,agent_amenability,source_artifact,source_row,source_label,status,version
CAP-001,TWR-01,Transformation Strategy,High,3,Workforce_Taxonomy_Master.xlsx:Capabilities,6,Transformation Strategy,active,1
CAP-002,TWR-01,Operating Model Design,High,3,Workforce_Taxonomy_Master.xlsx:Capabilities,7,Operating Model Design,active,1
CAP-003,TWR-01,Value Architecture,Medium,3,Workforce_Taxonomy_Master.xlsx:Capabilities,8,Value Architecture,active,1
CAP-004,TWR-01,Business Case & ROI,Medium,4,Workforce_Taxonomy_Master.xlsx:Capabilities,9,Business Case & ROI,active,1
CAP-005,TWR-02,Financial Services Domain,High,2,Workforce_Taxonomy_Master.xlsx:Capabilities,10,Financial Services Domain,active,1
CAP-006,TWR-02,Healthcare Domain,High,2,Workforce_Taxonomy_Master.xlsx:Capabilities,11,Healthcare Domain,active,1
CAP-007,TWR-02,Retail & CPG Domain,Medium,2,Workforce_Taxonomy_Master.xlsx:Capabilities,12,Retail & CPG Domain,active,1
CAP-008,TWR-02,Manufacturing Domain,Medium,2,Workforce_Taxonomy_Master.xlsx:Capabilities,13,Manufacturing Domain,active,1
CAP-009,TWR-02,Public Sector Domain,Medium,2,Workforce_Taxonomy_Master.xlsx:Capabilities,14,Public Sector Domain,active,1
CAP-010,TWR-03,Process Design,Medium,4,Workforce_Taxonomy_Master.xlsx:Capabilities,15,Process Design,active,1
CAP-011,TWR-03,Process Mining,Medium,4,Workforce_Taxonomy_Master.xlsx:Capabilities,16,Process Mining,active,1
CAP-012,TWR-03,Intelligent Automation,High,5,Workforce_Taxonomy_Master.xlsx:Capabilities,17,Intelligent Automation,active,1
CAP-013,TWR-04,Data Strategy,High,3,Workforce_Taxonomy_Master.xlsx:Capabilities,18,Data Strategy,active,1
CAP-014,TWR-04,Data Governance,High,4,Workforce_Taxonomy_Master.xlsx:Capabilities,19,Data Governance,active,1
CAP-015,TWR-04,Data Quality,Medium,4,Workforce_Taxonomy_Master.xlsx:Capabilities,20,Data Quality,active,1
CAP-016,TWR-04,Metadata Management,Medium,4,Workforce_Taxonomy_Master.xlsx:Capabilities,21,Metadata Management,active,1
CAP-017,TWR-04,Master Data Management,High,3,Workforce_Taxonomy_Master.xlsx:Capabilities,22,Master Data Management,active,1
CAP-018,TWR-04,Data Products,High,4,Workforce_Taxonomy_Master.xlsx:Capabilities,23,Data Products,active,1
CAP-019,TWR-04,Data Engineering,High,5,Workforce_Taxonomy_Master.xlsx:Capabilities,24,Data Engineering,active,1
CAP-020,TWR-04,Business Intelligence,Medium,4,Workforce_Taxonomy_Master.xlsx:Capabilities,25,Business Intelligence,active,1
CAP-021,TWR-04,Reporting,Low,5,Workforce_Taxonomy_Master.xlsx:Capabilities,26,Reporting,active,1
CAP-022,TWR-04,Advanced Analytics,High,4,Workforce_Taxonomy_Master.xlsx:Capabilities,27,Advanced Analytics,active,1
CAP-023,TWR-04,Snowflake,High,4,Workforce_Taxonomy_Master.xlsx:Capabilities,28,Snowflake,active,1
CAP-024,TWR-04,Databricks,High,4,Workforce_Taxonomy_Master.xlsx:Capabilities,29,Databricks,active,1
CAP-025,TWR-04,Informatica,Medium,3,Workforce_Taxonomy_Master.xlsx:Capabilities,30,Informatica,active,1
CAP-026,TWR-04,Collibra,Medium,3,Workforce_Taxonomy_Master.xlsx:Capabilities,31,Collibra,active,1
CAP-027,TWR-05,Agentic AI,High,5,Workforce_Taxonomy_Master.xlsx:Capabilities,32,Agentic AI,active,1
CAP-028,TWR-05,Generative AI,High,5,Workforce_Taxonomy_Master.xlsx:Capabilities,33,Generative AI,active,1
CAP-029,TWR-05,Prompt Engineering,High,5,Workforce_Taxonomy_Master.xlsx:Capabilities,34,Prompt Engineering,active,1
CAP-030,TWR-05,Machine Learning,High,4,Workforce_Taxonomy_Master.xlsx:Capabilities,35,Machine Learning,active,1
CAP-031,TWR-05,MLOps,High,5,Workforce_Taxonomy_Master.xlsx:Capabilities,36,MLOps,active,1
CAP-032,TWR-05,LLMOps,High,5,Workforce_Taxonomy_Master.xlsx:Capabilities,37,LLMOps,active,1
CAP-033,TWR-05,Responsible AI,High,3,Workforce_Taxonomy_Master.xlsx:Capabilities,38,Responsible AI,active,1
CAP-034,TWR-05,AI Governance,High,3,Workforce_Taxonomy_Master.xlsx:Capabilities,39,AI Governance,active,1
