activity_pack_code,role_code,allocation_pct,level_hint,source_artifact,status
AP-TECH-AI-01,ROL-204,40,,hand-authored-pr4,active
AP-TECH-AI-01,ROL-049,35,,hand-authored-pr4,active
AP-TECH-AI-01,ROL-047,25,,hand-authored-pr4,active
AP-TECH-AI-02,ROL-053,45,,hand-authored-pr4,active
AP-TECH-AI-02,ROL-057,30,,hand-authored-pr4,active
AP-TECH-AI-02,ROL-197,25,,hand-authored-pr4,active
AP-TECH-AI-03,ROL-055,50,,hand-authored-pr4,active
AP-TECH-AI-03,ROL-056,30,,hand-authored-pr4,active
AP-TECH-AI-03,ROL-202,20,,hand-authored-pr4,active
AP-TECH-AI-04,ROL-060,40,,hand-authored-pr4,active
AP-TECH-AI-04,ROL-058,35,,hand-authored-pr4,active
AP-TECH-AI-04,ROL-059,25,,hand-authored-pr4,active
AP-TECH-AI-05,ROL-019,30,,hand-authored-pr4,active
AP-TECH-AI-05,ROL-020,45,,hand-authored-pr4,active
AP-TECH-AI-05,ROL-173,25,,hand-authored-pr4,active
AP-TECH-DATA-01,ROL-023,45,,hand-authored-pr4,active
AP-TECH-DATA-01,ROL-022,25,,hand-authored-pr4,active
AP-TECH-DATA-01,ROL-179,30,,hand-authored-pr4,active
AP-TECH-DATA-02,ROL-037,50,,hand-authored-pr4,active
AP-TECH-DATA-02,ROL-176,30,,hand-authored-pr4,active
AP-TECH-DATA-02,ROL-178,20,,hand-authored-pr4,active
AP-TECH-DATA-03,ROL-026,40,,hand-authored-pr4,active
AP-TECH-DATA-03,ROL-030,35,,hand-authored-pr4,active
AP-TECH-DATA-03,ROL-029,25,,hand-authored-pr4,active
AP-TECH-DATA-04,ROL-040,30,,hand-authored-pr4,active
AP-TECH-DATA-04,ROL-041,50,,hand-authored-pr4,active
AP-TECH-DATA-04,ROL-042,20,,hand-authored-pr4,active
AP-TECH-DATA-05,ROL-024,60,,hand-authored-pr4,active
AP-TECH-DATA-05,ROL-025,40,,hand-authored-pr4,active
AP-TECH-APP-01,ROL-084,40,,hand-authored-pr4,active
