role_code,canonical_name,tower_code,capability_code,role_family_code,role_type,allowed_level_min,allowed_level_max,default_rate_band_code,internal_external_default,billable_default,source_artifact,source_row,source_label,status,version
ROL-001,Transformation Partner,TWR-01,CAP-001,RF-0001,delivery,Partner,Partner,ROL-001-LVL-01,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,6,Transformation Partner,active,1
ROL-002,Transformation Director,TWR-01,CAP-001,RF-0001,delivery,Director,Principal,ROL-002-LVL-04,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,7,Transformation Director,active,1
ROL-003,Operating Model Lead,TWR-01,CAP-002,RF-0002,delivery,Senior Manager,Director,ROL-003-LVL-05,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,8,Operating Model Lead,active,1
ROL-004,Value Architect,TWR-01,CAP-003,RF-0003,architecture,Manager,Principal,ROL-004-LVL-06,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,9,Value Architect,active,1
ROL-005,Business Case Lead,TWR-01,CAP-004,RF-0004,delivery,Manager,Director,ROL-005-LVL-06,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,10,Business Case Lead,active,1
ROL-006,Transformation Consultant,TWR-01,CAP-001,RF-0001,delivery,Intermediate,Manager,ROL-006-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,11,Transformation Consultant,active,1
ROL-007,Financial Services Principal SME,TWR-02,CAP-005,RF-0005,functional,Principal,Managing Director,ROL-007-LVL-03,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,12,Financial Services Principal SME,active,1
ROL-008,Financial Services Domain Consultant,TWR-02,CAP-005,RF-0005,functional,Senior,Senior Manager,ROL-008-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,13,Financial Services Domain Consultant,active,1
ROL-009,Healthcare Principal SME,TWR-02,CAP-006,RF-0006,functional,Principal,Managing Director,ROL-009-LVL-03,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,14,Healthcare Principal SME,active,1
ROL-010,Healthcare Domain Consultant,TWR-02,CAP-006,RF-0006,functional,Senior,Senior Manager,ROL-010-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,15,Healthcare Domain Consultant,active,1
ROL-011,Retail & CPG Principal SME,TWR-02,CAP-007,RF-0007,functional,Principal,Managing Director,ROL-011-LVL-03,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,16,Retail & CPG Principal SME,active,1
ROL-012,Retail & CPG Domain Consultant,TWR-02,CAP-007,RF-0007,functional,Senior,Senior Manager,ROL-012-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,17,Retail & CPG Domain Consultant,active,1
ROL-013,Manufacturing Principal SME,TWR-02,CAP-008,RF-0008,functional,Principal,Managing Director,ROL-013-LVL-03,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,18,Manufacturing Principal SME,active,1
ROL-014,Manufacturing Domain Consultant,TWR-02,CAP-008,RF-0008,functional,Senior,Senior Manager,ROL-014-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,19,Manufacturing Domain Consultant,active,1
ROL-015,Public Sector Principal SME,TWR-02,CAP-009,RF-0009,functional,Principal,Managing Director,ROL-015-LVL-03,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,20,Public Sector Principal SME,active,1
ROL-016,Public Sector Domain Consultant,TWR-02,CAP-009,RF-0009,functional,Senior,Senior Manager,ROL-016-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,21,Public Sector Domain Consultant,active,1
ROL-017,Process Design Lead,TWR-03,CAP-010,RF-0020,delivery,Manager,Director,ROL-017-LVL-06,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,22,Process Design Lead,active,1
ROL-018,Process Mining Consultant,TWR-03,CAP-011,RF-0021,delivery,Senior,Manager,ROL-018-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,23,Process Mining Consultant,active,1
ROL-019,Intelligent Automation Architect,TWR-03,CAP-012,RF-0022,architecture,Lead,Director,ROL-019-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,24,Intelligent Automation Architect,active,1
ROL-020,Automation Engineer,TWR-03,CAP-012,RF-0022,delivery,Intermediate,Senior,ROL-020-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,25,Automation Engineer,active,1
ROL-021,Chief Data Officer (Advisory),TWR-04,CAP-013,RF-0024,delivery,Managing Director,Partner,ROL-021-LVL-02,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,26,Chief Data Officer (Advisory),active,1
ROL-022,Enterprise Data Architect,TWR-04,CAP-013,RF-0024,architecture,Director,Principal,ROL-022-LVL-04,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,27,Enterprise Data Architect,active,1
ROL-023,Data Architect,TWR-04,CAP-013,RF-0024,architecture,Lead,Director,ROL-023-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,28,Data Architect,active,1
ROL-024,Data Product Manager,TWR-04,CAP-018,RF-0029,delivery,Manager,Director,ROL-024-LVL-06,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,29,Data Product Manager,active,1
ROL-025,Data Product Owner,TWR-04,CAP-018,RF-0029,delivery,Senior,Senior Manager,ROL-025-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,30,Data Product Owner,active,1
ROL-026,Data Governance Lead,TWR-04,CAP-014,RF-0025,governance,Manager,Director,ROL-026-LVL-06,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,31,Data Governance Lead,active,1
