eligibility_code,provider_class_code,provider_class_name,location_code,location_name,shore_category,role_delivery_group,eligibility,requires_manual_review,source_artifact,status,version,notes
ELIG-AI-B-LOC-ATLANTA-ARCHITECTURE-SECURITY,AI-B,AI-B,LOC-ATLANTA,Atlanta,onshore,architecture_security,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-ATLANTA-COMMODITY-DELIVERY,AI-B,AI-B,LOC-ATLANTA,Atlanta,onshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-ATLANTA-EXECUTIVE-ADVISORY,AI-B,AI-B,LOC-ATLANTA,Atlanta,onshore,executive_advisory,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-ATLANTA-PLATFORM-DELIVERY,AI-B,AI-B,LOC-ATLANTA,Atlanta,onshore,platform_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-ATLANTA-REGULATED-DOMAIN,AI-B,AI-B,LOC-ATLANTA,Atlanta,onshore,regulated_domain,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-AUSTRALIA-ARCHITECTURE-SECURITY,AI-B,AI-B,LOC-AUSTRALIA,Australia,onshore,architecture_security,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-AUSTRALIA-COMMODITY-DELIVERY,AI-B,AI-B,LOC-AUSTRALIA,Australia,onshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-AUSTRALIA-EXECUTIVE-ADVISORY,AI-B,AI-B,LOC-AUSTRALIA,Australia,onshore,executive_advisory,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-AUSTRALIA-PLATFORM-DELIVERY,AI-B,AI-B,LOC-AUSTRALIA,Australia,onshore,platform_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-AUSTRALIA-REGULATED-DOMAIN,AI-B,AI-B,LOC-AUSTRALIA,Australia,onshore,regulated_domain,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-CANADA-ARCHITECTURE-SECURITY,AI-B,AI-B,LOC-CANADA,Canada,nearshore,architecture_security,conditional_review,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-CANADA-COMMODITY-DELIVERY,AI-B,AI-B,LOC-CANADA,Canada,nearshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-CANADA-EXECUTIVE-ADVISORY,AI-B,AI-B,LOC-CANADA,Canada,nearshore,executive_advisory,not_eligible,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-CANADA-PLATFORM-DELIVERY,AI-B,AI-B,LOC-CANADA,Canada,nearshore,platform_delivery,conditional_review,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-CANADA-REGULATED-DOMAIN,AI-B,AI-B,LOC-CANADA,Canada,nearshore,regulated_domain,conditional_review,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-CHICAGO-ARCHITECTURE-SECURITY,AI-B,AI-B,LOC-CHICAGO,Chicago,onshore,architecture_security,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-CHICAGO-COMMODITY-DELIVERY,AI-B,AI-B,LOC-CHICAGO,Chicago,onshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-CHICAGO-EXECUTIVE-ADVISORY,AI-B,AI-B,LOC-CHICAGO,Chicago,onshore,executive_advisory,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-CHICAGO-PLATFORM-DELIVERY,AI-B,AI-B,LOC-CHICAGO,Chicago,onshore,platform_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
