role_family_code,tower_code,capability_code,family_name,source_artifact,status,version
RF-0001,TWR-01,CAP-001,Transformation Strategy,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0002,TWR-01,CAP-002,Operating Model Design,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0003,TWR-01,CAP-003,Value Architecture,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0004,TWR-01,CAP-004,Business Case & ROI,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0005,TWR-02,CAP-005,Financial Services Domain,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0006,TWR-02,CAP-006,Healthcare Domain,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0007,TWR-02,CAP-007,Retail & CPG Domain,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0008,TWR-02,CAP-008,Manufacturing Domain,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0009,TWR-02,CAP-009,Public Sector Domain,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0010,TWR-02,CAP-130,Banking Domain,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0011,TWR-02,CAP-131,Capital Markets Domain,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0012,TWR-02,CAP-132,Insurance Domain,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0013,TWR-02,CAP-133,Payments Domain,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0014,TWR-02,CAP-134,Payer Domain,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0015,TWR-02,CAP-135,Provider Domain,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0016,TWR-02,CAP-136,Life Sciences Domain,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0017,TWR-02,CAP-137,Energy & Utilities Domain,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0018,TWR-02,CAP-138,Telecom Domain,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0019,TWR-02,CAP-139,Media Domain,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0020,TWR-03,CAP-010,Process Design,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0021,TWR-03,CAP-011,Process Mining,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0022,TWR-03,CAP-012,Intelligent Automation,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0023,TWR-03,CAP-129,Robotic Process Automation,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0024,TWR-04,CAP-013,Data Strategy,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0025,TWR-04,CAP-014,Data Governance,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0026,TWR-04,CAP-015,Data Quality,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0027,TWR-04,CAP-016,Metadata Management,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0028,TWR-04,CAP-017,Master Data Management,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0029,TWR-04,CAP-018,Data Products,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0030,TWR-04,CAP-019,Data Engineering,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0031,TWR-04,CAP-020,Business Intelligence,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0032,TWR-04,CAP-021,Reporting,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0033,TWR-04,CAP-022,Advanced Analytics,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0034,TWR-04,CAP-023,Snowflake,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0035,TWR-04,CAP-024,Databricks,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0036,TWR-04,CAP-025,Informatica,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0037,TWR-04,CAP-026,Collibra,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0038,TWR-05,CAP-027,Agentic AI,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0039,TWR-05,CAP-028,Generative AI,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0040,TWR-05,CAP-029,Prompt Engineering,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0041,TWR-05,CAP-030,Machine Learning,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0042,TWR-05,CAP-031,MLOps,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0043,TWR-05,CAP-032,LLMOps,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0044,TWR-05,CAP-033,Responsible AI,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0045,TWR-05,CAP-034,AI Governance,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0046,TWR-05,CAP-035,Model Validation,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0047,TWR-06,CAP-036,UX Design,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0048,TWR-06,CAP-037,UI Design,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0049,TWR-06,CAP-038,Customer Journey,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0050,TWR-06,CAP-039,Commerce,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0051,TWR-06,CAP-040,Content Management,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0052,TWR-07,CAP-041,Adobe AEM,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0053,TWR-07,CAP-042,Adobe Analytics,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0054,TWR-07,CAP-043,MarTech Strategy,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0055,TWR-07,CAP-044,Customer Data Platform,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0056,TWR-07,CAP-045,Journey Orchestration,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0057,TWR-08,CAP-046,Product Strategy,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0058,TWR-08,CAP-047,Product Ownership,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0059,TWR-08,CAP-048,Product Discovery,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0060,TWR-09,CAP-049,Microservices,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0061,TWR-09,CAP-050,API Engineering,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0062,TWR-09,CAP-051,Frontend Engineering,"derived: grouping key = {tower_code, capability_code}",active,1
