activity_pack_code,rule_code,operation,driver_code,parameters,classification,sequence,source_artifact,status
AP-TECH-AI-01,AP-TECH-AI-01-R1,fixed_hours,,"{""hours"":120}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-AI-01,AP-TECH-AI-01-R2,per_unit_hours,ai_use_case_count,"{""unitHours"":24}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-AI-02,AP-TECH-AI-02-R1,fixed_hours,,"{""hours"":80}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-AI-02,AP-TECH-AI-02-R2,per_unit_hours,ai_use_case_count,"{""unitHours"":180}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-AI-03,AP-TECH-AI-03-R1,fixed_hours,,"{""hours"":160}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-AI-03,AP-TECH-AI-03-R2,per_unit_hours,model_count,"{""unitHours"":60}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-AI-03,AP-TECH-AI-03-R3,manual_cost_line,,"{""costCents"":1500000,""rationale"":""Initial LLMOps platform tooling license/setup fee — fixed regardless of scale.""}",shared_program,3,hand-authored-pr4,active
AP-TECH-AI-04,AP-TECH-AI-04-R1,fixed_hours,,"{""hours"":60}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-AI-04,AP-TECH-AI-04-R2,per_unit_hours,model_count,"{""unitHours"":20}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-AI-05,AP-TECH-AI-05-R1,fixed_hours,,"{""hours"":40}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-AI-05,AP-TECH-AI-05-R2,per_unit_hours,automation_count,"{""unitHours"":50}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-DATA-01,AP-TECH-DATA-01-R1,fixed_hours,,"{""hours"":100}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-DATA-01,AP-TECH-DATA-01-R2,per_unit_hours,data_domain_count,"{""unitHours"":40}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-DATA-02,AP-TECH-DATA-02-R1,fixed_hours,,"{""hours"":80}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-DATA-02,AP-TECH-DATA-02-R2,per_unit_hours,data_source_count,"{""unitHours"":60}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-DATA-03,AP-TECH-DATA-03-R1,fixed_hours,,"{""hours"":100}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-DATA-03,AP-TECH-DATA-03-R2,per_unit_hours,data_domain_count,"{""unitHours"":30}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-DATA-04,AP-TECH-DATA-04-R1,fixed_hours,,"{""hours"":40}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-DATA-04,AP-TECH-DATA-04-R2,per_unit_hours,report_count,"{""unitHours"":16}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-DATA-05,AP-TECH-DATA-05-R1,fixed_hours,,"{""hours"":80}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-DATA-05,AP-TECH-DATA-05-R2,hours_per_wave,rollout_wave_count,"{""hoursPerWave"":24}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-APP-01,AP-TECH-APP-01-R1,fixed_hours,,"{""hours"":120}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-APP-01,AP-TECH-APP-01-R2,per_unit_hours,application_count,"{""unitHours"":40}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-APP-02,AP-TECH-APP-02-R1,fixed_hours,,"{""hours"":100}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-APP-02,AP-TECH-APP-02-R2,per_unit_hours,application_count,"{""unitHours"":220}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-APP-03,AP-TECH-APP-03-R1,fixed_hours,,"{""hours"":80}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-APP-03,AP-TECH-APP-03-R2,per_unit_hours,application_count,"{""unitHours"":160}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-APP-04,AP-TECH-APP-04-R1,fixed_hours,,"{""hours"":60}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-APP-04,AP-TECH-APP-04-R2,per_unit_hours,application_count,"{""unitHours"":200}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-APP-05,AP-TECH-APP-05-R1,fixed_hours,,"{""hours"":60}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-APP-05,AP-TECH-APP-05-R2,per_unit_hours,test_case_count,"{""unitHours"":1.5}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-CLOUD-01,AP-TECH-CLOUD-01-R1,fixed_hours,,"{""hours"":120}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-CLOUD-01,AP-TECH-CLOUD-01-R2,per_unit_hours,environment_count,"{""unitHours"":60}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-CLOUD-02,AP-TECH-CLOUD-02-R1,fixed_hours,,"{""hours"":80}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-CLOUD-02,AP-TECH-CLOUD-02-R2,tiered_unit_hours,environment_count,"{""tiers"":[{""uptoQuantity"":3,""unitHours"":90},{""uptoQuantity"":null,""unitHours"":65}]}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-CLOUD-03,AP-TECH-CLOUD-03-R1,fixed_hours,,"{""hours"":60}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-CLOUD-03,AP-TECH-CLOUD-03-R2,per_unit_hours,environment_count,"{""unitHours"":40}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-INTEG-01,AP-TECH-INTEG-01-R1,fixed_hours,,"{""hours"":80}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-INTEG-01,AP-TECH-INTEG-01-R2,per_unit_hours,integration_count,"{""unitHours"":30}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-INTEG-02,AP-TECH-INTEG-02-R1,fixed_hours,,"{""hours"":60}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-INTEG-02,AP-TECH-INTEG-02-R2,per_unit_hours,integration_count,"{""unitHours"":70}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-PROC-01,AP-TECH-PROC-01-R1,fixed_hours,,"{""hours"":160}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-PROC-01,AP-TECH-PROC-01-R2,hours_per_stakeholder_group,stakeholder_group_count,"{""hoursPerGroup"":20}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-PROC-02,AP-TECH-PROC-02-R1,fixed_hours,,"{""hours"":80}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-PROC-02,AP-TECH-PROC-02-R2,per_unit_hours,process_count,"{""unitHours"":50}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-PROC-03,AP-TECH-PROC-03-R1,fixed_hours,,"{""hours"":60}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-PROC-03,AP-TECH-PROC-03-R2,per_unit_hours,process_count,"{""unitHours"":20}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-PROC-04,AP-TECH-PROC-04-R1,fixed_hours,,"{""hours"":40}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-PROC-04,AP-TECH-PROC-04-R2,per_unit_hours,automation_count,"{""unitHours"":55}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-AMS-01,AP-TECH-AMS-01-R1,fixed_hours,,"{""hours"":120}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-AMS-01,AP-TECH-AMS-01-R2,hours_per_supplier_month,supplier_month_count,"{""hoursPerSupplierMonth"":8}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-AMS-02,AP-TECH-AMS-02-R1,fixed_hours,,"{""hours"":80}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-AMS-02,AP-TECH-AMS-02-R2,per_unit_hours,application_count,"{""unitHours"":24}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-AMS-03,AP-TECH-AMS-03-R1,fixed_hours,,"{""hours"":100}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-AMS-03,AP-TECH-AMS-03-R2,per_unit_hours,support_ticket_volume_monthly,"{""unitHours"":0.6}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-AMS-04,AP-TECH-AMS-04-R1,fixed_hours,,"{""hours"":60}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-AMS-04,AP-TECH-AMS-04-R2,per_unit_hours,environment_count,"{""unitHours"":30}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-ERP-01,AP-TECH-ERP-01-R1,fixed_hours,,"{""hours"":160}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-ERP-01,AP-TECH-ERP-01-R2,per_unit_hours,module_count,"{""unitHours"":50}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-ERP-02,AP-TECH-ERP-02-R1,fixed_hours,,"{""hours"":100}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-ERP-02,AP-TECH-ERP-02-R2,per_unit_hours,module_count,"{""unitHours"":220}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-ERP-03,AP-TECH-ERP-03-R1,fixed_hours,,"{""hours"":80}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-ERP-03,AP-TECH-ERP-03-R2,per_unit_hours,integration_count,"{""unitHours"":45}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-ERP-04,AP-TECH-ERP-04-R1,fixed_hours,,"{""hours"":100}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-ERP-04,AP-TECH-ERP-04-R2,per_unit_hours,data_domain_count,"{""unitHours"":70}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-ERP-05,AP-TECH-ERP-05-R1,fixed_hours,,"{""hours"":60}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-ERP-05,AP-TECH-ERP-05-R2,per_unit_hours,role_count,"{""unitHours"":6}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-LEGACY-01,AP-TECH-LEGACY-01-R1,fixed_hours,,"{""hours"":140}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-LEGACY-01,AP-TECH-LEGACY-01-R2,per_unit_hours,program_count,"{""unitHours"":8}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-LEGACY-02,AP-TECH-LEGACY-02-R1,fixed_hours,,"{""hours"":80}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-LEGACY-02,AP-TECH-LEGACY-02-R2,per_unit_hours,batch_job_count,"{""unitHours"":20}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-LEGACY-03,AP-TECH-LEGACY-03-R1,fixed_hours,,"{""hours"":100}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-LEGACY-03,AP-TECH-LEGACY-03-R2,per_unit_hours,batch_job_count,"{""unitHours"":12}",initiative_specific,2,hand-authored-pr4,active
AP-TECH-LEGACY-04,AP-TECH-LEGACY-04-R1,fixed_hours,,"{""hours"":100}",initiative_specific,1,hand-authored-pr4,active
AP-TECH-LEGACY-04,AP-TECH-LEGACY-04-R2,per_unit_hours,application_count,"{""unitHours"":260}",initiative_specific,2,hand-authored-pr4,active
AP-SHARED-01,AP-SHARED-01-R1,fixed_hours,,"{""hours"":80}",initiative_specific,1,hand-authored-pr4,active
AP-SHARED-01,AP-SHARED-01-R2,hours_per_stakeholder_group,stakeholder_group_count,"{""hoursPerGroup"":16}",initiative_specific,2,hand-authored-pr4,active
AP-SHARED-02,AP-SHARED-02-R1,fixed_hours,,"{""hours"":60}",initiative_specific,1,hand-authored-pr4,active
AP-SHARED-02,AP-SHARED-02-R2,hours_per_stakeholder_group,stakeholder_group_count,"{""hoursPerGroup"":8}",initiative_specific,2,hand-authored-pr4,active
AP-SHARED-03,AP-SHARED-03-R1,fixed_hours,,"{""hours"":100}",initiative_specific,1,hand-authored-pr4,active
AP-SHARED-03,AP-SHARED-03-R2,per_unit_hours,role_count,"{""unitHours"":4}",initiative_specific,2,hand-authored-pr4,active
AP-SHARED-04,AP-SHARED-04-R1,fixed_hours,,"{""hours"":40}",initiative_specific,1,hand-authored-pr4,active
AP-SHARED-04,AP-SHARED-04-R2,hours_per_course,course_count,"{""hoursPerCourse"":32}",initiative_specific,2,hand-authored-pr4,active
