location_code,region_name,shore_category,salary_multiplier,rate_multiplier,scarcity_multiplier,cost_of_living_index,source_artifact,source_row,status,version
LOC-ATLANTA,Atlanta,onshore,0.98,1,1,0.98,Workforce_Taxonomy_Master.xlsx:Geography,11,active,1
LOC-AUSTRALIA,Australia,onshore,1.08,1.1,1.05,1.12,Workforce_Taxonomy_Master.xlsx:Geography,21,active,1
LOC-CANADA,Canada,nearshore,0.82,0.85,0.95,0.9,Workforce_Taxonomy_Master.xlsx:Geography,12,active,1
LOC-CHICAGO,Chicago,onshore,1.05,1.05,1,1.05,Workforce_Taxonomy_Master.xlsx:Geography,8,active,1
LOC-DALLAS,Dallas,onshore,1,1,1,1,Workforce_Taxonomy_Master.xlsx:Geography,10,active,1
LOC-EASTERN-EUROPE,Eastern Europe,nearshore,0.55,0.6,0.9,0.55,Workforce_Taxonomy_Master.xlsx:Geography,15,active,1
LOC-HOUSTON,Houston,onshore,1,1,1,1,Workforce_Taxonomy_Master.xlsx:Geography,9,active,1
LOC-INDIA-TIER-1,India Tier 1,offshore,0.3,0.4,0.85,0.35,Workforce_Taxonomy_Master.xlsx:Geography,16,active,1
LOC-INDIA-TIER-2,India Tier 2,offshore,0.24,0.34,0.8,0.28,Workforce_Taxonomy_Master.xlsx:Geography,17,active,1
LOC-LATAM,LATAM,nearshore,0.5,0.58,0.9,0.52,Workforce_Taxonomy_Master.xlsx:Geography,19,active,1
LOC-MIDDLE-EAST,Middle East,onshore,0.95,1,1.05,1,Workforce_Taxonomy_Master.xlsx:Geography,20,active,1
LOC-NYC,NYC,onshore,1.2,1.18,1.1,1.25,Workforce_Taxonomy_Master.xlsx:Geography,5,active,1
LOC-PHILIPPINES,Philippines,offshore,0.26,0.36,0.8,0.3,Workforce_Taxonomy_Master.xlsx:Geography,18,active,1
LOC-SEATTLE,Seattle,onshore,1.15,1.12,1.1,1.18,Workforce_Taxonomy_Master.xlsx:Geography,7,active,1
LOC-SF-BAY-AREA,SF / Bay Area,onshore,1.25,1.22,1.15,1.3,Workforce_Taxonomy_Master.xlsx:Geography,6,active,1
LOC-UK,UK,onshore,1.05,1.08,1.05,1.1,Workforce_Taxonomy_Master.xlsx:Geography,13,active,1
LOC-WESTERN-EUROPE,Western Europe,onshore,1.02,1.05,1.05,1.08,Workforce_Taxonomy_Master.xlsx:Geography,14,active,1
