contract_id,vendor,system_id,annual_value_usd,renewal_date,days_until_renewal_from_2026_04_29,owner,status,strategic_importance,proposed_action,notes
ren:apex:001,Shopify,sys:apex:shopify-pos-pilot,80000,2026-07-15,77,person:apex:vacant-store-tech,Pilot — decision required,Low,Decide pilot extend / convert,"6-store pilot; vacant VP slowing decision; risk of default-renew without strategic direction"
ren:apex:002,Klaviyo,sys:apex:klaviyo,420000,2026-08-15,108,person:apex:priya-iyer,Approaching — strategy needed,High,Negotiate; assess CDP integration impact,"Co-renewal date with Tealium creates leverage; CDP program implications"
ren:apex:003,Tealium,sys:apex:tealium-cdp,310000,2026-08-15,108,person:apex:priya-iyer,Sunset target,High,Wind-down (will be replaced by CDP),"Will be replaced when CDP rolls out; do not renew long-term"
ren:apex:004,Databricks,sys:apex:databricks,680000,2026-08-31,124,person:apex:james-wright,Approaching — review,High,Likely renew; expansion negotiation,"Growing usage; AI platform decision pending; renewal will lock or expand"
ren:apex:005,Splunk,sys:apex:splunk,1120000,2026-08-31,124,person:apex:kevin-harrison,Approaching — material decision,Critical,Strategic decision; alternatives evaluated,"Cost concern; Cisco acquisition implications; alternatives under evaluation"
ren:apex:006,Cloudflare,sys:apex:cloudflare,240000,2026-08-31,124,person:apex:priya-iyer,Approaching,Critical,Renew,"Performing well; e-commerce dependency"
ren:apex:007,Pinecone,sys:apex:pinecone,120000,2026-08-31,124,person:apex:james-wright,Approaching — pilot decision,Medium,Likely sunset (pgvector alternative),"Vector DB; pgvector being evaluated as alternative"
ren:apex:008,Twilio Segment,sys:apex:segment,240000,2026-08-31,124,person:apex:priya-iyer,Approaching,High,Hold; CDP decision will determine,"CDP-adjacent; consolidation candidate"
ren:apex:009,Airbyte,sys:apex:airbyte-pilot,40000,2026-12-31,246,person:apex:james-wright,Pilot — decision pending,Low,Pilot extension or conclude,"Pilot as Fivetran alternative"
ren:apex:010,Salesforce (Sales + Service),sys:apex:salesforce-core,1240000,2026-09-15,139,person:apex:priya-iyer,Approaching — major,Critical,Strategic — Einstein scope debate,"Renewal in 90 days from now (April 29); CMO asking for Einstein activation; multi-faceted negotiation"
ren:apex:011,Salesforce Commerce,sys:apex:salesforce-commerce,1810000,2026-09-15,139,person:apex:priya-iyer,Approaching — major,Critical,Renew with discipline,"Co-renews with SF core; MFN clause leverage"
ren:apex:012,Tableau (via Salesforce),sys:apex:tableau,420000,2026-09-15,139,person:apex:james-wright,Approaching,High,Strategic decision (Power BI alternative),"Co-renews with SF; Power BI alternative emerging"
ren:apex:013,Five9 (pilot),sys:apex:five9-pilot,120000,2026-12-31,246,person:apex:priya-iyer,Pilot — decision required,Medium,Pilot decision against NICE incumbent,"Pilot for CC AI program; convert or extend"
ren:apex:014,Adobe Target,sys:apex:adobe-target,220000,2026-12-31,246,person:apex:priya-iyer,Approaching,Medium,Renew with reduced scope,"Used for e-commerce experimentation"
ren:apex:015,Adobe Analytics,sys:apex:adobe-analytics,290000,2026-12-31,246,person:apex:priya-iyer,Approaching,Low,Likely sunset,"Overlap with GA360; consolidation candidate"
ren:apex:016,DocuSign,sys:apex:docusign,160000,2026-11-30,215,person:apex:rebecca-singh,Approaching,High,Renew,"Standard tool"
ren:apex:017,Snowflake,sys:apex:snowflake,1320000,2026-11-30,215,person:apex:james-wright,Approaching — major,Critical,Renew with FinOps discipline,"Spend grew 28% YoY; renewal is opportunity for commit / discount"
ren:apex:018,Snowflake PII Vault,sys:apex:snowflake-pii-vault,180000,2026-11-30,215,person:apex:james-wright,Approaching,High,Renew,"Co-renew with Snowflake"
ren:apex:019,OneTrust,sys:apex:onetrust,310000,2026-11-30,215,person:apex:rebecca-singh,Approaching,High,Renew,"Privacy program; expanding"
ren:apex:020,Braze,sys:apex:braze,310000,2026-10-31,185,person:apex:priya-iyer,Approaching,High,Renew,"Mobile push; AI features"
ren:apex:021,Datadog,sys:apex:datadog,420000,2026-12-31,246,person:apex:raj-patel,Approaching,High,Renew with FinOps discipline,"Cost growth concern"
ren:apex:022,Slack,sys:apex:slack,420000,2026-12-31,246,person:apex:thomas-brennan,Approaching,High,Recently renewed early — locked,"Locked in 2025"
ren:apex:023,Asana,sys:apex:asana,80000,2026-12-31,246,person:apex:thomas-brennan,Approaching,Medium,Hold; assess consolidation,"Marketing/creative use; not enterprise standard"
ren:apex:024,Mailchimp,N/A — shadow,180,2026-12-31,246,(varied),Approaching,Low,Sunset,"Internal newsletter; consolidate to Klaviyo"
ren:apex:025,SAP Concur,sys:apex:concur,210000,2026-12-31,246,person:apex:diana-lopez,Approaching,Medium,Renew,"Stable"
ren:apex:026,SAP Ariba (Supplier),sys:apex:ariba-supplier,140000,2026-12-31,246,person:apex:nathan-kohl,Approaching,Low,Likely sunset,"Subset of suppliers; consolidate to Coupa"
ren:apex:027,Hugging Face,sys:apex:hugging-face,40000,2026-12-31,246,person:apex:james-wright,Approaching,Low,Renew,"Open source models"
ren:apex:028,Zoom,sys:apex:zoom,240000,2026-09-30,154,person:apex:raj-patel,Approaching,High,Renew,"Standard"
ren:apex:029,Atlassian,sys:apex:atlassian,180000,2026-12-31,246,person:apex:raj-patel,Approaching,Medium,Renew,"Standard"
ren:apex:030,GitHub,sys:apex:github,140000,2026-09-30,154,person:apex:raj-patel,Approaching,High,Renew with Copilot decision,"Copilot evaluation deferred 2025; revisit at renewal"
