category,subcategory,fy2026_planned_usd,fy2025_actual_usd,fy2024_actual_usd,fy2023_actual_usd,run_change_transform,vendor_top,notes
Total IT Spend,All,87400000,84200000,79100000,76800000,N/A,N/A,"Total IT budget; ~3.6% of revenue"
Run,Infrastructure & Cloud,18200000,17400000,15800000,14200000,Run,AWS / Microsoft / Cloudflare,"AWS EDP commit $4.5M annually + Azure + edge"
Run,Application Operations,14200000,13800000,16400000,15800000,Run,Wipro / Deloitte / internal,"AMS spend; declining as consolidation progresses"
Run,Security Operations,8400000,7800000,7100000,6400000,Run,CrowdStrike / Splunk / Okta,"Growing for AI/governance demands"
Run,End User Compute,4200000,4100000,4000000,3800000,Run,Microsoft / Apple / Dell,"M365 + endpoint + collaboration"
Run,IT Service Management,2800000,2700000,2500000,2400000,Run,ServiceNow,"ITSM platform + IT support"
Run,Network & Telecom,3400000,3300000,3200000,3100000,Run,AT&T / Cloudflare / Verizon,"Stores network + DC + internet"
Change,Application Development,9800000,8900000,7800000,7400000,Change,Internal + GitHub + Atlassian,"Engineering capacity"
Change,Data Platform,6800000,6200000,5400000,4200000,Change,Snowflake / Databricks / Fivetran,"Growth area; FinOps review scheduled"
Transform,CDP Activation 2026,4800000,1200000,0,0,Transform,(vendor TBD),"Multi-year program; spend ramping"
Transform,Contact Center AI 2026,2400000,300000,0,0,Transform,Five9 (pilot) + Salesforce,"Early stage"
Transform,AMS Consolidation 2026,3800000,2400000,0,0,Transform,(vendor BAFO),"Currently in P2 Synthesis"
Transform,Demand Forecasting 2026,1800000,200000,0,0,Transform,(vendor TBD),"Currently in P0/P1 transition"
Transform,Cloud Migration Phase 2,3200000,2800000,1800000,400000,Transform,AWS + internal + Deloitte,"Ongoing; ~70% complete"
Transform,Security Maturity Investments,2400000,1900000,1400000,1200000,Transform,Various,"AI governance, third-party risk"
Transform,Other (smaller programs),3200000,2800000,2200000,1800000,Transform,Various,"Various smaller initiatives"
SaaS Spend Total,All,32400000,30800000,28200000,25400000,N/A,N/A,"~37% of IT spend in SaaS"
Cloud Infra Total,All,5600000,4800000,3600000,2400000,N/A,AWS + Azure,"AWS EDP + Azure + smaller cloud"
Consulting Spend Total,All,8200000,7400000,9800000,8200000,N/A,Various,"Reduced from 2023 peak; 2026 includes AMS Consolidation transition"
Vendor Spend Top 1,Microsoft,2840000,2680000,2420000,2180000,Run + Change,Microsoft,"M365 + Azure + Power BI + Copilot eval"
Vendor Spend Top 2,SAP,3140000,3020000,2880000,2640000,Run + Change,SAP,"S/4HANA + Concur + Ariba"
Vendor Spend Top 3,Salesforce,3290000,3120000,2840000,2480000,Run + Change,Salesforce,"Sales + Service + Commerce + Tableau"
Vendor Spend Top 4,AWS,4280000,3940000,3120000,2400000,Run + Change,AWS,"EDP commit + variable; growth"
Vendor Spend Top 5,Snowflake,1320000,1080000,720000,440000,Change,Snowflake,"Growth via data platform expansion"
Vendor Spend Top 6,Wipro (AMS),3800000,4200000,5800000,5600000,Run,Wipro,"AMS spend; declining as consolidation progresses"
Vendor Spend Top 7,Splunk,1120000,1080000,920000,840000,Run,Splunk,"Renewal coming; cost concern"
Vendor Spend Top 8,Workday,1140000,1080000,1020000,960000,Run,Workday,"Recently renewed"
Vendor Spend Top 9,Oracle (POS + Merch),2400000,2400000,2400000,2400000,Run,Oracle,"Stable; renewal 2027"
Vendor Spend Top 10,Okta,640000,580000,520000,460000,Run,Okta,"Workforce + customer identity"
Vendor Spend Top 11,Klaviyo,420000,380000,340000,260000,Run,Klaviyo,"Marketing"
Vendor Spend Top 12,Tealium,310000,300000,280000,240000,Run,Tealium,"Will sunset with CDP"
Vendor Spend Top 13,Coupa,440000,420000,400000,180000,Run,Coupa,"Implemented 2024"
Vendor Spend Top 14,CrowdStrike,540000,490000,440000,360000,Run,CrowdStrike,"Strong tool"
Vendor Spend Top 15,Zscaler,720000,680000,580000,260000,Run,Zscaler,"Replaced legacy proxy"
Vendor Spend Top 16,NICE CXone,820000,780000,720000,640000,Run,NICE,"Aging; subject of CC AI program"
Vendor Spend Top 17,ServiceNow,890000,820000,720000,640000,Run,ServiceNow,"ITSM only"
Vendor Spend Top 18,Databricks,680000,580000,440000,180000,Change,Databricks,"Growing"
Vendor Spend Top 19,Datadog,420000,380000,340000,280000,Run,Datadog,"Renewal coming up"
Vendor Spend Top 20,Cloudflare,240000,220000,200000,180000,Run,Cloudflare,"Performing well"
License Waste,Identified,1240000,N/A,N/A,N/A,N/A,Various,"Estimate of unused licenses across SaaS portfolio; FinOps review scheduled"
Renewal Exposure Next 12mo,Total,7800000,N/A,N/A,N/A,N/A,Various,"Total SaaS renewal exposure in next 12 months"
