line_id,category,subcategory,owner_person_id,owner_name,fy2026_planned_capex_usd,fy2026_planned_opex_usd,fy2025_actual_capex_usd,funding_source,approval_authority,approval_status,linked_program_id,notes
capital:apex:ent-cap-fy26-it-store-tech,Capital — IT,"Store Technology Refresh (POS, Self-Checkout, RFID)",person:apex:vacant-store-tech,OPEN — Acting: Brandon Hayes,78000000,14000000,62000000,CIO_change_capital,EVP CIO + CFO joint,approved,,"Multi-year refresh; self-checkout fleet expansion + RFID rollout to 1,200 stores."
capital:apex:ent-cap-fy26-it-merchandising-platform,Capital — IT,Merchandising Platform Modernization,person:apex:patrick-suzuki,Patrick Suzuki,32500000,8500000,24000000,CIO_change_capital,EVP CIO + CMO Foster joint,approved,,Allocation + planning modernization; AI-assisted assortment integration.
capital:apex:ent-cap-fy26-it-data-platform,Capital — IT,Data Platform & CDP,person:apex:james-wright,James Wright,28500000,8500000,21000000,CIO_change_capital,EVP CIO + CDO Stratham joint,approved,,Snowflake expansion + CDP utilization + customer-360.
capital:apex:ent-cap-fy26-it-cybersecurity,Capital — IT,Cybersecurity & PCI Modernization,person:apex:sarah-whitfield,Sarah Whitfield (CISO),22000000,0,18500000,CIO_change_capital,EVP CIO + CFO joint,approved,,Compounded post-organized-retail-crime trend; PCI-DSS posture refresh.
capital:apex:ent-cap-fy26-it-ecommerce,Capital — IT,E-commerce Platform Reliability,person:apex:naveen-cabrera,Naveen Cabrera,24500000,4500000,18500000,CIO_change_capital,EVP CIO + CMO Park joint,approved,,Site conversion + marketplace integration.
capital:apex:ent-cap-fy26-it-ai-program,Capital — IT,"AI Program Portfolio (Workforce Scheduling, Demand Sensing, NBO)",person:apex:elena-fischer,Elena Fischer,12500000,4500000,6800000,CIO_transform_capital,EVP CIO + AI Gov Council,approved,,Workforce scheduling pilot + demand sensing + loyalty NBO; gated through governance.
capital:apex:ent-cap-fy26-it-supply-chain-systems,Capital — IT,Supply Chain Systems Modernization,person:apex:yousef-andrade,Yousef Andrade,18500000,4500000,14000000,CIO_change_capital,EVP CIO + CSCO Tanaka joint,approved,,DC automation integration; transport tech.
capital:apex:ent-cap-fy26-it-cloud-migration,Capital — IT,Cloud Migration & FinOps,person:apex:helena-brzezinski,Helena Brzezinski,14500000,6500000,11200000,CIO_run_capital,EVP CIO,approved,,Multi-cloud cost optimization + landing zone modernization.
capital:apex:ent-cap-fy26-store-construction-remodel,Capital — Stores,Store Construction & Remodel,person:apex:ronaldo-quintero,Ronaldo Quintero,780000000,0,720000000,Corporate_capital,Board Capital Committee,approved,,Multi-year remodel cycle + small-format expansion.
capital:apex:ent-cap-fy26-distribution-center-automation,Capital — Supply Chain,DC Automation,person:apex:esperanza-vargas,Esperanza Vargas,385000000,0,320000000,Corporate_capital,Board Capital Committee,approved,,Robotics + WMS upgrade; throughput + labor reduction.
capital:apex:ent-cap-fy26-supply-chain-transport-fleet,Capital — Supply Chain,Transport Fleet & Tech,person:apex:dieter-hauptmann,Dieter Hauptmann,145000000,0,124000000,Corporate_capital,EVP CSCO + CFO,approved,,Fleet refresh + last-mile capability.
capital:apex:ent-cap-fy26-corporate-headquarters,Capital — Real Estate,Corporate Real Estate,person:apex:ronaldo-quintero,Ronaldo Quintero,85000000,0,72000000,Corporate_capital,Board Capital Committee,approved,,HQ + regional office consolidation.
capital:apex:ent-opex-fy26-store-labor,Operating — Stores,Store Associate Labor (consolidated),person:apex:david-okonjo,David Okonjo (COO),0,18500000000,17800000000,Operating_budget,EVP COO + CEO + CFO,approved,,~219k store associates; largest line in Apex P&L.
capital:apex:ent-opex-fy26-cogs-grocery,Operating — COGS,Grocery + Consumables COGS,person:apex:marcus-aldridge,Marcus Aldridge,0,22500000000,21800000000,Operating_budget,EVP CMO Foster + CFO,approved,,Grocery margin recovery focus.
capital:apex:ent-opex-fy26-it-operations,Operating — IT,Total IT Operating Budget,person:apex:carlos-rivera,Carlos Rivera (CIO),0,1620000000,1525000000,CIO_run_budget,EVP CIO + CFO,approved,,Industry-standard 1.5% of revenue for retail at this scale.
