ai_asset_id,ai_asset_name,business_area,tool_or_model,stage,monthly_users_or_cases,measured_value_usd,risk_tier,evidence_status,next_gate
LAK-AI-ASSET-001,Kyriba global cash and payments rollout,Treasury,Kyriba workflow assistant,build,220,18920000,tier_2,review_required,SOX/control evidence approval
LAK-AI-ASSET-002,Treasury bank connectivity control evidence,Treasury controls,M365 Copilot,mobilize,400,8400000,tier_3,source_backed,scale readiness
LAK-AI-ASSET-003,Liquidity forecasting automation,FP&A,ServiceNow Now Assist,pilot,580,14820000,tier_3,source_backed,scale readiness
LAK-AI-ASSET-004,Automated close and finance reporting semantic layer,Finance,Claude/Codex/Cursor,build,760,21160000,tier_3,review_required,SOX/control evidence approval
LAK-AI-ASSET-005,ServiceNow finance support agent,IT Operations,Kyriba workflow assistant,pilot,940,3080000,tier_2,source_backed,scale readiness
LAK-AI-ASSET-006,Finance AI narrative and variance explainer,Finance,M365 Copilot,design,1120,5100000,tier_3,source_backed,scale readiness
LAK-AI-ASSET-007,Supplier working-capital analytics,Procurement,ServiceNow Now Assist,pilot,1300,9880000,tier_3,review_required,SOX/control evidence approval
LAK-AI-ASSET-008,Kyriba rollout assistant and defect triage,Treasury,Claude/Codex/Cursor,pilot,1480,5060000,tier_3,source_backed,scale readiness
LAK-AI-ASSET-009,M365 Copilot finance rollout,Productivity,Kyriba workflow assistant,scale,1660,2860000,tier_2,source_backed,scale readiness
LAK-AI-ASSET-010,Codex/Claude developer productivity for finance integrations,Developer productivity,M365 Copilot,pilot,1840,2400000,tier_3,review_required,SOX/control evidence approval
