control_id,control_name,domain,owner_role,status,risk_severity,evidence_status,gap_or_condition,regulatory_or_policy_anchor
LAK-CTRL-001,SOX payment approval evidence,sox,CFO,blocked,critical,missing_machine_readable_evidence,Attach test/signoff source before go-live,SOX
LAK-CTRL-002,bank signer recertification,treasury_control,Treasurer,operating,medium,source_available,Standard review cadence,Treasury policy
LAK-CTRL-003,Kyriba role design,identity_access,CIO,operating,medium,source_available,Standard review cadence,Cyber/IAM policy
LAK-CTRL-004,SWIFT connectivity control,data_governance,Chief Supply Chain Officer,review_required,high,source_available,Standard review cadence,SOX
LAK-CTRL-005,SAP-Kyriba interface reconciliation,sox,Controller,operating,medium,missing_machine_readable_evidence,Attach test/signoff source before go-live,Treasury policy
LAK-CTRL-006,cash forecast approval,treasury_control,Chief Procurement Officer,blocked,critical,source_available,Standard review cadence,Cyber/IAM policy
LAK-CTRL-007,AI narrative source citation,identity_access,Chief Data Officer,review_required,high,source_available,Standard review cadence,SOX
LAK-CTRL-008,vendor access review,data_governance,CISO,operating,medium,source_available,Standard review cadence,Treasury policy
LAK-CTRL-009,close evidence retention,sox,CFO,operating,medium,missing_machine_readable_evidence,Attach test/signoff source before go-live,Cyber/IAM policy
LAK-CTRL-010,finance data semantic owner,treasury_control,Treasurer,review_required,high,source_available,Standard review cadence,SOX
