control_id,domain,maturity,owner,evidence_source
HIPAA-01,administrative,managed,CISO,SRC-REG-01
HIPAA-02,physical,defined,Privacy Officer,SRC-REG-02
HIPAA-03,technical,optimized,CDIO,SRC-REG-03
HIPAA-04,breach_notification,needs_evidence,General Counsel,SRC-REG-04
HIPAA-05,vendor_management,managed,CISO,SRC-REG-05
HIPAA-06,administrative,defined,Privacy Officer,SRC-REG-06
HIPAA-07,physical,optimized,CDIO,SRC-REG-07
HIPAA-08,technical,needs_evidence,General Counsel,SRC-REG-08
HIPAA-09,breach_notification,managed,CISO,SRC-REG-09
HIPAA-10,vendor_management,defined,Privacy Officer,SRC-REG-10
HIPAA-11,administrative,optimized,CDIO,SRC-REG-11
HIPAA-12,physical,needs_evidence,General Counsel,SRC-REG-12
HIPAA-13,technical,managed,CISO,SRC-REG-13
HIPAA-14,breach_notification,defined,Privacy Officer,SRC-REG-14
HIPAA-15,vendor_management,optimized,CDIO,SRC-REG-15
HIPAA-16,administrative,needs_evidence,General Counsel,SRC-REG-16
HIPAA-17,physical,managed,CISO,SRC-REG-17
HIPAA-18,technical,defined,Privacy Officer,SRC-REG-18
HIPAA-19,breach_notification,optimized,CDIO,SRC-REG-19
HIPAA-20,vendor_management,needs_evidence,General Counsel,SRC-REG-20
HIPAA-21,administrative,managed,CISO,SRC-REG-21
HIPAA-22,physical,defined,Privacy Officer,SRC-REG-22
HIPAA-23,technical,optimized,CDIO,SRC-REG-23
HIPAA-24,breach_notification,needs_evidence,General Counsel,SRC-REG-24
HIPAA-25,vendor_management,managed,CISO,SRC-REG-25
HIPAA-26,administrative,defined,Privacy Officer,SRC-REG-26
HIPAA-27,physical,optimized,CDIO,SRC-REG-27
HIPAA-28,technical,needs_evidence,General Counsel,SRC-REG-28
HIPAA-29,breach_notification,managed,CISO,SRC-REG-29
HIPAA-30,vendor_management,defined,Privacy Officer,SRC-REG-30
HIPAA-31,administrative,optimized,CDIO,SRC-REG-31
HIPAA-32,physical,needs_evidence,General Counsel,SRC-REG-32
HIPAA-33,technical,managed,CISO,SRC-REG-33
HIPAA-34,breach_notification,defined,Privacy Officer,SRC-REG-34
HIPAA-35,vendor_management,optimized,CDIO,SRC-REG-35
HIPAA-36,administrative,needs_evidence,General Counsel,SRC-REG-36
HIPAA-37,physical,managed,CISO,SRC-REG-37
HIPAA-38,technical,defined,Privacy Officer,SRC-REG-38
HIPAA-39,breach_notification,optimized,CDIO,SRC-REG-39
HIPAA-40,vendor_management,needs_evidence,General Counsel,SRC-REG-40
HIPAA-41,administrative,managed,CISO,SRC-REG-41
HIPAA-42,physical,defined,Privacy Officer,SRC-REG-42
HIPAA-43,technical,optimized,CDIO,SRC-REG-43
HIPAA-44,breach_notification,needs_evidence,General Counsel,SRC-REG-44
HIPAA-45,vendor_management,managed,CISO,SRC-REG-45
HIPAA-46,administrative,defined,Privacy Officer,SRC-REG-46
HIPAA-47,physical,optimized,CDIO,SRC-REG-47
HIPAA-48,technical,needs_evidence,General Counsel,SRC-REG-48
HIPAA-49,breach_notification,managed,CISO,SRC-REG-49
HIPAA-50,vendor_management,defined,Privacy Officer,SRC-REG-50
HIPAA-51,administrative,optimized,CDIO,SRC-REG-51
HIPAA-52,physical,needs_evidence,General Counsel,SRC-REG-52
HIPAA-53,technical,managed,CISO,SRC-REG-53
HIPAA-54,breach_notification,defined,Privacy Officer,SRC-REG-54
