hitrust_domain,mapped_controls,gap_count,owner
HITRUST-01,3,0,CISO
HITRUST-02,4,1,Privacy Officer
HITRUST-03,5,2,Security GRC
HITRUST-04,6,3,CISO
HITRUST-05,7,0,Privacy Officer
HITRUST-06,8,1,Security GRC
HITRUST-07,9,2,CISO
HITRUST-08,3,3,Privacy Officer
HITRUST-09,4,0,Security GRC
HITRUST-10,5,1,CISO
HITRUST-11,6,2,Privacy Officer
HITRUST-12,7,3,Security GRC
HITRUST-13,8,0,CISO
HITRUST-14,9,1,Privacy Officer
HITRUST-15,3,2,Security GRC
HITRUST-16,4,3,CISO
HITRUST-17,5,0,Privacy Officer
HITRUST-18,6,1,Security GRC
