touchpoint_id,system_area,survey_risk,evidence_owner
JC-01,downtime procedures,low,CMIO
JC-02,medication reconciliation,medium,CISO
JC-03,identity access,high,COO
JC-04,clinical documentation,low,CMIO
JC-05,device integration,medium,CISO
JC-06,downtime procedures,high,COO
JC-07,medication reconciliation,low,CMIO
JC-08,identity access,medium,CISO
JC-09,clinical documentation,high,COO
JC-10,device integration,low,CMIO
JC-11,downtime procedures,medium,CISO
JC-12,medication reconciliation,high,COO
JC-13,identity access,low,CMIO
JC-14,clinical documentation,medium,CISO
JC-15,device integration,high,COO
JC-16,downtime procedures,low,CMIO
