tenant_key,source_file,source_row,source_record_id,source_label,view,amount_type,basis,period,amount_usd,is_rollup_of,component_of,formula,formula_version,value_source,reconciles_to_view,reconciles_to_record_id,reconciliation_envelope_usd,notes
skyharbor-air,ai-control-tower/T01_initiative-registry.csv,2,SHA-INIT-001,IROPS Agentic Recovery Cockpit,value,none,forecast,fy26,270000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
skyharbor-air,ai-control-tower/T01_initiative-registry.csv,2,SHA-INIT-001,IROPS Agentic Recovery Cockpit,value,none,actual,ytd,91800000,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
skyharbor-air,ai-control-tower/T01_initiative-registry.csv,3,SHA-INIT-002,Delta-style Digital Concierge,value,none,forecast,fy26,180000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
skyharbor-air,ai-control-tower/T01_initiative-registry.csv,3,SHA-INIT-002,Delta-style Digital Concierge,value,none,actual,ytd,21600000,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
skyharbor-air,ai-control-tower/T01_initiative-registry.csv,4,SHA-INIT-003,Enterprise CDP Selection and Identity Graph,value,none,forecast,fy26,210000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
skyharbor-air,ai-control-tower/T01_initiative-registry.csv,4,SHA-INIT-003,Enterprise CDP Selection and Identity Graph,value,none,actual,ytd,0,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
skyharbor-air,ai-control-tower/T01_initiative-registry.csv,5,SHA-INIT-004,Mainframe API and Event Bridge,value,none,forecast,fy26,310000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
skyharbor-air,ai-control-tower/T01_initiative-registry.csv,5,SHA-INIT-004,Mainframe API and Event Bridge,value,none,actual,ytd,0,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
skyharbor-air,ai-control-tower/T01_initiative-registry.csv,6,SHA-INIT-005,Teradata Vantage Workload Rationalization,value,none,forecast,fy26,122000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
skyharbor-air,ai-control-tower/T01_initiative-registry.csv,6,SHA-INIT-005,Teradata Vantage Workload Rationalization,value,none,actual,ytd,41480000,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
skyharbor-air,ai-control-tower/T01_initiative-registry.csv,7,SHA-INIT-006,Crew Recovery Optimization,value,none,forecast,fy26,140000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
skyharbor-air,ai-control-tower/T01_initiative-registry.csv,7,SHA-INIT-006,Crew Recovery Optimization,value,none,actual,ytd,16800000,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
skyharbor-air,ai-control-tower/T01_initiative-registry.csv,8,SHA-INIT-007,Baggage Exception Prediction,value,none,forecast,fy26,86000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
skyharbor-air,ai-control-tower/T01_initiative-registry.csv,8,SHA-INIT-007,Baggage Exception Prediction,value,none,actual,ytd,0,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
skyharbor-air,ai-control-tower/T01_initiative-registry.csv,9,SHA-INIT-008,MRO Predictive Maintenance Agent,value,none,forecast,fy26,150000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
skyharbor-air,ai-control-tower/T01_initiative-registry.csv,9,SHA-INIT-008,MRO Predictive Maintenance Agent,value,none,actual,ytd,0,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
skyharbor-air,ai-control-tower/T01_initiative-registry.csv,10,SHA-INIT-009,Contact Center Agent Assist,value,none,forecast,fy26,92000000,,,tenant_file_promised_benefit,tower_standardized_v1,tenant_file,,,,
skyharbor-air,ai-control-tower/T01_initiative-registry.csv,10,SHA-INIT-009,Contact Center Agent Assist,value,none,actual,ytd,31280000,,,tenant_file_measured_value,tower_standardized_v1,tenant_file,,,,
