tenant_key,dataset_version,source_row_id,resource_id,contract_id,vendor_ref,vendor_name,cloud_provider,service_name,sku,region,application_ref,business_unit,owner_tag,environment_tag,avg_cpu_utilization_pct,avg_memory_utilization_pct,monthly_spend_usd,rightsize_signal,source_file_id
meridian-health,meridian-databricks-consumption-commit-v1-20260908,resource:MER-TECH-DBX-001:001,DBX-RES-0001,MER-TECH-DBX-001,MER-VEN-DATABRICKS,"Databricks, Inc.",aws,Jobs Compute,JOBS-COMPUTE,us-east-1,MER-APP-CLAIMSDENIAL,Revenue Cycle Analytics,Revenue Cycle Analytics,pilot,0.18,0.24,850,watch_commitment_underuse,DOC-MER-TECH-DBX-001-USAGE
meridian-health,meridian-databricks-consumption-commit-v1-20260908,resource:MER-TECH-DBX-001:002,DBX-RES-0002,MER-TECH-DBX-001,MER-VEN-DATABRICKS,"Databricks, Inc.",aws,SQL Warehouses,SQL-WAREHOUSE,us-east-1,MER-APP-CLAIMSDENIAL,Revenue Cycle Analytics,Revenue Cycle Analytics,pilot,0.18,0.24,850,watch_commitment_underuse,DOC-MER-TECH-DBX-001-USAGE
meridian-health,meridian-databricks-consumption-commit-v1-20260908,resource:MER-TECH-DBX-001:003,DBX-RES-0003,MER-TECH-DBX-001,MER-VEN-DATABRICKS,"Databricks, Inc.",aws,Delta Storage,DELTA-STORAGE,us-east-1,MER-APP-CLAIMSDENIAL,Revenue Cycle Analytics,Revenue Cycle Analytics,pilot,0.18,0.24,850,watch_commitment_underuse,DOC-MER-TECH-DBX-001-USAGE
meridian-health,meridian-databricks-consumption-commit-v1-20260908,resource:MER-TECH-DBX-001:004,DBX-RES-0004,MER-TECH-DBX-001,MER-VEN-DATABRICKS,"Databricks, Inc.",aws,Jobs Compute,JOBS-COMPUTE,us-east-1,MER-APP-LAAMSMIG,Enterprise Data & Analytics,Enterprise Data & Analytics,planned,0,0,0,not_onboarded,DOC-MER-TECH-DBX-001-USAGE
meridian-health,meridian-databricks-consumption-commit-v1-20260908,resource:MER-TECH-DBX-001:005,DBX-RES-0005,MER-TECH-DBX-001,MER-VEN-DATABRICKS,"Databricks, Inc.",aws,SQL Warehouses,SQL-WAREHOUSE,us-east-1,MER-APP-LAAMSMIG,Enterprise Data & Analytics,Enterprise Data & Analytics,planned,0,0,0,not_onboarded,DOC-MER-TECH-DBX-001-USAGE
meridian-health,meridian-databricks-consumption-commit-v1-20260908,resource:MER-TECH-DBX-001:006,DBX-RES-0006,MER-TECH-DBX-001,MER-VEN-DATABRICKS,"Databricks, Inc.",aws,Delta Storage,DELTA-STORAGE,us-east-1,MER-APP-LAAMSMIG,Enterprise Data & Analytics,Enterprise Data & Analytics,planned,0,0,0,not_onboarded,DOC-MER-TECH-DBX-001-USAGE
meridian-health,meridian-databricks-consumption-commit-v1-20260908,resource:MER-TECH-DBX-001:007,DBX-RES-0007,MER-TECH-DBX-001,MER-VEN-DATABRICKS,"Databricks, Inc.",aws,Jobs Compute,JOBS-COMPUTE,us-east-1,MER-APP-MEDEEXIT,Enterprise Data & Analytics,Enterprise Data & Analytics,planned,0,0,0,not_onboarded,DOC-MER-TECH-DBX-001-USAGE
meridian-health,meridian-databricks-consumption-commit-v1-20260908,resource:MER-TECH-DBX-001:008,DBX-RES-0008,MER-TECH-DBX-001,MER-VEN-DATABRICKS,"Databricks, Inc.",aws,SQL Warehouses,SQL-WAREHOUSE,us-east-1,MER-APP-MEDEEXIT,Enterprise Data & Analytics,Enterprise Data & Analytics,planned,0,0,0,not_onboarded,DOC-MER-TECH-DBX-001-USAGE
meridian-health,meridian-databricks-consumption-commit-v1-20260908,resource:MER-TECH-DBX-001:009,DBX-RES-0009,MER-TECH-DBX-001,MER-VEN-DATABRICKS,"Databricks, Inc.",aws,Delta Storage,DELTA-STORAGE,us-east-1,MER-APP-MEDEEXIT,Enterprise Data & Analytics,Enterprise Data & Analytics,planned,0,0,0,not_onboarded,DOC-MER-TECH-DBX-001-USAGE
meridian-health,meridian-databricks-consumption-commit-v1-20260908,resource:MER-TECH-DBX-001:010,DBX-RES-0010,MER-TECH-DBX-001,MER-VEN-DATABRICKS,"Databricks, Inc.",aws,Jobs Compute,JOBS-COMPUTE,us-east-1,MER-APP-EPICINTEG,Clinical Platforms,Clinical Platforms,planned,0,0,0,not_onboarded,DOC-MER-TECH-DBX-001-USAGE
meridian-health,meridian-databricks-consumption-commit-v1-20260908,resource:MER-TECH-DBX-001:011,DBX-RES-0011,MER-TECH-DBX-001,MER-VEN-DATABRICKS,"Databricks, Inc.",aws,SQL Warehouses,SQL-WAREHOUSE,us-east-1,MER-APP-EPICINTEG,Clinical Platforms,Clinical Platforms,planned,0,0,0,not_onboarded,DOC-MER-TECH-DBX-001-USAGE
meridian-health,meridian-databricks-consumption-commit-v1-20260908,resource:MER-TECH-DBX-001:012,DBX-RES-0012,MER-TECH-DBX-001,MER-VEN-DATABRICKS,"Databricks, Inc.",aws,Delta Storage,DELTA-STORAGE,us-east-1,MER-APP-EPICINTEG,Clinical Platforms,Clinical Platforms,planned,0,0,0,not_onboarded,DOC-MER-TECH-DBX-001-USAGE
