tenantKey,dimension,contractColumn,state,mappedFrom,action
meridian-health,00_enterprise_profile.csv,target_state_notes,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,00_enterprise_profile.csv,known_gaps,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,01_business_functions.csv,parent_function,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,01_business_functions.csv,business_capabilities,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,01_business_functions.csv,criticality,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,01_business_functions.csv,annual_budget_usd,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,01_business_functions.csv,fte_count,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,01_business_functions.csv,outsourced_support,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,01_business_functions.csv,target_state_notes,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,01_business_functions.csv,source_file,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,01_business_functions.csv,source_date,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,02_org_ownership.csv,parent_org_unit,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,02_org_ownership.csv,role_level,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,02_org_ownership.csv,decision_rights,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,02_org_ownership.csv,owned_functions,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,02_org_ownership.csv,location_scope,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,02_org_ownership.csv,source_file,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,02_org_ownership.csv,source_date,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,03_workforce_roles.csv,function_name,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,03_workforce_roles.csv,role_count,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,03_workforce_roles.csv,location_model,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,03_workforce_roles.csv,employment_type,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,03_workforce_roles.csv,vendor_supported,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,03_workforce_roles.csv,skills,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,03_workforce_roles.csv,source_file,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,03_workforce_roles.csv,source_date,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,04_applications_systems.csv,system_type,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,04_applications_systems.csv,business_function,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,04_applications_systems.csv,system_scope,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,04_applications_systems.csv,deployment_model,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,04_applications_systems.csv,hosting_location,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,04_applications_systems.csv,technology_owner,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,04_applications_systems.csv,interfaces_count,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,04_applications_systems.csv,current_state_or_target_state,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,04_applications_systems.csv,source_file,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,04_applications_systems.csv,source_date,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,05_data_assets_integrations.csv,target_system,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,05_data_assets_integrations.csv,integration_type,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,05_data_assets_integrations.csv,platform_or_database,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,05_data_assets_integrations.csv,current_state_or_target_state,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,05_data_assets_integrations.csv,refresh_frequency,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,05_data_assets_integrations.csv,data_owner,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,05_data_assets_integrations.csv,data_steward,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,05_data_assets_integrations.csv,quality_status,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,05_data_assets_integrations.csv,regulated_data_flag,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,05_data_assets_integrations.csv,analytics_usage,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,05_data_assets_integrations.csv,source_file,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,05_data_assets_integrations.csv,source_date,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,06_infrastructure_platforms.csv,hosting_model,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,06_infrastructure_platforms.csv,data_center_or_region,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
meridian-health,06_infrastructure_platforms.csv,technology_stack,no-deterministic-source,,"Provide a source extract carrying this attribute, or accept the dimension without it. Not to be inferred or generated."
