tenant_key,source_version_id,field,existing_value,incoming_value,row_ref,input_file
meridian-health,SRCV-MERIDIANHEALTH-5595E5FBF827,source_name,Unified clinical + claims lakehouse synthetic evidence bundle,Governed data foundation for AI / LLM automation synthetic evidence bundle,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#3,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-5595E5FBF827,source_name,Unified clinical + claims lakehouse synthetic evidence bundle,Call center optimization synthetic evidence bundle,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#4,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-5595E5FBF827,source_name,Unified clinical + claims lakehouse synthetic evidence bundle,Provider quality and performance synthetic evidence bundle,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#5,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-5595E5FBF827,source_name,Unified clinical + claims lakehouse synthetic evidence bundle,End-to-end cost transparency synthetic evidence bundle,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#6,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-5595E5FBF827,source_name,Unified clinical + claims lakehouse synthetic evidence bundle,Payment integrity and leakage reduction synthetic evidence bundle,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#7,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-5595E5FBF827,source_name,Unified clinical + claims lakehouse synthetic evidence bundle,Automated close and reporting synthetic evidence bundle,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#8,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-6D766C96F3A6,source_name,Boundary: Synthetic PHI-free planning-grade substrate; not real Meridian production data.,Boundary: AWS Databricks aspiration is not proof that the platform foundation is complete.,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#10,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-6D766C96F3A6,source_name,Boundary: Synthetic PHI-free planning-grade substrate; not real Meridian production data.,Boundary: No certified medallion architecture is loaded.,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#11,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-6D766C96F3A6,source_name,Boundary: Synthetic PHI-free planning-grade substrate; not real Meridian production data.,"Boundary: No platform, network, or security foundation evidence is loaded.",datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#12,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-6D766C96F3A6,source_name,Boundary: Synthetic PHI-free planning-grade substrate; not real Meridian production data.,Boundary: No formal data governance operating model is loaded.,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#13,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-6D766C96F3A6,source_name,Boundary: Synthetic PHI-free planning-grade substrate; not real Meridian production data.,Boundary: Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#14,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-88C5F3389D7A,source_name,CEO / Enterprise Strategy interview evidence,CFO / Finance & Value interview evidence,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#27,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-88C5F3389D7A,source_owner,CEO,CFO,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#27,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-88C5F3389D7A,source_name,CEO / Enterprise Strategy interview evidence,CFO / Finance & Value interview evidence,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#28,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-88C5F3389D7A,source_owner,CEO,CFO,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#28,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-88C5F3389D7A,source_name,CEO / Enterprise Strategy interview evidence,CFO / Finance & Value interview evidence,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#29,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-88C5F3389D7A,source_owner,CEO,CFO,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#29,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-88C5F3389D7A,source_name,CEO / Enterprise Strategy interview evidence,CFO / Finance & Value interview evidence,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#30,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-88C5F3389D7A,source_owner,CEO,CFO,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#30,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-88C5F3389D7A,source_name,CEO / Enterprise Strategy interview evidence,CFO / Finance & Value interview evidence,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#31,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-88C5F3389D7A,source_owner,CEO,CFO,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#31,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-88C5F3389D7A,source_name,CEO / Enterprise Strategy interview evidence,CFO / Finance & Value interview evidence,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#32,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-88C5F3389D7A,source_owner,CEO,CFO,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#32,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-88C5F3389D7A,source_name,CEO / Enterprise Strategy interview evidence,CFO / Finance & Value interview evidence,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#33,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-88C5F3389D7A,source_owner,CEO,CFO,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#33,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-88C5F3389D7A,source_name,CEO / Enterprise Strategy interview evidence,Chief Experience Officer / Member Experience interview evidence,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#34,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-88C5F3389D7A,source_owner,CEO,Chief Experience Officer,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#34,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
meridian-health,SRCV-MERIDIANHEALTH-88C5F3389D7A,source_name,CEO / Enterprise Strategy interview evidence,CISO / Security interview evidence,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv#35,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv
