tenant_key,source_version_id,source_ref,source_kind,evidence_item_count,evidence_ids
meridian-health,SRCV-MERIDIANHEALTH-DF68E9391AB2,manifest_and_prompt,external_reference,4,MER-EVID-001|MER-EVID-002|MER-EVID-003|MER-EVID-004
meridian-health,SRCV-MERIDIANHEALTH-280D437E1F68,Codex thread prompt 2026-07-09,external_reference,0,
meridian-health,SRCV-MERIDIANHEALTH-E11458FE7107,datasets/meridian-health-v6-v7-current-state-v1,external_reference,0,
meridian-health,SRCV-MERIDIANHEALTH-FEB7BAE4006A,CDAO use cases from prompt,external_reference,0,
meridian-health,SRCV-MERIDIANHEALTH-00F7FDC837B9,out/meridian-v6-v7-current-state-v1,external_reference,0,
meridian-health,SRCV-MERIDIANHEALTH-DACA24CFA17A,V7_00_portfolio_entity_registry.csv,csv,1,MER-CHUNK-v7-00-portfolio-entity-registry-csv-001
meridian-health,SRCV-MERIDIANHEALTH-FE2CC853E0BB,V7_01_enterprise_profile.csv,csv,1,MER-CHUNK-v7-01-enterprise-profile-csv-001
meridian-health,SRCV-MERIDIANHEALTH-DB335E0458B0,V7_02_business_functions.csv,csv,7,MER-CHUNK-v7-02-business-functions-csv-001|MER-CHUNK-v7-02-business-functions-csv-002|MER-CHUNK-v7-02-business-functions-csv-003|MER-CHUNK-v7-02-business-functions-csv-004|MER-CHUNK-v7-02-business-functions-csv-005|MER-CHUNK-v7-02-business-functions-csv-006|MER-CHUNK-v7-02-business-functions-csv-007
meridian-health,SRCV-MERIDIANHEALTH-866179DCA6B8,V7_03_org_ownership.csv,csv,7,MER-CHUNK-v7-03-org-ownership-csv-001|MER-CHUNK-v7-03-org-ownership-csv-002|MER-CHUNK-v7-03-org-ownership-csv-003|MER-CHUNK-v7-03-org-ownership-csv-004|MER-CHUNK-v7-03-org-ownership-csv-005|MER-CHUNK-v7-03-org-ownership-csv-006|MER-CHUNK-v7-03-org-ownership-csv-007
meridian-health,SRCV-MERIDIANHEALTH-A5275E49A171,V7_04_workforce_personas.csv,csv,6,MER-CHUNK-v7-04-workforce-personas-csv-001|MER-CHUNK-v7-04-workforce-personas-csv-002|MER-CHUNK-v7-04-workforce-personas-csv-003|MER-CHUNK-v7-04-workforce-personas-csv-004|MER-CHUNK-v7-04-workforce-personas-csv-005|MER-CHUNK-v7-04-workforce-personas-csv-006
meridian-health,SRCV-MERIDIANHEALTH-E8BA13FD5644,V7_05_applications_systems.csv,csv,8,MER-CHUNK-v7-05-applications-systems-csv-001|MER-CHUNK-v7-05-applications-systems-csv-002|MER-CHUNK-v7-05-applications-systems-csv-003|MER-CHUNK-v7-05-applications-systems-csv-004|MER-CHUNK-v7-05-applications-systems-csv-005|MER-CHUNK-v7-05-applications-systems-csv-006|MER-CHUNK-v7-05-applications-systems-csv-007|MER-CHUNK-v7-05-applications-systems-csv-008
meridian-health,SRCV-MERIDIANHEALTH-1C3C67DB49C5,V7_06_data_assets_integrations.csv,csv,8,MER-CHUNK-v7-06-data-assets-integrations-csv-001|MER-CHUNK-v7-06-data-assets-integrations-csv-002|MER-CHUNK-v7-06-data-assets-integrations-csv-003|MER-CHUNK-v7-06-data-assets-integrations-csv-004|MER-CHUNK-v7-06-data-assets-integrations-csv-005|MER-CHUNK-v7-06-data-assets-integrations-csv-006|MER-CHUNK-v7-06-data-assets-integrations-csv-007|MER-CHUNK-v7-06-data-assets-integrations-csv-008
meridian-health,SRCV-MERIDIANHEALTH-01CA2B5BE24F,V7_07_vendors_contracts.csv,csv,7,MER-CHUNK-v7-07-vendors-contracts-csv-001|MER-CHUNK-v7-07-vendors-contracts-csv-002|MER-CHUNK-v7-07-vendors-contracts-csv-003|MER-CHUNK-v7-07-vendors-contracts-csv-004|MER-CHUNK-v7-07-vendors-contracts-csv-005|MER-CHUNK-v7-07-vendors-contracts-csv-006|MER-CHUNK-v7-07-vendors-contracts-csv-007
meridian-health,SRCV-MERIDIANHEALTH-DA8396E45F84,V7_08_spend_value.csv,csv,8,MER-CHUNK-v7-08-spend-value-csv-001|MER-CHUNK-v7-08-spend-value-csv-002|MER-CHUNK-v7-08-spend-value-csv-003|MER-CHUNK-v7-08-spend-value-csv-004|MER-CHUNK-v7-08-spend-value-csv-005|MER-CHUNK-v7-08-spend-value-csv-006|MER-CHUNK-v7-08-spend-value-csv-007|MER-CHUNK-v7-08-spend-value-csv-008
meridian-health,SRCV-MERIDIANHEALTH-36A23E9144D6,V7_09_programs_initiatives_business_priorities.csv,csv,7,MER-CHUNK-v7-09-programs-initiatives-business-priorities-csv-001|MER-CHUNK-v7-09-programs-initiatives-business-priorities-csv-002|MER-CHUNK-v7-09-programs-initiatives-business-priorities-csv-003|MER-CHUNK-v7-09-programs-initiatives-business-priorities-csv-004|MER-CHUNK-v7-09-programs-initiatives-business-priorities-csv-005|MER-CHUNK-v7-09-programs-initiatives-business-priorities-csv-006|MER-CHUNK-v7-09-programs-initiatives-business-priorities-csv-007
meridian-health,SRCV-MERIDIANHEALTH-F022DE7F6F01,V7_10_ai_initiatives.csv,csv,3,MER-CHUNK-v7-10-ai-initiatives-csv-001|MER-CHUNK-v7-10-ai-initiatives-csv-002|MER-CHUNK-v7-10-ai-initiatives-csv-003
