dimension,column,priority
08_it_budget_spend_value,business_name,1
08_it_budget_spend_value,financial_fact_type,2
08_it_budget_spend_value,fiscal_year,3
08_it_budget_spend_value,budget_amount_usd,4
08_it_budget_spend_value,run_budget_usd,5
08_it_budget_spend_value,change_budget_usd,6
09_programs_initiatives,business_name,1
09_programs_initiatives,program_code,2
09_programs_initiatives,initiative_status,3
09_programs_initiatives,funding_status,4
09_programs_initiatives,approved_funding_usd,5
09_programs_initiatives,requested_funding_usd,6
10_ai_automation_use_cases,business_name,1
10_ai_automation_use_cases,data_domain,2
10_ai_automation_use_cases,affected_process,3
10_ai_automation_use_cases,use_case_status,4
10_ai_automation_use_cases,funding_status,5
10_ai_automation_use_cases,readiness_status,6
