persona_id,persona_name,business_area,population_count,work_context
APX-PER-001,Store manager,Store Operations,1840,"labor, inventory, shrink, service"
APX-PER-002,Department lead,Store Operations,14800,"tasking, replenishment, service"
APX-PER-003,Merchandise planner,Merchandising,940,"assortment, demand, markdowns"
APX-PER-004,Supply chain planner,Supply Chain,720,"forecasting, allocation, constraints"
APX-PER-005,Ecommerce product manager,Digital,410,"conversion, search, checkout"
APX-PER-006,Loyalty marketer,Marketing,360,"segments, offers, retail media"
APX-PER-007,Loss prevention analyst,Risk,520,"shrink, fraud, exception reporting"
APX-PER-008,Finance analyst,Finance,680,"margin, close, vendor funding"
APX-PER-009,Data engineer,Data and AI,520,"lakehouse, POS, clickstream, inventory"
APX-PER-010,Contact center agent,Customer Care,2100,"order status, returns, loyalty"
APX-PER-011,Store associate,Store Operations,128000,"selling, service, fulfillment"
APX-PER-012,SRE engineer,Cloud/SRE,260,"availability, incident response"
