capability_id,capability_name,owning_function_id,value_stream,ai_maturity,business_criticality,description
SHA-CAP-001,IROPS recovery decisioning,SHA-BF-001,Operate airline,1,critical,IROPS recovery decisioning capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-002,Crew recovery and legality,SHA-BF-002,Serve customer,2,critical,Crew recovery and legality capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-003,Flight planning and dispatch,SHA-BF-003,Grow revenue,3,critical,Flight planning and dispatch capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-004,Airport turn management,SHA-BF-004,Run enterprise,4,critical,Airport turn management capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-005,Baggage tracking and recovery,SHA-BF-005,Protect and govern,5,critical,Baggage tracking and recovery capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-006,MRO predictive maintenance,SHA-BF-006,Operate airline,1,critical,MRO predictive maintenance capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-007,Revenue management and pricing,SHA-BF-007,Serve customer,2,critical,Revenue management and pricing capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-008,NDC offer/order retailing,SHA-BF-008,Grow revenue,3,critical,NDC offer/order retailing capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-009,Loyalty personalization,SHA-BF-009,Run enterprise,4,critical,Loyalty personalization capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-010,Digital concierge and journey orchestration,SHA-BF-010,Protect and govern,5,critical,Digital concierge and journey orchestration capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-011,Contact center service recovery,SHA-BF-011,Operate airline,1,critical,Contact center service recovery capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-012,Cargo capacity optimization,SHA-BF-012,Serve customer,2,critical,Cargo capacity optimization capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-013,Fuel optimization and sustainability,SHA-BF-013,Grow revenue,3,high,Fuel optimization and sustainability capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-014,Revenue accounting and settlement,SHA-BF-014,Run enterprise,4,high,Revenue accounting and settlement capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-015,SAP finance close and procurement,SHA-BF-015,Protect and govern,5,high,SAP finance close and procurement capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-016,Mainframe transaction processing,SHA-BF-016,Operate airline,1,high,Mainframe transaction processing capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-017,Cloud-native digital engineering,SHA-BF-017,Serve customer,2,high,Cloud-native digital engineering capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
