function_id,function_name,executive_owner_role,head_count,description
SHA-BF-001,Operations Control Center / IROPS,EVP Operations,2200,"Disruption recovery, day-of-ops command, weather playbooks"
SHA-BF-002,Flight Operations,SVP Flight Operations,18200,"Pilots, dispatch, flight planning, flight following"
SHA-BF-003,Crew Operations,SVP Crew Resources,8400,"Crew planning, pairing, recovery, legality, hotel transport"
SHA-BF-004,Airport Customer Service,SVP Airport Operations,43000,"Stations, gates, baggage, ramp, deicing, turnarounds"
SHA-BF-005,TechOps / MRO,President TechOps,13200,"Line maintenance, heavy checks, engine MRO, parts supply chain"
SHA-BF-006,Customer Experience,Chief Customer Experience Officer,7200,"Contact center, care, service recovery, premium experience"
SHA-BF-007,Digital Commerce,SVP Digital Products,2100,"Mobile, web, commerce, subscriptions, offer/order experiences"
SHA-BF-008,Loyalty and Co-brand,President Loyalty,1800,"SkyHarbor Miles, co-brand economics, member engagement"
SHA-BF-009,Revenue Management,EVP Commercial,1450,"Pricing, inventory, forecasting, ancillary optimization"
SHA-BF-010,Network Planning,SVP Network,920,"Schedules, hubs, joint ventures, fleet assignment"
SHA-BF-011,Cargo,President Cargo,3900,"Cargo booking, capacity, warehouse operations, pharma chain"
SHA-BF-012,Finance and Treasury,CFO,2400,"FP&A, accounting, treasury, fuel hedging, revenue accounting"
SHA-BF-013,Procurement and Vendor Management,Chief Procurement Officer,860,"Sourcing, contracts, renewals, SI and AMS"
SHA-BF-014,People / HR,Chief People Officer,1650,"Workforce planning, labor, learning, payroll"
SHA-BF-015,"Legal, Regulatory, DOT Consumer",Chief Legal Officer,780,"DOT, FAA, TSA, privacy, consumer obligations"
SHA-BF-016,Safety and Compliance,Chief Safety Officer,920,"SMS, FAA compliance, audit, operational safety"
SHA-BF-017,Digital and Technology,EVP Chief Digital & Technology Officer,11800,"Enterprise technology, digital, data, cyber, AI"
SHA-BF-018,"Data, Analytics and AI",Chief Data and AI Officer,1550,"EDW, BI, data lake, ML, AI governance"
SHA-BF-019,Cybersecurity and Resilience,CISO,780,"SOC, IAM, zero trust, resilience, third-party risk"
SHA-BF-020,Corporate Strategy and Transformation,Chief Strategy Officer,520,"Enterprise portfolio, board transformation, value office"
