team_id,team_name,executive_owner_role,domain,head_count_fte,offshore_pct,annual_budget_usd
SHA-IT-001,Office of Chief Digital & Technology Officer,EVP CDTO,enterprise_technology,180,0,2280000000
SHA-IT-002,Airline Operations Systems,SVP Ops Technology,ops_systems,920,5,214000000
SHA-IT-003,Crew and Flight Operations Platforms,VP Crew/Flight Tech,crew_flight,620,8,168000000
SHA-IT-004,"Airport, Baggage and Turnaround Systems",VP Airport Tech,airport_ops,710,10,156000000
SHA-IT-005,TechOps and MRO Systems,VP MRO Technology,mro,430,5,98000000
SHA-IT-006,Revenue Management and Pricing Technology,VP Commercial Tech,revenue_management,360,15,122000000
SHA-IT-007,Loyalty and Customer Platforms,VP Loyalty Tech,loyalty_customer,520,12,146000000
SHA-IT-008,Digital Commerce and Mobile,VP Digital Engineering,digital,780,18,192000000
SHA-IT-009,Enterprise Platforms / IBM Z,VP Enterprise Platforms,mainframe,640,4,386000000
SHA-IT-010,AWS Cloud Platform Engineering,VP Cloud Platform,cloud,520,20,218000000
SHA-IT-011,Data Platforms and BI,VP Data Platforms,data,590,18,244000000
SHA-IT-012,"Enterprise Integration, APIs and Eventing",VP Integration,integration,410,15,108000000
SHA-IT-013,SAP and Corporate Systems,VP Corporate Platforms,erp,330,20,126000000
SHA-IT-014,ServiceNow / ITSM / SRE,VP Technology Service Mgmt,itsm_sre,290,8,82000000
SHA-IT-015,Cybersecurity and Resilience Engineering,CISO,cyber,780,4,196000000
SHA-IT-016,AI Governance and Agentic Platform Office,Chief Data and AI Officer,ai_governance,160,5,52000000
SHA-IT-017,Developer Experience and SDLC Tooling,VP Engineering Productivity,devex,230,15,58000000
SHA-IT-018,Architecture and Technology Strategy,Chief Architect,architecture,120,0,24000000
