engineer_id,team_id,week,coding_pct,coordination_pct,waiting_pct,support_pct
ENG-01,TEAM-MAINFRAME-LEGACY,week_1,35,18,8,12
ENG-02,TEAM-SAP-CORE,week_1,36,19,9,13
ENG-03,TEAM-ORDER-LEGACY,week_1,37,20,10,14
ENG-04,TEAM-STORE-TECH,week_1,38,21,11,15
ENG-05,TEAM-COMMERCE,week_1,39,22,12,16
ENG-06,TEAM-ORDER-MODERN,week_1,40,23,13,17
ENG-07,TEAM-CHECKOUT-DTC,week_1,41,24,14,18
ENG-08,TEAM-DTC-WEB,week_1,42,25,15,19
ENG-09,TEAM-MOBILE,week_1,43,26,16,20
ENG-10,TEAM-ML-COMMERCE,week_1,44,27,17,21
ENG-11,TEAM-DEMAND-PLANNING,week_1,45,18,18,22
ENG-12,TEAM-DATA-PLATFORM,week_1,46,19,19,23
ENG-13,TEAM-PLATFORM-OBS,week_1,47,20,8,24
ENG-14,TEAM-HRIS,week_1,48,21,9,25
ENG-15,TEAM-MAINFRAME-LEGACY,week_1,49,22,10,26
ENG-16,TEAM-SAP-CORE,week_1,50,23,11,12
ENG-17,TEAM-ORDER-LEGACY,week_1,51,24,12,13
ENG-18,TEAM-STORE-TECH,week_1,52,25,13,14
ENG-19,TEAM-COMMERCE,week_1,53,26,14,15
ENG-20,TEAM-ORDER-MODERN,week_1,54,27,15,16
ENG-21,TEAM-CHECKOUT-DTC,week_1,35,18,16,17
ENG-22,TEAM-DTC-WEB,week_1,36,19,17,18
ENG-23,TEAM-MOBILE,week_1,37,20,18,19
ENG-24,TEAM-ML-COMMERCE,week_1,38,21,19,20
ENG-25,TEAM-DEMAND-PLANNING,week_1,39,22,8,21
ENG-26,TEAM-DATA-PLATFORM,week_1,40,23,9,22
ENG-27,TEAM-PLATFORM-OBS,week_1,41,24,10,23
ENG-28,TEAM-HRIS,week_1,42,25,11,24
ENG-29,TEAM-MAINFRAME-LEGACY,week_1,43,26,12,25
ENG-30,TEAM-SAP-CORE,week_1,44,27,13,26
ENG-31,TEAM-ORDER-LEGACY,week_1,45,18,14,12
ENG-32,TEAM-STORE-TECH,week_1,46,19,15,13
ENG-33,TEAM-COMMERCE,week_1,47,20,16,14
ENG-34,TEAM-ORDER-MODERN,week_1,48,21,17,15
ENG-35,TEAM-CHECKOUT-DTC,week_1,49,22,18,16
ENG-36,TEAM-DTC-WEB,week_1,50,23,19,17
ENG-37,TEAM-MOBILE,week_1,51,24,8,18
ENG-38,TEAM-ML-COMMERCE,week_1,52,25,9,19
ENG-01,TEAM-DEMAND-PLANNING,week_2,53,26,10,20
ENG-02,TEAM-DATA-PLATFORM,week_2,54,27,11,21
ENG-03,TEAM-PLATFORM-OBS,week_2,35,18,12,22
ENG-04,TEAM-HRIS,week_2,36,19,13,23
ENG-05,TEAM-MAINFRAME-LEGACY,week_2,37,20,14,24
ENG-06,TEAM-SAP-CORE,week_2,38,21,15,25
ENG-07,TEAM-ORDER-LEGACY,week_2,39,22,16,26
ENG-08,TEAM-STORE-TECH,week_2,40,23,17,12
ENG-09,TEAM-COMMERCE,week_2,41,24,18,13
ENG-10,TEAM-ORDER-MODERN,week_2,42,25,19,14
ENG-11,TEAM-CHECKOUT-DTC,week_2,43,26,8,15
ENG-12,TEAM-DTC-WEB,week_2,44,27,9,16
ENG-13,TEAM-MOBILE,week_2,45,18,10,17
ENG-14,TEAM-ML-COMMERCE,week_2,46,19,11,18
ENG-15,TEAM-DEMAND-PLANNING,week_2,47,20,12,19
ENG-16,TEAM-DATA-PLATFORM,week_2,48,21,13,20
ENG-17,TEAM-PLATFORM-OBS,week_2,49,22,14,21
ENG-18,TEAM-HRIS,week_2,50,23,15,22
ENG-19,TEAM-MAINFRAME-LEGACY,week_2,51,24,16,23
ENG-20,TEAM-SAP-CORE,week_2,52,25,17,24
ENG-21,TEAM-ORDER-LEGACY,week_2,53,26,18,25
ENG-22,TEAM-STORE-TECH,week_2,54,27,19,26
ENG-23,TEAM-COMMERCE,week_2,35,18,8,12
ENG-24,TEAM-ORDER-MODERN,week_2,36,19,9,13
ENG-25,TEAM-CHECKOUT-DTC,week_2,37,20,10,14
ENG-26,TEAM-DTC-WEB,week_2,38,21,11,15
ENG-27,TEAM-MOBILE,week_2,39,22,12,16
ENG-28,TEAM-ML-COMMERCE,week_2,40,23,13,17
ENG-29,TEAM-DEMAND-PLANNING,week_2,41,24,14,18
ENG-30,TEAM-DATA-PLATFORM,week_2,42,25,15,19
ENG-31,TEAM-PLATFORM-OBS,week_2,43,26,16,20
ENG-32,TEAM-HRIS,week_2,44,27,17,21
ENG-33,TEAM-MAINFRAME-LEGACY,week_2,45,18,18,22
ENG-34,TEAM-SAP-CORE,week_2,46,19,19,23
ENG-35,TEAM-ORDER-LEGACY,week_2,47,20,8,24
ENG-36,TEAM-STORE-TECH,week_2,48,21,9,25
ENG-37,TEAM-COMMERCE,week_2,49,22,10,26
ENG-38,TEAM-ORDER-MODERN,week_2,50,23,11,12
