tenant_key,dataset_version,source_file_id,contract_id,vendor_ref,vendor_name,document_type,file_name,expected_layer,synthetic_policy
meridian-health,meridian-cloud-consumption-depth-v1-20260907,DOC-MER-CLOUD-AWS-001-EDP,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",enterprise discount program agreement,MER-CLOUD-AWS-001_EDP_SYNTHETIC.md,doc.extraction,synthetic_demo_only_not_client_truth
meridian-health,meridian-cloud-consumption-depth-v1-20260907,DOC-MER-CLOUD-AWS-001-CUR,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",AWS Cost and Usage Report export,MER-CLOUD-AWS-001_CUR_SYNTHETIC.md,consumption.sourcing_spend_monthly_v1,synthetic_demo_only_not_client_truth
meridian-health,meridian-cloud-consumption-depth-v1-20260907,DOC-MER-CLOUD-AWS-001-SAVINGS-PLAN,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",Savings Plans and Reserved Instance report,MER-CLOUD-AWS-001_COMMITMENTS_SYNTHETIC.md,consumption.sourcing_opportunity_v1,synthetic_demo_only_not_client_truth
meridian-health,meridian-cloud-consumption-depth-v1-20260907,DOC-MER-CLOUD-AWS-001-CLOUDWATCH,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",CloudWatch and Compute Optimizer export,MER-CLOUD-AWS-001_UTILIZATION_SYNTHETIC.md,source.contract_operational_performance,synthetic_demo_only_not_client_truth
meridian-health,meridian-cloud-consumption-depth-v1-20260907,DOC-MER-CLOUD-AWS-001-AP-INVOICES,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",AP invoice reconciliation,MER-CLOUD-AWS-001_AP_RECON_SYNTHETIC.md,source.contract_financial_exposure,synthetic_demo_only_not_client_truth
meridian-health,meridian-cloud-consumption-depth-v1-20260907,DOC-MER-CLOUD-AZURE-001-EA,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,Azure enterprise agreement,MER-CLOUD-AZURE-001_EA_SYNTHETIC.md,doc.extraction,synthetic_demo_only_not_client_truth
meridian-health,meridian-cloud-consumption-depth-v1-20260907,DOC-MER-CLOUD-AZURE-001-COST-MGMT,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,Azure Cost Management export,MER-CLOUD-AZURE-001_COST_MGMT_SYNTHETIC.md,consumption.sourcing_spend_monthly_v1,synthetic_demo_only_not_client_truth
meridian-health,meridian-cloud-consumption-depth-v1-20260907,DOC-MER-CLOUD-AZURE-001-RESERVATIONS,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,Azure reservations and savings plan report,MER-CLOUD-AZURE-001_RESERVATIONS_SYNTHETIC.md,consumption.sourcing_opportunity_v1,synthetic_demo_only_not_client_truth
meridian-health,meridian-cloud-consumption-depth-v1-20260907,DOC-MER-CLOUD-AZURE-001-ADVISOR,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,Azure Advisor and Resource Graph export,MER-CLOUD-AZURE-001_ADVISOR_SYNTHETIC.md,source.contract_operational_performance,synthetic_demo_only_not_client_truth
meridian-health,meridian-cloud-consumption-depth-v1-20260907,DOC-MER-CLOUD-AZURE-001-AP-INVOICES,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,AP invoice reconciliation,MER-CLOUD-AZURE-001_AP_RECON_SYNTHETIC.md,source.contract_financial_exposure,synthetic_demo_only_not_client_truth
