tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,cloud_provider,account_subscription_id,month,total_spend_usd,owner_tagged_spend_usd,application_tagged_spend_usd,untagged_spend_usd,owner_tag_coverage_pct,application_tag_coverage_pct,data_quality_state,source_file_id
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AWS-001:2026-01,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-PAYER-001,2026-01,1905000,1733550,1657350,171450,0.91,0.87,strong,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AZURE-001:2026-01,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-MGMT-ROOT,2026-01,1295000,1113700,1061900,181300,0.86,0.82,usable_with_gaps,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AWS-001:2026-02,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-PAYER-001,2026-02,1962000,1765800,1687320,196200,0.9,0.86,strong,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AZURE-001:2026-02,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-MGMT-ROOT,2026-02,1324000,1122752,1069792,201248,0.848,0.8079999999999999,usable_with_gaps,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AWS-001:2026-03,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-PAYER-001,2026-03,1978000,1760420,1681300,217580,0.89,0.85,usable_with_gaps,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AZURE-001:2026-03,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-MGMT-ROOT,2026-03,1342000,1121912,1068232,220088,0.836,0.7959999999999999,usable_with_gaps,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AWS-001:2026-04,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-PAYER-001,2026-04,2014000,1772320,1691760,241680,0.88,0.84,usable_with_gaps,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AZURE-001:2026-04,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-MGMT-ROOT,2026-04,1375000,1133000,1078000,242000,0.824,0.7839999999999999,usable_with_gaps,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AWS-001:2026-05,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-PAYER-001,2026-05,2036000,1852760,1771320,183240,0.91,0.87,strong,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AZURE-001:2026-05,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-MGMT-ROOT,2026-05,1391000,1196260,1140620,194740,0.86,0.82,usable_with_gaps,DOC-MER-CLOUD-AZURE-001-COST-MGMT
