tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,cloud_provider,cloud_account_id,business_unit,application_ref,service_name,usage_type,region,month,usage_quantity,usage_unit,on_demand_spend_usd,covered_spend_usd,total_spend_usd,owner_tag,environment_tag,source_file_id
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-01:EC2-COMPUTE,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-CLINICAL-PROD,Clinical Operations,APP-CLOUD-EHR-INT,EC2 Compute,BoxUsage,us-east-1,2026-01,3598333,service-unit,375666,272034,647700,Clinical Operations,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-01:RDS-DATABASE,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-CLINICAL-PROD,Clinical Operations,APP-CLOUD-EHR-INT,RDS Database,DatabaseUsage,us-east-1,2026-01,1693333,service-unit,176784,128016,304800,Clinical Operations,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-01:EKS-CONTAINERS,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-CLINICAL-PROD,Patient Access,APP-CLOUD-PATIENT-DIGITAL,EKS Containers,ContainerHours,us-east-1,2026-01,1270000,service-unit,201168,27432,228600,Patient Access,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-01:S3-STORAGE,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-CLINICAL-PROD,Enterprise Analytics,APP-CLOUD-DATA-PLATFORM,S3 Storage,TimedStorage-ByteHrs,us-east-1,2026-01,12700000,GB-month,167640,22860,190500,Enterprise Analytics,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-01:DATA-TRANSFER,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-CLINICAL-PROD,Patient Access,APP-CLOUD-PATIENT-DIGITAL,Data Transfer,DataTransfer-Out-Bytes,us-east-1,2026-01,952500,GB-month,150876,20574,171450,Patient Access,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-01:CLOUDWATCH-AND-SECURITY,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-CLINICAL-PROD,Security,APP-CLOUD-SECURITY-LAKE,CloudWatch and Security,MonitoringEvents,us-east-1,2026-01,740833,service-unit,117348,16002,133350,Security,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-01:ENTERPRISE-SUPPORT,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-CLINICAL-PROD,Clinical Operations,APP-CLOUD-EHR-INT,Enterprise Support,Support-Business,global,2026-01,846667,service-unit,0,152400,152400,Clinical Operations,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-01:OTHER-SERVICES,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-CLINICAL-PROD,Enterprise Integration,APP-CLOUD-INTEGRATION-HUB,Other services,Multiple,mixed,2026-01,423333,service-unit,67056,9144,76200,,,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-01:VIRTUAL-MACHINES,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-DATA-PROD-001,Enterprise Analytics,APP-CLOUD-DATA-PLATFORM,Virtual Machines,Dsv5 Hours,eastus,2026-01,1541667,service-unit,187775,135975,323750,Enterprise Analytics,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-01:AZURE-SQL,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-DATA-PROD-001,Enterprise Analytics,APP-CLOUD-CLAIMS-ANALYTICS,Azure SQL,vCore Hours,eastus,2026-01,1171667,service-unit,142709,103341,246050,Enterprise Analytics,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
