tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,month,cloud_billing_export_amount_usd,ap_invoice_amount_usd,paid_amount_usd,variance_usd,reconciliation_state,source_file_id
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AWS-001:2026-01,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",2026-01,1905000,1905000,1905000,0,matched,DOC-MER-CLOUD-AWS-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AZURE-001:2026-01,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,2026-01,1295000,1295000,1295000,0,matched,DOC-MER-CLOUD-AZURE-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AWS-001:2026-02,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",2026-02,1962000,1962000,1962000,0,matched,DOC-MER-CLOUD-AWS-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AZURE-001:2026-02,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,2026-02,1324000,1324000,1324000,0,matched,DOC-MER-CLOUD-AZURE-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AWS-001:2026-03,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",2026-03,1978000,1978000,1978000,0,matched,DOC-MER-CLOUD-AWS-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AZURE-001:2026-03,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,2026-03,1342000,1342000,1342000,0,matched,DOC-MER-CLOUD-AZURE-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AWS-001:2026-04,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",2026-04,2014000,2014000,2014000,0,matched,DOC-MER-CLOUD-AWS-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AZURE-001:2026-04,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,2026-04,1375000,1375000,1375000,0,matched,DOC-MER-CLOUD-AZURE-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AWS-001:2026-05,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",2026-05,2036000,2036000,2036000,0,matched,DOC-MER-CLOUD-AWS-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AZURE-001:2026-05,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,2026-05,1391000,1391000,1391000,0,matched,DOC-MER-CLOUD-AZURE-001-AP-INVOICES
