tenant_key,dataset_version,source_row_id,resource_id,contract_id,vendor_ref,vendor_name,cloud_provider,service_name,sku,region,application_ref,business_unit,owner_tag,environment_tag,avg_cpu_utilization_pct,avg_memory_utilization_pct,monthly_spend_usd,rightsize_signal,source_file_id
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:001,AWS-RES-0001,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EC2,m6i.4xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,,,0.18,0.22,4200,downsize_candidate,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:002,AWS-RES-0002,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,RDS,db.r6i.2xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.25,0.27,4925,downsize_candidate,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:003,AWS-RES-0003,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EKS,c6i.2xlarge,us-east-1,APP-CLOUD-PATIENT-DIGITAL,Patient Access,Patient Access,prod,0.32,0.32,5650,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:004,AZURE-RES-0004,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Virtual Machines,D8s_v5,eastus,APP-CLOUD-DATA-PLATFORM,Enterprise Analytics,Enterprise Analytics,prod,0.39,0.37,6375,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:005,AZURE-RES-0005,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Azure SQL,GP_Gen5_8,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.46,0.42,7100,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:006,AZURE-RES-0006,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Synapse,DW300c,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.53,0.47,7825,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:007,AWS-RES-0007,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EC2,m6i.4xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.6,0.52,8550,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:008,AWS-RES-0008,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,RDS,db.r6i.2xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.67,0.57,9275,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:009,AWS-RES-0009,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EKS,c6i.2xlarge,us-east-1,APP-CLOUD-PATIENT-DIGITAL,Patient Access,Patient Access,prod,0.2,0.62,10000,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:010,AZURE-RES-0010,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Virtual Machines,D8s_v5,eastus,APP-CLOUD-DATA-PLATFORM,Enterprise Analytics,Enterprise Analytics,prod,0.27,0.67,10725,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
