tenant_key,dataset_version,extraction_id,contract_id,vendor_ref,vendor_name,concept_ref,evidence_class,subject_kind,subject_ref,value_text,value_num,value_bool,source_file_id,source_section,source_page,confidence,review_state
meridian-health,meridian-cloud-consumption-depth-v1-20260907,clause:MER-CLOUD-AWS-001:minimum_commitment,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",minimum_commitment,commercial_right,contract,MER-CLOUD-AWS-001,Annual EDP commitment of $20.4M applies through 2027-12-31.,20400000,,DOC-MER-CLOUD-AWS-001-EDP,Commercial Schedule,3,0.92,synthetic_demo_reviewed
meridian-health,meridian-cloud-consumption-depth-v1-20260907,clause:MER-CLOUD-AWS-001:committed_use_discount_right,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",committed_use_discount_right,commercial_right,contract,MER-CLOUD-AWS-001,Eligible persistent compute workloads may be covered by Savings Plans and Reserved Instances.,,true,DOC-MER-CLOUD-AWS-001-SAVINGS-PLAN,Commitment Terms,4,0.9,synthetic_demo_reviewed
meridian-health,meridian-cloud-consumption-depth-v1-20260907,clause:MER-CLOUD-AWS-001:benchmarking_clause,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",benchmarking_clause,commercial_right,contract,MER-CLOUD-AWS-001,Benchmarking rights are present for enterprise pricing discussions.,,true,DOC-MER-CLOUD-AWS-001-EDP,Governance,8,0.88,synthetic_demo_reviewed
meridian-health,meridian-cloud-consumption-depth-v1-20260907,clause:MER-CLOUD-AWS-001:termination_rights,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",termination_rights,exit_right,contract,MER-CLOUD-AWS-001,"Usage-based services may be reduced, but committed spend shortfall remains buyer obligation.",,,DOC-MER-CLOUD-AWS-001-EDP,Termination,9,0.87,synthetic_demo_reviewed
meridian-health,meridian-cloud-consumption-depth-v1-20260907,clause:MER-CLOUD-AWS-001:support_tier,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",support_tier,service_level,contract,MER-CLOUD-AWS-001,Enterprise Support charges are calculated from eligible monthly AWS charges.,,,DOC-MER-CLOUD-AWS-001-EDP,Support,6,0.89,synthetic_demo_reviewed
meridian-health,meridian-cloud-consumption-depth-v1-20260907,clause:MER-CLOUD-AZURE-001:minimum_commitment,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,minimum_commitment,commercial_right,contract,MER-CLOUD-AZURE-001,Annual Azure consumption commitment of $14.4M applies through 2027-06-30.,14400000,,DOC-MER-CLOUD-AZURE-001-EA,Commercial Schedule,3,0.92,synthetic_demo_reviewed
meridian-health,meridian-cloud-consumption-depth-v1-20260907,clause:MER-CLOUD-AZURE-001:reservation_rights,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,reservation_rights,commercial_right,contract,MER-CLOUD-AZURE-001,Eligible steady virtual machines and Azure SQL capacity may be reserved for one or three years.,,true,DOC-MER-CLOUD-AZURE-001-RESERVATIONS,Reservations,4,0.91,synthetic_demo_reviewed
meridian-health,meridian-cloud-consumption-depth-v1-20260907,clause:MER-CLOUD-AZURE-001:benchmarking_clause,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,benchmarking_clause,commercial_right,contract,MER-CLOUD-AZURE-001,Benchmarking rights are present for enterprise pricing discussions.,,true,DOC-MER-CLOUD-AZURE-001-EA,Governance,7,0.88,synthetic_demo_reviewed
meridian-health,meridian-cloud-consumption-depth-v1-20260907,clause:MER-CLOUD-AZURE-001:auto_renew,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,auto_renew,renewal,contract,MER-CLOUD-AZURE-001,Agreement auto-renews unless written notice is provided before the renewal notice date.,,true,DOC-MER-CLOUD-AZURE-001-EA,Renewal,8,0.9,synthetic_demo_reviewed
meridian-health,meridian-cloud-consumption-depth-v1-20260907,clause:MER-CLOUD-AZURE-001:notice_period_days,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,notice_period_days,renewal,contract,MER-CLOUD-AZURE-001,Renewal or non-renewal notice is due 120 days before term end.,120,,DOC-MER-CLOUD-AZURE-001-EA,Renewal,8,0.94,synthetic_demo_reviewed
