tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,org_unit_id,org_unit_name,leader_role,reports_to_role,decision_rights,owned_systems,owned_processes
lakeshore-industries,Lakeshore Industries,v6.0,org_ownership,LAK-IT-001,Office of CIO,v4_synthetic_pack,CIO,synthetic_demo,family-1-enterprise-operating-model/F03_it-org-ownership.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves|Source,ownership|decision_rights|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:reports_to_role_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,LAK-IT-001,Office of CIO,CIO,data_thin:reports_to_role_missing,technology_leadership,technology_leadership,technology_leadership
lakeshore-industries,Lakeshore Industries,v6.0,org_ownership,LAK-IT-002,SAP and ERP Platforms,v4_synthetic_pack,VP ERP,synthetic_demo,family-1-enterprise-operating-model/F03_it-org-ownership.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves|Source,ownership|decision_rights|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:reports_to_role_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,LAK-IT-002,SAP and ERP Platforms,VP ERP,data_thin:reports_to_role_missing,erp,erp,erp
lakeshore-industries,Lakeshore Industries,v6.0,org_ownership,LAK-IT-003,Treasury and Finance Systems,v4_synthetic_pack,VP Finance Technology,synthetic_demo,family-1-enterprise-operating-model/F03_it-org-ownership.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves|Source,ownership|decision_rights|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:reports_to_role_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,LAK-IT-003,Treasury and Finance Systems,VP Finance Technology,data_thin:reports_to_role_missing,treasury_finance,treasury_finance,treasury_finance
lakeshore-industries,Lakeshore Industries,v6.0,org_ownership,LAK-IT-004,Integration and Middleware,v4_synthetic_pack,VP Integration,synthetic_demo,family-1-enterprise-operating-model/F03_it-org-ownership.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves|Source,ownership|decision_rights|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:reports_to_role_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,LAK-IT-004,Integration and Middleware,VP Integration,data_thin:reports_to_role_missing,api_edi_batch,api_edi_batch,api_edi_batch
lakeshore-industries,Lakeshore Industries,v6.0,org_ownership,LAK-IT-005,Data Platform and BI,v4_synthetic_pack,Chief Data Officer,synthetic_demo,family-1-enterprise-operating-model/F03_it-org-ownership.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves|Source,ownership|decision_rights|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:reports_to_role_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,LAK-IT-005,Data Platform and BI,Chief Data Officer,data_thin:reports_to_role_missing,data_analytics,data_analytics,data_analytics
lakeshore-industries,Lakeshore Industries,v6.0,org_ownership,LAK-IT-006,Manufacturing and OT Systems,v4_synthetic_pack,VP Manufacturing Tech,synthetic_demo,family-1-enterprise-operating-model/F03_it-org-ownership.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves|Source,ownership|decision_rights|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:reports_to_role_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,LAK-IT-006,Manufacturing and OT Systems,VP Manufacturing Tech,data_thin:reports_to_role_missing,mes_ot,mes_ot,mes_ot
lakeshore-industries,Lakeshore Industries,v6.0,org_ownership,LAK-IT-007,Cloud and Infrastructure,v4_synthetic_pack,VP Infrastructure,synthetic_demo,family-1-enterprise-operating-model/F03_it-org-ownership.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves|Source,ownership|decision_rights|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:reports_to_role_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,LAK-IT-007,Cloud and Infrastructure,VP Infrastructure,data_thin:reports_to_role_missing,cloud_datacenter,cloud_datacenter,cloud_datacenter
lakeshore-industries,Lakeshore Industries,v6.0,org_ownership,LAK-IT-008,ServiceNow and IT Operations,v4_synthetic_pack,VP IT Operations,synthetic_demo,family-1-enterprise-operating-model/F03_it-org-ownership.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves|Source,ownership|decision_rights|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:reports_to_role_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,LAK-IT-008,ServiceNow and IT Operations,VP IT Operations,data_thin:reports_to_role_missing,itsm,itsm,itsm
lakeshore-industries,Lakeshore Industries,v6.0,org_ownership,LAK-IT-009,Cybersecurity and Identity,v4_synthetic_pack,CISO,synthetic_demo,family-1-enterprise-operating-model/F03_it-org-ownership.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves|Source,ownership|decision_rights|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:reports_to_role_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,LAK-IT-009,Cybersecurity and Identity,CISO,data_thin:reports_to_role_missing,cyber,cyber,cyber
lakeshore-industries,Lakeshore Industries,v6.0,org_ownership,LAK-IT-010,AI Automation Office,v4_synthetic_pack,Chief Data Officer,synthetic_demo,family-1-enterprise-operating-model/F03_it-org-ownership.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves|Source,ownership|decision_rights|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:reports_to_role_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,LAK-IT-010,AI Automation Office,Chief Data Officer,data_thin:reports_to_role_missing,ai_governance,ai_governance,ai_governance
lakeshore-industries,Lakeshore Industries,v6.0,org_ownership,LAKESHORE_INDUSTRIES_ROLE_1,org_ownership record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,family-8-semantic-enrichment/F18_leadership-org-chart.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves|Source,ownership|decision_rights|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:decision_rights_missing|data_thin:owned_systems_missing|data_thin:owned_processes_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,LAKESHORE_INDUSTRIES_ROLE_1,technology_leadership,CIO,CEO / executive committee,data_thin:decision_rights_missing,data_thin:owned_systems_missing,data_thin:owned_processes_missing
lakeshore-industries,Lakeshore Industries,v6.0,org_ownership,LAKESHORE_INDUSTRIES_ROLE_2,org_ownership record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,family-8-semantic-enrichment/F18_leadership-org-chart.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves|Source,ownership|decision_rights|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:decision_rights_missing|data_thin:owned_systems_missing|data_thin:owned_processes_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,LAKESHORE_INDUSTRIES_ROLE_2,erp,VP ERP,CIO / executive technology leadership,data_thin:decision_rights_missing,data_thin:owned_systems_missing,data_thin:owned_processes_missing
