tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,evidence_id,evidence_title,evidence_type,source_location,evidence_owner,evidence_confidence
lakeshore-industries,Lakeshore Holdings,v6.0,evidence_source,LH-EVID-001,Holdco entity hierarchy and assumptions,v6_holdco_synthetic_pack,AbarVa Synthetic Data Steward,synthetic_demo,holdco/evidence-sources.csv,1,2026-06-18,2026-01-01,2026-12-31,quarterly,high,synthetic_demo,synthetic_confidential,Home|Intelligence|Tower|Moves|Source,facts|tables|charts|graphs|benchmark_context|decision_support,public_real_company_claim|actual_financial_filing_claim|cross_tenant_claim|unsupported_roi_claim,none,2026-06-28T00:00:00Z,2026-07-01T18:00:00Z,LH-EVID-001,Holdco entity hierarchy and assumptions,synthetic_template,holdco/entity-hierarchy.csv,AbarVa Synthetic Data Steward,high
lakeshore-industries,Lakeshore Holdings,v6.0,evidence_source,LH-EVID-002,Corporate shared services systems inventory,v6_holdco_synthetic_pack,Group CIO,synthetic_demo,holdco/evidence-sources.csv,2,2026-06-18,2026-01-01,2026-12-31,quarterly,high,synthetic_demo,synthetic_confidential,Home|Intelligence|Tower|Moves|Source,facts|tables|charts|graphs|benchmark_context|decision_support,public_real_company_claim|actual_financial_filing_claim|cross_tenant_claim|unsupported_roi_claim,none,2026-06-28T00:00:00Z,2026-07-01T18:00:00Z,LH-EVID-002,Corporate shared services systems inventory,synthetic_template,holdco/applications-systems.csv,Group CIO,high
lakeshore-industries,Lakeshore Holdings,v6.0,evidence_source,LH-EVID-003,Portfolio company IT budget model,v6_holdco_synthetic_pack,Group CIO,synthetic_demo,holdco/evidence-sources.csv,3,2026-06-18,2026-01-01,2026-12-31,quarterly,high,synthetic_demo,synthetic_confidential,Home|Intelligence|Tower|Moves|Source,facts|tables|charts|graphs|benchmark_context|decision_support,public_real_company_claim|actual_financial_filing_claim|cross_tenant_claim|unsupported_roi_claim,none,2026-06-28T00:00:00Z,2026-07-01T18:00:00Z,LH-EVID-003,Portfolio company IT budget model,synthetic_template,holdco/spend-value.csv,Group CIO,high
lakeshore-industries,Lakeshore Holdings,v6.0,evidence_source,LH-EVID-004,Corporate Innovation IT operating model,v6_holdco_synthetic_pack,VP Corporate Innovation IT and Data AI,synthetic_demo,holdco/evidence-sources.csv,4,2026-06-18,2026-01-01,2026-12-31,quarterly,high,synthetic_demo,synthetic_confidential,Home|Intelligence|Tower|Moves|Source,facts|tables|charts|graphs|benchmark_context|decision_support,public_real_company_claim|actual_financial_filing_claim|cross_tenant_claim|unsupported_roi_claim,none,2026-06-28T00:00:00Z,2026-07-01T18:00:00Z,LH-EVID-004,Corporate Innovation IT operating model,synthetic_template,holdco/business-functions.csv,VP Corporate Innovation IT and Data AI,high
lakeshore-industries,Lakeshore Holdings,v6.0,evidence_source,LH-EVID-005,Portfolio company local IT ownership map,v6_holdco_synthetic_pack,Group CIO,synthetic_demo,holdco/evidence-sources.csv,5,2026-06-18,2026-01-01,2026-12-31,quarterly,high,synthetic_demo,synthetic_confidential,Home|Intelligence|Tower|Moves|Source,facts|tables|charts|graphs|benchmark_context|decision_support,public_real_company_claim|actual_financial_filing_claim|cross_tenant_claim|unsupported_roi_claim,none,2026-06-28T00:00:00Z,2026-07-01T18:00:00Z,LH-EVID-005,Portfolio company local IT ownership map,synthetic_template,holdco/org-ownership.csv,Group CIO,high
lakeshore-industries,Lakeshore Holdings,v6.0,evidence_source,LH-EVID-006,Program value and risk register,v6_holdco_synthetic_pack,Portfolio Management Office,synthetic_demo,holdco/evidence-sources.csv,6,2026-06-18,2026-01-01,2026-12-31,quarterly,high,synthetic_demo,synthetic_confidential,Home|Intelligence|Tower|Moves|Source,facts|tables|charts|graphs|benchmark_context|decision_support,public_real_company_claim|actual_financial_filing_claim|cross_tenant_claim|unsupported_roi_claim,none,2026-06-28T00:00:00Z,2026-07-01T18:00:00Z,LH-EVID-006,Program value and risk register,synthetic_template,holdco/programs-initiatives.csv,Portfolio Management Office,high
lakeshore-industries,Lakeshore Holdings,v6.0,evidence_source,LH-EVID-007,AI initiative and adoption register,v6_holdco_synthetic_pack,VP Corporate Innovation IT and Data AI,synthetic_demo,holdco/evidence-sources.csv,7,2026-06-18,2026-01-01,2026-12-31,quarterly,high,synthetic_demo,synthetic_confidential,Home|Intelligence|Tower|Moves|Source,facts|tables|charts|graphs|benchmark_context|decision_support,public_real_company_claim|actual_financial_filing_claim|cross_tenant_claim|unsupported_roi_claim,none,2026-06-28T00:00:00Z,2026-07-01T18:00:00Z,LH-EVID-007,AI initiative and adoption register,synthetic_template,holdco/ai-initiatives.csv,VP Corporate Innovation IT and Data AI,high
lakeshore-industries,Lakeshore Holdings,v6.0,evidence_source,LH-EVID-008,Vendor and renewal exposure register,v6_holdco_synthetic_pack,Corporate Procurement,synthetic_demo,holdco/evidence-sources.csv,8,2026-06-18,2026-01-01,2026-12-31,quarterly,high,synthetic_demo,synthetic_confidential,Home|Intelligence|Tower|Moves|Source,facts|tables|charts|graphs|benchmark_context|decision_support,public_real_company_claim|actual_financial_filing_claim|cross_tenant_claim|unsupported_roi_claim,none,2026-06-28T00:00:00Z,2026-07-01T18:00:00Z,LH-EVID-008,Vendor and renewal exposure register,synthetic_template,holdco/vendors-contracts.csv,Corporate Procurement,high
lakeshore-industries,Lakeshore Holdings,v6.0,evidence_source,LH-EVID-009,Operational risk and controls register,v6_holdco_synthetic_pack,CISO,synthetic_demo,holdco/evidence-sources.csv,9,2026-06-18,2026-01-01,2026-12-31,quarterly,high,synthetic_demo,synthetic_confidential,Home|Intelligence|Tower|Moves|Source,facts|tables|charts|graphs|benchmark_context|decision_support,public_real_company_claim|actual_financial_filing_claim|cross_tenant_claim|unsupported_roi_claim,none,2026-06-28T00:00:00Z,2026-07-01T18:00:00Z,LH-EVID-009,Operational risk and controls register,synthetic_template,holdco/operations-risk-controls.csv,CISO,high
lakeshore-industries,Lakeshore Holdings,v6.0,evidence_source,LH-EVID-010,Dashboard metric formula map,v6_holdco_synthetic_pack,AbarVa Synthetic Data Steward,synthetic_demo,holdco/evidence-sources.csv,10,2026-06-18,2026-01-01,2026-12-31,quarterly,high,synthetic_demo,synthetic_confidential,Home|Intelligence|Tower|Moves|Source,facts|tables|charts|graphs|benchmark_context|decision_support,public_real_company_claim|actual_financial_filing_claim|cross_tenant_claim|unsupported_roi_claim,none,2026-06-28T00:00:00Z,2026-07-01T18:00:00Z,LH-EVID-010,Dashboard metric formula map,synthetic_template,holdco/dashboard-metric-map.csv,AbarVa Synthetic Data Steward,high
