initiative_id,committed_usd,projected_value_usd,value_basis
FCF-INIT-BRANCH-VISION-AI,1900000,600000,KILL CANDIDATE: branch pilots show low teller adoption; privacy review unresolved; no verified branch throughput value.
FCF-INIT-CONTACT-SENTIMENT-V1,2400000,800000,KILL CANDIDATE: canned sentiment scores created coaching risk with no call-time reduction.
FCF-INIT-WEALTH-COPILOT-SHADOW,3100000,1700000,KILL CANDIDATE: unapproved client-note data path and FINRA supervision gaps.
FCF-INIT-FEDNOW-RTP-MODERNIZATION,18600000,42000000,"RESTRUCTURE CANDIDATE: commercial-deposit value is real but core API, sanction screening and 24x7 ops gates are unresolved."
FCF-INIT-AML-TRIAGE-AI,8900000,21000000,"RESTRUCTURE CANDIDATE: case backlog value clear, but SR 11-7 validation evidence is incomplete."
FCF-INIT-CORE-BANKING-FUTURE,14000000,0,CONTESTED: CIO wants RFP now; Sentinel should hold until data migration and OCC remediation sequencing are resolved.
FCF-INIT-FRAUD-GRAPH-V2,7300000,28600000,FALSE-POSITIVE-DO-NOT-FLAG: high spend but verified fraud-loss avoidance and engaged sponsor.
FCF-INIT-008,1200000,2500000,SAP S/4HANA finance future decision is tied to Wealth and Private Bank Technology with watch posture and board/CXO evidence requirements.
FCF-INIT-009,1991000,3990000,"Digital account opening abandonment recovery is tied to Risk, Compliance and Financial Crimes with healthy posture and board/CXO evidence requirements."
FCF-INIT-010,2782000,5480000,Commercial credit memo automation is tied to Enterprise Data and AI with healthy posture and board/CXO evidence requirements.
FCF-INIT-011,3573000,6970000,Treasury liquidity forecast modernization is tied to Cloud Platform Engineering with healthy posture and board/CXO evidence requirements.
FCF-INIT-012,4364000,8460000,KYC beneficial ownership refresh is tied to Cybersecurity and IAM with healthy posture and board/CXO evidence requirements.
FCF-INIT-013,5155000,9950000,Model inventory evidence automation is tied to Finance ERP and Procurement Systems with restructure posture and board/CXO evidence requirements.
FCF-INIT-014,5946000,11440000,M365 Copilot controlled rollout is tied to Branch and ATM Technology with healthy posture and board/CXO evidence requirements.
FCF-INIT-015,6737000,12930000,Cloud exit-risk reduction is tied to Contact Center and Servicing with healthy posture and board/CXO evidence requirements.
FCF-INIT-016,7528000,14420000,ServiceNow CMDB truth remediation is tied to Model Risk and Validation with watch posture and board/CXO evidence requirements.
FCF-INIT-017,8319000,15910000,Data lineage for regulatory reports is tied to Deposit and Loan Operations with healthy posture and board/CXO evidence requirements.
FCF-INIT-018,9110000,17400000,Debit-card disputes automation is tied to Open Banking and API Products with restructure posture and board/CXO evidence requirements.
FCF-INIT-019,9901000,18890000,Mortgage document intelligence is tied to Corporate Treasury Technology with healthy posture and board/CXO evidence requirements.
FCF-INIT-020,10692000,20380000,Branch appointment and workforce optimization is tied to Mortgage and Consumer Lending with healthy posture and board/CXO evidence requirements.
FCF-INIT-021,11483000,21870000,Open banking developer portal is tied to Cards and Rewards Technology with healthy posture and board/CXO evidence requirements.
FCF-INIT-022,12274000,23360000,Vendor AI indemnity clause refresh is tied to Engineering Productivity Office with healthy posture and board/CXO evidence requirements.
FCF-INIT-023,13065000,24850000,"IAM privileged access cleanup is tied to ITSM, Observability and SRE with restructure posture and board/CXO evidence requirements."
FCF-INIT-024,13856000,26340000,SAS model-hosting rationalization is tied to Regulatory Remediation PMO with watch posture and board/CXO evidence requirements.
FCF-INIT-025,14647000,27830000,Snowflake cost governance is tied to Vendor and Sourcing Technology with healthy posture and board/CXO evidence requirements.
FCF-INIT-026,1638000,29320000,Client complaint root-cause analytics is tied to Core Banking Platforms with healthy posture and board/CXO evidence requirements.
FCF-INIT-027,2429000,30810000,Loan operations straight-through processing is tied to Payments and Treasury Services with healthy posture and board/CXO evidence requirements.
FCF-INIT-028,3220000,32300000,Data retention and legal hold automation is tied to Digital Banking and Client Experience with restructure posture and board/CXO evidence requirements.
FCF-INIT-029,4011000,33790000,Engineering productivity tooling for legacy apps is tied to Commercial Lending Technology with healthy posture and board/CXO evidence requirements.
FCF-INIT-030,4802000,3280000,Payment exceptions workflow modernization is tied to Wealth and Private Bank Technology with healthy posture and board/CXO evidence requirements.
FCF-INIT-031,5593000,4770000,"Customer 360 consent and preference hub is tied to Risk, Compliance and Financial Crimes with healthy posture and board/CXO evidence requirements."
FCF-INIT-032,6384000,6260000,Third-party risk scoring automation is tied to Enterprise Data and AI with watch posture and board/CXO evidence requirements.
