move_id,question_id,question,must_include,must_not_claim,pass_criteria,evidence_refs,failure_mode_guarded
MER-MOVE-001,MER-MOVE-001-Q01,What exact source evidence supports this Move? (Unified clinical + claims lakehouse),Unified clinical + claims lakehouse; Epic Clarity; EMR clinical; No certified medallion architecture,"Do not claim a production longitudinal patient view exists. Specific to Unified clinical + claims lakehouse, do not present Epic Clarity / EMR clinical as certified while ""No certified medallion architecture"" remains open.","Pass only if the answer identifies Epic Clarity as evidence for Unified clinical + claims lakehouse, ties it to EMR clinical, and states that ""No certified medallion architecture"" still requires source proof.",MER-EVID-001; Epic Clarity,unsupported_tenant_claim
MER-MOVE-001,MER-MOVE-001-Q02,Which foundation gap blocks phase advancement? (Unified clinical + claims lakehouse),Unified clinical + claims lakehouse; Epic Caboodle; claims; No patient/member identity spine loaded,"Do not claim Databricks or medallion architecture is implemented. Specific to Unified clinical + claims lakehouse, do not present Epic Caboodle / claims as certified while ""No patient/member identity spine loaded"" remains open.","Pass when the blocker is named as ""No patient/member identity spine loaded"", the answer explains why it constrains claims, and Unified clinical + claims lakehouse remains in planning-grade language.",MER-EVID-001; Epic Caboodle,foundation_overclaim
MER-MOVE-001,MER-MOVE-001-Q03,What must not be claimed yet? (Unified clinical + claims lakehouse),Unified clinical + claims lakehouse; Claims administration platform; pharmacy; Claims and pharmacy harmonization not proven,"Do not cite patient-level outcomes without real evidence. Specific to Unified clinical + claims lakehouse, do not present Claims administration platform / pharmacy as certified while ""Claims and pharmacy harmonization not proven"" remains open.","Pass if the response refuses production/value claims for Unified clinical + claims lakehouse, preserves the forbidden-claim boundary, and cites Claims administration platform as the relevant fact anchor.",MER-EVID-001; Claims administration platform,value_fabrication
MER-MOVE-001,MER-MOVE-001-Q04,Which systems must be reconciled? (Unified clinical + claims lakehouse),Unified clinical + claims lakehouse; Pharmacy claims platform; patient/member identity; AWS/Databricks foundation not ready,"Do not claim a production longitudinal patient view exists. Specific to Unified clinical + claims lakehouse, do not present Pharmacy claims platform / patient/member identity as certified while ""AWS/Databricks foundation not ready"" remains open.","Pass when Pharmacy claims platform is reconciled with the other Move systems, patient/member identity is not treated as certified, and the open dependency ""AWS/Databricks foundation not ready"" is explicit.",MER-EVID-001; Pharmacy claims platform,thin_generic_answer
MER-MOVE-001,MER-MOVE-001-Q05,What baseline is required before value is quantified? (Unified clinical + claims lakehouse),Unified clinical + claims lakehouse; Databricks on AWS; longitudinal patient view; No certified medallion architecture,"Do not claim Databricks or medallion architecture is implemented. Specific to Unified clinical + claims lakehouse, do not present Databricks on AWS / longitudinal patient view as certified while ""No certified medallion architecture"" remains open.","Pass only if value discussion for Unified clinical + claims lakehouse asks for a baseline for longitudinal patient view, names the owner evidence still needed, and avoids dollar or ROI invention.",MER-EVID-001; Databricks on AWS,thin_generic_answer
MER-MOVE-001,MER-MOVE-001-Q06,Which owner must validate the answer? (Unified clinical + claims lakehouse),Unified clinical + claims lakehouse; Epic Clarity; EMR clinical; No patient/member identity spine loaded,"Do not cite patient-level outcomes without real evidence. Specific to Unified clinical + claims lakehouse, do not present Epic Clarity / EMR clinical as certified while ""No patient/member identity spine loaded"" remains open.","Pass when the validating owner path is tied to Operations, the source artifact is referenced, and the answer explains how ""No patient/member identity spine loaded"" affects phase advancement.",MER-EVID-001; Epic Clarity,thin_generic_answer
MER-MOVE-002,MER-MOVE-002-Q01,What exact source evidence supports this Move? (Governed data foundation for AI / LLM automation),Governed data foundation for AI / LLM automation; Epic Clarity; prior authorization; No formal data governance,"Do not claim LLM workflows are production-ready. Specific to Governed data foundation for AI / LLM automation, do not present Epic Clarity / prior authorization as certified while ""No formal data governance"" remains open.","Pass only if the answer identifies Epic Clarity as evidence for Governed data foundation for AI / LLM automation, ties it to prior authorization, and states that ""No formal data governance"" still requires source proof.",MER-EVID-001; Epic Clarity,unsupported_tenant_claim
MER-MOVE-002,MER-MOVE-002-Q02,Which foundation gap blocks phase advancement? (Governed data foundation for AI / LLM automation),Governed data foundation for AI / LLM automation; SQL Server reporting marts; coding; No certified semantic layer,"Do not claim governance exists. Specific to Governed data foundation for AI / LLM automation, do not present SQL Server reporting marts / coding as certified while ""No certified semantic layer"" remains open.","Pass when the blocker is named as ""No certified semantic layer"", the answer explains why it constrains coding, and Governed data foundation for AI / LLM automation remains in planning-grade language.",MER-EVID-001; SQL Server reporting marts,foundation_overclaim
MER-MOVE-002,MER-MOVE-002-Q03,What must not be claimed yet? (Governed data foundation for AI / LLM automation),Governed data foundation for AI / LLM automation; SAS analytics estate; utilization management; No AI audit trail evidence,"Do not claim automation savings without baseline and adoption evidence. Specific to Governed data foundation for AI / LLM automation, do not present SAS analytics estate / utilization management as certified while ""No AI audit trail evidence"" remains open.","Pass if the response refuses production/value claims for Governed data foundation for AI / LLM automation, preserves the forbidden-claim boundary, and cites SAS analytics estate as the relevant fact anchor.",MER-EVID-001; SAS analytics estate,value_fabrication
MER-MOVE-002,MER-MOVE-002-Q04,Which systems must be reconciled? (Governed data foundation for AI / LLM automation),Governed data foundation for AI / LLM automation; Databricks on AWS; semantic layer; Data quality rules not loaded,"Do not claim LLM workflows are production-ready. Specific to Governed data foundation for AI / LLM automation, do not present Databricks on AWS / semantic layer as certified while ""Data quality rules not loaded"" remains open.","Pass when Databricks on AWS is reconciled with the other Move systems, semantic layer is not treated as certified, and the open dependency ""Data quality rules not loaded"" is explicit.",MER-EVID-001; Databricks on AWS,thin_generic_answer
MER-MOVE-002,MER-MOVE-002-Q05,What baseline is required before value is quantified? (Governed data foundation for AI / LLM automation),Governed data foundation for AI / LLM automation; Epic Clarity; data quality rules; No formal data governance,"Do not claim governance exists. Specific to Governed data foundation for AI / LLM automation, do not present Epic Clarity / data quality rules as certified while ""No formal data governance"" remains open.","Pass only if value discussion for Governed data foundation for AI / LLM automation asks for a baseline for data quality rules, names the owner evidence still needed, and avoids dollar or ROI invention.",MER-EVID-001; Epic Clarity,thin_generic_answer
MER-MOVE-002,MER-MOVE-002-Q06,Which owner must validate the answer? (Governed data foundation for AI / LLM automation),Governed data foundation for AI / LLM automation; SQL Server reporting marts; prior authorization; No certified semantic layer,"Do not claim automation savings without baseline and adoption evidence. Specific to Governed data foundation for AI / LLM automation, do not present SQL Server reporting marts / prior authorization as certified while ""No certified semantic layer"" remains open.","Pass when the validating owner path is tied to Operations, the source artifact is referenced, and the answer explains how ""No certified semantic layer"" affects phase advancement.",MER-EVID-001; SQL Server reporting marts,thin_generic_answer
MER-MOVE-003,MER-MOVE-003-Q01,What exact source evidence supports this Move? (Call center optimization),Call center optimization; Contact center transcript and telephony platform; transcripts; Transcript governance not loaded,"Do not claim real-time agent assist is live. Specific to Call center optimization, do not present Contact center transcript and telephony platform / transcripts as certified while ""Transcript governance not loaded"" remains open.","Pass only if the answer identifies Contact center transcript and telephony platform as evidence for Call center optimization, ties it to transcripts, and states that ""Transcript governance not loaded"" still requires source proof.",MER-EVID-001; Contact center transcript and telephony platform,unsupported_tenant_claim
MER-MOVE-003,MER-MOVE-003-Q02,Which foundation gap blocks phase advancement? (Call center optimization),Call center optimization; CRM / member case management; CRM cases; Real-time integration not proven,"Do not claim transcripts are approved for analytics. Specific to Call center optimization, do not present CRM / member case management / CRM cases as certified while ""Real-time integration not proven"" remains open.","Pass when the blocker is named as ""Real-time integration not proven"", the answer explains why it constrains CRM cases, and Call center optimization remains in planning-grade language.",MER-EVID-001; CRM / member case management,foundation_overclaim
