ai_asset_id,ai_asset_name,business_area,tool_or_model,stage,monthly_users_or_cases,measured_value_usd,risk_tier,evidence_status,next_gate
MER-AI-ASSET-001,Databricks AWS clinical + claims lakehouse foundation,Enterprise data,Databricks ML/LLM workflow,mobilize,700,16740000,tier_1_high,review_required,PHI/model governance approval
MER-AI-ASSET-002,Unified semantic layer for automation-ready data products,Data governance,AWS Bedrock / Claude,design,1120,11340000,tier_3,source_backed,scale readiness
MER-AI-ASSET-003,Prior authorization automation evidence cockpit,Utilization management,Epic or vendor AI,pilot,1540,21960000,tier_3,source_backed,scale readiness
MER-AI-ASSET-004,Call center agent assist and next-best-action,Member experience,M365/ServiceNow AI,pilot,1960,30600000,tier_2,source_backed,scale readiness
MER-AI-ASSET-005,HEDIS/STAR provider quality performance mart,Clinical quality,Databricks ML/LLM workflow,build,2380,9360000,tier_3,review_required,PHI/model governance approval
MER-AI-ASSET-006,Cost-of-care and margin transparency by population,Finance,AWS Bedrock / Claude,design,2800,20520000,tier_1_high,source_backed,scale readiness
MER-AI-ASSET-007,Payment integrity leakage reduction analytics,Claims integrity,Epic or vendor AI,pilot,3220,19800000,tier_2,source_backed,scale readiness
MER-AI-ASSET-008,Automated close and management reporting pipelines,Finance operations,M365/ServiceNow AI,mobilize,3640,13950000,tier_3,source_backed,scale readiness
MER-AI-ASSET-009,Ambient documentation scale with safety review,Clinical productivity,Databricks ML/LLM workflow,scale_gate,4060,8460000,tier_3,review_required,PHI/model governance approval
MER-AI-ASSET-010,Epic to lakehouse FHIR/HL7 modernization,Interoperability,AWS Bedrock / Claude,build,4480,9720000,tier_2,source_backed,scale readiness
MER-AI-ASSET-011,Provider network contract analytics,Provider network,Epic or vendor AI,design,4900,9720000,tier_1_high,source_backed,scale readiness
MER-AI-ASSET-012,Responsible AI and PHI model governance operating model,Governance,M365/ServiceNow AI,mobilize,5320,8550000,tier_3,source_backed,scale readiness
MER-AI-ASSET-013,M365 Copilot non-clinical adoption,Productivity,Databricks ML/LLM workflow,scale,5740,2520000,tier_2,review_required,PHI/model governance approval
MER-AI-ASSET-014,ServiceNow Now Assist IT operations,IT operations,AWS Bedrock / Claude,pilot,6160,2430000,tier_3,source_backed,scale readiness
