relationship_id,from_ci_id,to_ci_id,relationship_type,dependency_direction,integration_pattern,data_flow,criticality,recovery_dependency,known_gap,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
REL-0001,CI-APP-EPIC-HYPERSPACE,CI-APP-SERVICENOW,Depends On,Outbound,API,Clinical Documentation operational metadata to CI-APP-SERVICENOW,Critical,true,Relationship owner needs quarterly validation.,ServiceNow,REL-1,CMDB Stewardship,2026-05-01,0.78,false,
REL-0002,CI-APP-EPIC-HYPERSPACE,CI-SEC-OKTA,Integrates With,Bidirectional,HL7 feed,Clinical Documentation operational metadata to CI-SEC-OKTA,Critical,true,Relationship owner needs quarterly validation.,ServiceNow,REL-2,CMDB Stewardship,2026-05-01,0.78,false,
REL-0003,CI-APP-EPIC-HYPERSPACE,CI-CLOUD-AZURE-PROD,Secured By,Outbound,Batch file,Clinical Documentation operational metadata to CI-CLOUD-AZURE-PROD,Critical,true,Relationship owner needs quarterly validation.,ServiceNow,REL-3,CMDB Stewardship,2026-05-01,0.78,false,
REL-0004,CI-APP-EPIC-HYPERSPACE,CI-CLOUD-AWS-PROD,Hosted On,Bidirectional,SSO,Clinical Documentation operational metadata to CI-CLOUD-AWS-PROD,Critical,true,Relationship owner needs quarterly validation.,ServiceNow,REL-4,CMDB Stewardship,2026-05-01,0.78,false,
REL-0005,CI-APP-EPIC-CABOODLE,CI-SEC-OKTA,Depends On,Outbound,API,Clinical Analytics operational metadata to CI-SEC-OKTA,Critical,false,,ServiceNow,REL-5,CMDB Stewardship,2026-05-01,0.79,true,
REL-0006,CI-APP-EPIC-CABOODLE,CI-CLOUD-AZURE-PROD,Integrates With,Bidirectional,HL7 feed,Clinical Analytics operational metadata to CI-CLOUD-AZURE-PROD,Critical,false,,ServiceNow,REL-6,CMDB Stewardship,2026-05-01,0.79,true,
REL-0007,CI-INT-MIRTH,CI-CLOUD-AZURE-PROD,Depends On,Outbound,API,Clinical Integration operational metadata to CI-CLOUD-AZURE-PROD,Critical,false,,ServiceNow,REL-7,CMDB Stewardship,2026-05-01,0.8,true,
REL-0008,CI-INT-MIRTH,CI-CLOUD-AWS-PROD,Integrates With,Bidirectional,HL7 feed,Clinical Integration operational metadata to CI-CLOUD-AWS-PROD,Critical,false,,ServiceNow,REL-8,CMDB Stewardship,2026-05-01,0.8,true,
REL-0009,CI-SVC-CONTACT-CENTER,CI-CLOUD-AWS-PROD,Depends On,Outbound,API,Contact Center Operations operational metadata to CI-CLOUD-AWS-PROD,Critical,false,,ServiceNow,REL-9,CMDB Stewardship,2026-05-01,0.81,true,
REL-0010,CI-SVC-CONTACT-CENTER,CI-INT-MIRTH,Integrates With,Bidirectional,HL7 feed,Contact Center Operations operational metadata to CI-INT-MIRTH,Critical,false,,ServiceNow,REL-10,CMDB Stewardship,2026-05-01,0.81,true,
REL-0011,CI-SVC-CONTACT-CENTER,CI-APP-SERVICENOW,Secured By,Outbound,Batch file,Contact Center Operations operational metadata to CI-APP-SERVICENOW,Critical,false,,ServiceNow,REL-11,CMDB Stewardship,2026-05-01,0.81,true,
REL-0012,CI-APP-SALESFORCE-HEALTH,CI-INT-MIRTH,Depends On,Outbound,API,CRM and Care Navigation operational metadata to CI-INT-MIRTH,Medium,false,,ServiceNow,REL-12,CMDB Stewardship,2026-05-01,0.8200000000000001,true,
REL-0013,CI-APP-SALESFORCE-HEALTH,CI-APP-SERVICENOW,Integrates With,Bidirectional,HL7 feed,CRM and Care Navigation operational metadata to CI-APP-SERVICENOW,Medium,false,,ServiceNow,REL-13,CMDB Stewardship,2026-05-01,0.8200000000000001,true,
REL-0014,CI-APP-SALESFORCE-HEALTH,CI-SEC-OKTA,Secured By,Outbound,Batch file,CRM and Care Navigation operational metadata to CI-SEC-OKTA,Medium,false,,ServiceNow,REL-14,CMDB Stewardship,2026-05-01,0.8200000000000001,true,
REL-0015,CI-APP-SALESFORCE-HEALTH,CI-CLOUD-AZURE-PROD,Hosted On,Bidirectional,SSO,CRM and Care Navigation operational metadata to CI-CLOUD-AZURE-PROD,Medium,false,,ServiceNow,REL-15,CMDB Stewardship,2026-05-01,0.8200000000000001,true,
REL-0016,CI-APP-SERVICENOW,CI-SEC-OKTA,Integrates With,Bidirectional,HL7 feed,IT Service Management operational metadata to CI-SEC-OKTA,Critical,true,,ServiceNow,REL-16,CMDB Stewardship,2026-05-01,0.8300000000000001,true,
REL-0017,CI-APP-ORACLE-ERP,CI-SEC-OKTA,Depends On,Outbound,API,Finance and Procurement operational metadata to CI-SEC-OKTA,Critical,false,,ServiceNow,REL-17,CMDB Stewardship,2026-05-01,0.8400000000000001,true,
REL-0018,CI-APP-ORACLE-ERP,CI-CLOUD-AZURE-PROD,Integrates With,Bidirectional,HL7 feed,Finance and Procurement operational metadata to CI-CLOUD-AZURE-PROD,Critical,false,,ServiceNow,REL-18,CMDB Stewardship,2026-05-01,0.8400000000000001,true,
REL-0019,CI-APP-ORACLE-ERP,CI-CLOUD-AWS-PROD,Secured By,Outbound,Batch file,Finance and Procurement operational metadata to CI-CLOUD-AWS-PROD,Critical,false,,ServiceNow,REL-19,CMDB Stewardship,2026-05-01,0.8400000000000001,true,
REL-0020,CI-APP-WORKDAY-HCM,CI-CLOUD-AZURE-PROD,Depends On,Outbound,API,Workforce Management operational metadata to CI-CLOUD-AZURE-PROD,Medium,false,,ServiceNow,REL-20,CMDB Stewardship,2026-05-01,0.8500000000000001,true,
REL-0021,CI-APP-WORKDAY-HCM,CI-CLOUD-AWS-PROD,Integrates With,Bidirectional,HL7 feed,Workforce Management operational metadata to CI-CLOUD-AWS-PROD,Medium,false,,ServiceNow,REL-21,CMDB Stewardship,2026-05-01,0.8500000000000001,true,
REL-0022,CI-DATA-RESEARCH-LAKE,CI-CLOUD-AWS-PROD,Depends On,Outbound,API,Research Analytics operational metadata to CI-CLOUD-AWS-PROD,Critical,false,,ServiceNow,REL-22,CMDB Stewardship,2026-05-01,0.86,true,
REL-0023,CI-DATA-RESEARCH-LAKE,CI-INT-MIRTH,Integrates With,Bidirectional,HL7 feed,Research Analytics operational metadata to CI-INT-MIRTH,Critical,false,,ServiceNow,REL-23,CMDB Stewardship,2026-05-01,0.86,true,
REL-0024,CI-DATA-RESEARCH-LAKE,CI-APP-SERVICENOW,Secured By,Outbound,Batch file,Research Analytics operational metadata to CI-APP-SERVICENOW,Critical,false,,ServiceNow,REL-24,CMDB Stewardship,2026-05-01,0.86,true,
REL-0025,CI-DATA-RESEARCH-LAKE,CI-SEC-OKTA,Hosted On,Bidirectional,SSO,Research Analytics operational metadata to CI-SEC-OKTA,Critical,false,,ServiceNow,REL-25,CMDB Stewardship,2026-05-01,0.86,true,
REL-0026,CI-PLAT-DATABRICKS,CI-INT-MIRTH,Depends On,Outbound,API,Advanced Analytics operational metadata to CI-INT-MIRTH,High,false,,ServiceNow,REL-26,CMDB Stewardship,2026-05-01,0.87,true,
REL-0027,CI-PLAT-DATABRICKS,CI-APP-SERVICENOW,Integrates With,Bidirectional,HL7 feed,Advanced Analytics operational metadata to CI-APP-SERVICENOW,High,false,,ServiceNow,REL-27,CMDB Stewardship,2026-05-01,0.87,true,
REL-0028,CI-PLAT-DATABRICKS,CI-SEC-OKTA,Secured By,Outbound,Batch file,Advanced Analytics operational metadata to CI-SEC-OKTA,High,false,,ServiceNow,REL-28,CMDB Stewardship,2026-05-01,0.87,true,
