ci_id,ci_name,ci_type,business_service,application_owner,technical_owner,support_group,criticality,hosting_model,environment,vendor_id,contract_id,data_classification,service_tier,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
CI-APP-EPIC-HYPERSPACE,Epic Hyperspace,Application,Clinical Documentation,EHR Platform Engineering,Clinical Informatics,Integration Operations,Tier 1,SaaS,Production,VEN-EPIC,CON-EPIC-2026,Restricted,Gold,ServiceNow,CI-APP-EPIC-HYPERSPACE,CMDB Stewardship,2026-05-01,0.88,true,
CI-APP-EPIC-CABOODLE,Epic Caboodle,Data Platform,Clinical Analytics,Clinical Informatics,Integration Operations,Revenue Cycle Technology,Tier 1,Hosted,Production,VEN-EPIC,CON-EPIC-2026,Restricted,Gold,ServiceNow,CI-APP-EPIC-CABOODLE,CMDB Stewardship,2026-05-01,0.88,true,
CI-INT-MIRTH,Mirth Connect Integration Engine,Integration,Clinical Integration,Integration Operations,Revenue Cycle Technology,Contact Center Technology,Tier 1,Public Cloud,Production,VEN-REDOX,CON-REDOX-2026,Restricted,Gold,ServiceNow,CI-INT-MIRTH,CMDB Stewardship,2026-05-01,0.88,true,
CI-SVC-CONTACT-CENTER,Enterprise Contact Center Service,Business Service,Contact Center Operations,Revenue Cycle Technology,Contact Center Platform Engineering,Digital Contact Center Platform,Tier 1,Private Cloud,Production,VEN-GENESYS,CON-GENESYS-2026,Confidential,Gold,ServiceNow,CI-SVC-CONTACT-CENTER,CMDB Stewardship,2026-05-08,0.88,true,
CI-APP-SALESFORCE-HEALTH,Salesforce Health Cloud,Application,CRM and Care Navigation,Contact Center Technology,Cloud Platform Services,Research Technology Office,Tier 2,Hybrid,Production,VEN-SALESFORCE,CON-SALESFORCE-2026,Restricted,Gold,ServiceNow,CI-APP-SALESFORCE-HEALTH,CMDB Stewardship,2026-05-01,0.88,true,
CI-APP-SERVICENOW,ServiceNow ITSM and CMDB,Application,IT Service Management,Enterprise Service Management Office,IT Service Management Platform Team,Enterprise Service Management,Tier 1,SaaS,Production,VEN-SNOW,CON-SNOW-2026,Confidential,Gold,ServiceNow,CI-APP-SERVICENOW-W1,CMDB Stewardship,2026-05-08,0.88,true,
CI-APP-ORACLE-ERP,Oracle ERP Cloud,Application,Finance and Procurement,Research Technology Office,Payer Platform Operations,Cybersecurity Governance,Tier 1,Hosted,Production,VEN-ORACLE,CON-ORACLE-2026,Confidential,Gold,ServiceNow,CI-APP-ORACLE-ERP,CMDB Stewardship,2026-05-01,0.88,true,
CI-APP-WORKDAY-HCM,Workday HCM,Application,Workforce Management,Payer Platform Operations,Cybersecurity Governance,IT Sourcing,Tier 2,Public Cloud,Production,VEN-WORKDAY,CON-WORKDAY-2026,Confidential,Gold,ServiceNow,CI-APP-WORKDAY-HCM,CMDB Stewardship,2026-05-01,0.88,true,
CI-DATA-RESEARCH-LAKE,Research Data Lake,Data Platform,Research Analytics,Cybersecurity Governance,IT Sourcing,EHR Platform Engineering,Tier 1,Private Cloud,Production,VEN-PALANTIR,CON-PALANTIR-2026,Restricted,Gold,ServiceNow,CI-DATA-RESEARCH-LAKE,CMDB Stewardship,2026-05-01,0.88,true,
CI-PLAT-DATABRICKS,Databricks Clinical Analytics Workspace,Data Platform,Advanced Analytics,IT Sourcing,EHR Platform Engineering,Clinical Informatics,Tier 2,Hybrid,Production,VEN-DATABRICKS,CON-DATABRICKS-2026,Restricted,Gold,ServiceNow,CI-PLAT-DATABRICKS,CMDB Stewardship,2026-05-01,0.88,true,
CI-WH-SNOWFLAKE,Snowflake Enterprise Warehouse,Data Platform,Enterprise Reporting,EHR Platform Engineering,Clinical Informatics,Integration Operations,Tier 2,SaaS,Production,VEN-SNOWFLAKE,CON-SNOWFLAKE-2026,Confidential,Silver,ServiceNow,CI-WH-SNOWFLAKE,CMDB Stewardship,2026-05-01,0.88,true,
CI-SEC-OKTA,Okta Identity Service,Infrastructure,Identity and Access,Clinical Informatics,Integration Operations,Revenue Cycle Technology,Tier 1,Hosted,Production,VEN-OKTA,CON-OKTA-2026,Confidential,Silver,ServiceNow,CI-SEC-OKTA,CMDB Stewardship,2026-05-01,0.88,true,
CI-SEC-IMPRIVATA,Imprivata Clinical SSO,Application,Clinical Identity,Integration Operations,Revenue Cycle Technology,Contact Center Technology,Tier 1,Public Cloud,Production,VEN-IMPRIVATA,CON-IMPRIVATA-2026,Restricted,Silver,ServiceNow,CI-SEC-IMPRIVATA,CMDB Stewardship,2026-05-01,0.88,true,
CI-CLOUD-AWS-PROD,AWS Production Landing Zone,Infrastructure,Cloud Hosting,Revenue Cycle Technology,Contact Center Technology,Cloud Platform Services,Tier 1,Private Cloud,Production,VEN-AWS,CON-AWS-2026,Confidential,Silver,ServiceNow,CI-CLOUD-AWS-PROD,CMDB Stewardship,2026-05-01,0.88,true,
CI-CLOUD-AZURE-PROD,Azure Production Landing Zone,Infrastructure,Cloud Hosting,Contact Center Technology,Cloud Platform Services,Research Technology Office,Tier 1,Hybrid,Production,VEN-AZURE,CON-AZURE-2026,Confidential,Silver,ServiceNow,CI-CLOUD-AZURE-PROD,CMDB Stewardship,2026-05-01,0.88,true,
CI-APP-ENSEMBLE-RCM,Ensemble Revenue Cycle Platform,Application,Revenue Cycle Operations,Cloud Platform Services,Research Technology Office,Payer Platform Operations,Tier 1,SaaS,Production,VEN-ENSEMBLE,CON-ENSEMBLE-2026,Restricted,Silver,ServiceNow,CI-APP-ENSEMBLE-RCM,CMDB Stewardship,2026-05-01,0.88,true,
CI-APP-001,PACS Imaging 1,Application,PACS Imaging,EHR Platform Engineering,Revenue Cycle Technology,Contact Center Technology,Tier 1,SaaS,Production,VEN-EPIC,CON-EPIC-2026,Restricted,Gold,ServiceNow,CI-APP-001,CMDB Stewardship,2026-05-01,0.79,false,
CI-SVC-002,Laboratory Information System 1,Business Service,Laboratory Information System,Clinical Informatics,Contact Center Technology,Cloud Platform Services,Tier 3,Hosted,Production,VEN-SNOW,CON-SNOW-2026,Confidential,Bronze,ServiceNow,CI-SVC-002,CMDB Stewardship,2026-05-01,0.8,true,
CI-DATA-003,Pharmacy Dispensing 1,Data Platform,Pharmacy Dispensing,Integration Operations,Cloud Platform Services,Research Technology Office,Tier 3,Public Cloud,Production,VEN-ORACLE,CON-ORACLE-2026,Internal,Bronze,ServiceNow,CI-DATA-003,CMDB Stewardship,2026-05-01,0.81,true,
CI-APP-004,Provider Scheduling 1,Application,Provider Scheduling,Revenue Cycle Technology,Research Technology Office,Payer Platform Operations,Tier 2,On Premise,Production,VEN-SALESFORCE,CON-SALESFORCE-2026,Internal,Silver,ServiceNow,CI-APP-004,CMDB Stewardship,2026-05-01,0.8200000000000001,true,
CI-SVC-005,Referral Management 1,Business Service,Referral Management,Contact Center Technology,Payer Platform Operations,Cybersecurity Governance,Tier 3,Hybrid,Production,VEN-GENESYS,CON-GENESYS-2026,Restricted,Bronze,ServiceNow,CI-SVC-005,CMDB Stewardship,2026-05-01,0.8300000000000001,true,
