org_unit_id,person_or_group_id,name,role_title,reports_to_id,decision_domain,decision_right,approval_authority,delegated_to_id,escalation_path,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
ORG-EXEC,PERSON-AKRISHNA,Anita Krishnamurthy,EVP Digital and Technology,PERSON-CEO,Clinical platform investment,Approve,Executive approval authority for assigned domain,,Executive Steering Committee,Workday,PERSON-AKRISHNA,People Operations,2026-05-01,0.92,true,
ORG-EXEC,PERSON-CIOOPS,Miguel Arroyo,SVP Infrastructure and Operations,PERSON-AKRISHNA,Infrastructure modernization,Approve,Executive approval authority for assigned domain,,Executive Steering Committee,Workday,PERSON-CIOOPS,People Operations,2026-05-01,0.92,true,
ORG-EXEC,PERSON-CMO,Dr. Priya Shah,Chief Medical Officer,PERSON-AKRISHNA,Clinical safety and physician workflow,Approve,Executive approval authority for assigned domain,,Executive Steering Committee,Workday,PERSON-CMO,People Operations,2026-05-01,0.92,true,
ORG-EXEC,PERSON-CFO,Lena Ortiz,Chief Financial Officer,PERSON-AKRISHNA,Capital allocation and value tracking,Approve,Executive approval authority for assigned domain,,Executive Steering Committee,Workday,PERSON-CFO,People Operations,2026-05-01,0.92,true,
ORG-EXEC,PERSON-CDO,Renee Walters,Chief Data and Analytics Officer,PERSON-AKRISHNA,Data and AI governance,Approve,Executive approval authority for assigned domain,,Executive Steering Committee,Workday,PERSON-CDO,People Operations,2026-05-01,0.92,true,
ORG-EXEC,PERSON-CTO,Marcus Lee,Chief Technology Officer,PERSON-AKRISHNA,Architecture and technical standards,Recommend,Decision forum charter authority,,Executive Steering Committee,Workday,PERSON-CTO,People Operations,2026-05-01,0.92,true,
ORG-GOVERNANCE,GROUP-CAB,Clinical Change Advisory Board,Governance Body,PERSON-AKRISHNA,Clinical change approvals,Approve,Decision forum charter authority,,Executive Steering Committee,Workday,GROUP-CAB,People Operations,2026-05-01,0.92,true,
ORG-GOVERNANCE,GROUP-AIGOV,AI Governance Council,Governance Body,PERSON-AKRISHNA,AI policy and model monitoring,Approve,Decision forum charter authority,,Executive Steering Committee,Workday,GROUP-AIGOV,People Operations,2026-05-01,0.92,true,
ORG-GOVERNANCE,GROUP-SOURCING,IT Sourcing Council,Governance Body,PERSON-AKRISHNA,Vendor selection and renewal strategy,Recommend,Decision forum charter authority,,Executive Steering Committee,Workday,GROUP-SOURCING,People Operations,2026-05-01,0.92,true,
ORG-01,GROUP-OPS-01,Clinical Informatics Stewardship Group,Operational Stewardship Group,PERSON-CIOOPS,Clinical Informatics data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-1,Clinical Informatics,2026-05-01,0.8,true,
ORG-02,GROUP-OPS-02,Integration Operations Stewardship Group,Operational Stewardship Group,PERSON-CIOOPS,Integration Operations data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-2,Integration Operations,2026-05-01,0.8,true,
