vendor_id,vendor_name,contract_id,contract_name,category,contract_owner,relationship_owner,start_date,end_date,annual_spend_usd,termination_notice_days,baa_required,security_review_status,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
VEN-EPIC,Epic Systems,CON-EPIC-2026,Epic Systems Enterprise Services Agreement,Clinical Systems,IT Sourcing,EHR Platform Engineering,2024-01-01,2027-01-28,18400000,90,false,Due,Coupa,CON-VEN-EPIC,IT Sourcing,2026-05-01,0.87,true,
VEN-SNOW,ServiceNow,CON-SNOW-2026,ServiceNow Enterprise Services Agreement,ITSM / CMDB,IT Sourcing,Clinical Informatics,2024-02-01,2027-02-28,6200000,120,true,Current,Coupa,CON-VEN-SNOW,IT Sourcing,2026-05-01,0.87,true,
VEN-ORACLE,Oracle Health / ERP,CON-ORACLE-2026,Oracle Health / ERP Enterprise Services Agreement,ERP and Finance,IT Sourcing,Integration Operations,2024-03-01,2027-03-28,9100000,180,true,Current,Coupa,CON-VEN-ORACLE,IT Sourcing,2026-05-01,0.87,true,
VEN-SALESFORCE,Salesforce,CON-SALESFORCE-2026,Salesforce Enterprise Services Agreement,CRM and Contact Center,IT Sourcing,Revenue Cycle Technology,2024-04-01,2027-04-28,7400000,365,true,Current,Coupa,CON-VEN-SALESFORCE,IT Sourcing,2026-05-01,0.87,true,
VEN-GENESYS,Genesys,CON-GENESYS-2026,Genesys Enterprise Services Agreement,Contact Center,IT Sourcing,Contact Center Technology,2024-05-01,2027-05-28,5100000,90,true,Current,Coupa,CON-VEN-GENESYS,IT Sourcing,2026-05-01,0.87,true,
VEN-MICROSOFT,Microsoft,CON-MICROSOFT-2026,Microsoft Enterprise Services Agreement,Productivity and Cloud,IT Sourcing,Cloud Platform Services,2024-06-01,2027-06-28,12800000,120,false,Current,Coupa,CON-VEN-MICROSOFT,IT Sourcing,2026-05-01,0.87,true,
VEN-AWS,Amazon Web Services,CON-AWS-2026,Amazon Web Services Enterprise Services Agreement,Cloud Hosting,IT Sourcing,Research Technology Office,2024-07-01,2027-07-28,8400000,180,true,Due,Coupa,CON-VEN-AWS,IT Sourcing,2026-05-01,0.87,true,
VEN-AZURE,Microsoft Azure,CON-AZURE-2026,Microsoft Azure Enterprise Services Agreement,Cloud Hosting,IT Sourcing,Payer Platform Operations,2024-08-01,2027-08-28,9600000,365,true,Current,Coupa,CON-VEN-AZURE,IT Sourcing,2026-05-01,0.87,true,
VEN-PALANTIR,Palantir,CON-PALANTIR-2026,Palantir Enterprise Services Agreement,Research Analytics,IT Sourcing,Cybersecurity Governance,2024-09-01,2027-09-28,4200000,90,true,Current,Coupa,CON-VEN-PALANTIR,IT Sourcing,2026-05-01,0.87,true,
VEN-DATABRICKS,Databricks,CON-DATABRICKS-2026,Databricks Enterprise Services Agreement,Data Platform,IT Sourcing,IT Sourcing,2024-10-01,2027-10-28,3900000,120,true,Current,Coupa,CON-VEN-DATABRICKS,IT Sourcing,2026-05-01,0.87,true,
VEN-SNOWFLAKE,Snowflake,CON-SNOWFLAKE-2026,Snowflake Enterprise Services Agreement,Data Warehouse,IT Sourcing,EHR Platform Engineering,2024-11-01,2027-11-28,3600000,180,false,Current,Coupa,CON-VEN-SNOWFLAKE,IT Sourcing,2026-05-01,0.87,true,
VEN-CERNER,Oracle Cerner,CON-CERNER-2026,Oracle Cerner Enterprise Services Agreement,Legacy Clinical,IT Sourcing,Clinical Informatics,2024-12-01,2027-12-28,2600000,365,true,Current,Coupa,CON-VEN-CERNER,IT Sourcing,2026-05-01,0.87,true,
VEN-ENSEMBLE,Ensemble Health,CON-ENSEMBLE-2026,Ensemble Health Enterprise Services Agreement,Revenue Cycle Services,IT Sourcing,Integration Operations,2024-01-01,2027-01-28,14200000,90,true,Due,Coupa,CON-VEN-ENSEMBLE,IT Sourcing,2026-05-01,0.87,true,
VEN-3M,3M Health Information Systems,CON-3M-2026,3M Health Information Systems Enterprise Services Agreement,Coding and CDI,IT Sourcing,Revenue Cycle Technology,2024-02-01,2027-02-28,2800000,120,true,Current,Coupa,CON-VEN-3M,IT Sourcing,2026-05-01,0.87,true,
VEN-NUANCE,Nuance,CON-NUANCE-2026,Nuance Enterprise Services Agreement,Ambient Documentation,IT Sourcing,Contact Center Technology,2024-03-01,2027-03-28,3100000,180,true,Current,Coupa,CON-VEN-NUANCE,IT Sourcing,2026-05-01,0.87,true,
VEN-IMPRIVATA,Imprivata,CON-IMPRIVATA-2026,Imprivata Enterprise Services Agreement,Identity and Access,IT Sourcing,Cloud Platform Services,2024-04-01,2027-04-28,1800000,365,false,Current,Coupa,CON-VEN-IMPRIVATA,IT Sourcing,2026-05-01,0.87,true,
VEN-OKTA,Okta,CON-OKTA-2026,Okta Enterprise Services Agreement,Identity and Access,IT Sourcing,Research Technology Office,2024-05-01,2027-05-28,2300000,90,true,Current,Coupa,CON-VEN-OKTA,IT Sourcing,2026-05-01,0.87,true,
VEN-CROWDSTRIKE,CrowdStrike,CON-CROWDSTRIKE-2026,CrowdStrike Enterprise Services Agreement,Endpoint Security,IT Sourcing,Payer Platform Operations,2024-06-01,2027-06-28,2900000,120,true,Current,Coupa,CON-VEN-CROWDSTRIKE,IT Sourcing,2026-05-01,0.87,true,
VEN-PALOALTO,Palo Alto Networks,CON-PALOALTO-2026,Palo Alto Networks Enterprise Services Agreement,Network Security,IT Sourcing,Cybersecurity Governance,2024-07-01,2027-07-28,3300000,180,true,Due,Coupa,CON-VEN-PALOALTO,IT Sourcing,2026-05-01,0.87,true,
VEN-ZSCALER,Zscaler,CON-ZSCALER-2026,Zscaler Enterprise Services Agreement,Secure Access,IT Sourcing,IT Sourcing,2024-08-01,2027-08-28,2200000,365,true,Current,Coupa,CON-VEN-ZSCALER,IT Sourcing,2026-05-01,0.87,true,
VEN-BROADCOM,Broadcom,CON-BROADCOM-2026,Broadcom Enterprise Services Agreement,Infrastructure Software,IT Sourcing,EHR Platform Engineering,2024-09-01,2027-09-28,1900000,90,false,Current,Coupa,CON-VEN-BROADCOM,IT Sourcing,2026-05-01,0.87,true,
VEN-CISCO,Cisco,CON-CISCO-2026,Cisco Enterprise Services Agreement,Network Infrastructure,IT Sourcing,Clinical Informatics,2024-10-01,2027-10-28,4700000,120,true,Current,Coupa,CON-VEN-CISCO,IT Sourcing,2026-05-01,0.87,true,
VEN-VEEAM,Veeam,CON-VEEAM-2026,Veeam Enterprise Services Agreement,Backup and Recovery,IT Sourcing,Integration Operations,2024-11-01,2027-11-28,1600000,180,true,Current,Coupa,CON-VEN-VEEAM,IT Sourcing,2026-05-01,0.87,true,
VEN-HASHICORP,HashiCorp,CON-HASHICORP-2026,HashiCorp Enterprise Services Agreement,Cloud Automation,IT Sourcing,Revenue Cycle Technology,2024-12-01,2027-12-28,950000,365,true,Current,Coupa,CON-VEN-HASHICORP,IT Sourcing,2026-05-01,0.87,true,
VEN-REDOX,Redox,CON-REDOX-2026,Redox Enterprise Services Agreement,Healthcare Integration,IT Sourcing,Contact Center Technology,2024-01-01,2027-01-28,1200000,90,true,Due,Coupa,CON-VEN-REDOX,IT Sourcing,2026-05-01,0.87,true,
VEN-QLIK,Qlik,CON-QLIK-2026,Qlik Enterprise Services Agreement,Analytics,IT Sourcing,Cloud Platform Services,2024-02-01,2027-02-28,1400000,120,false,Current,Coupa,CON-VEN-QLIK,IT Sourcing,2026-05-01,0.87,true,
VEN-QUALTRICS,Qualtrics,CON-QUALTRICS-2026,Qualtrics Enterprise Services Agreement,Experience Analytics,IT Sourcing,Research Technology Office,2024-03-01,2027-03-28,980000,180,true,Current,Coupa,CON-VEN-QUALTRICS,IT Sourcing,2026-05-01,0.87,true,
VEN-WORKDAY,Workday,CON-WORKDAY-2026,Workday Enterprise Services Agreement,HCM,IT Sourcing,Payer Platform Operations,2024-04-01,2027-04-28,5200000,365,true,Current,Coupa,CON-VEN-WORKDAY,IT Sourcing,2026-05-01,0.87,true,
