platform_id,metric_name,period,value,unit,capacity,capacity_pct,notes
APX-APP-004,store_transactions_daily,2026-05,11400000,txn/day,16000000,71,Peak holiday capacity risk at store edge
APX-APP-005,ecommerce_sessions_monthly,2026-05,210000000,sessions,300000000,70,Search latency drives conversion
APX-APP-003,orders_monthly,2026-05,18200000,orders,26000000,70,BOPIS and ship-from-store load
APX-APP-002,warehouse_tasks_monthly,2026-05,64000000,tasks,90000000,71,Labor planning and slotting constraints
APX-APP-010,lakehouse_jobs_monthly,2026-05,420000,jobs,700000,60,POS and clickstream pipelines
APX-APP-007,forecast_skus_weekly,2026-05,4200000,sku-location,5800000,72,Forecast accuracy varies by category
APX-APP-012,labor_schedules_weekly,2026-05,1840000,shifts,2200000,84,Store labor optimization target
APX-APP-001,item_location_records,2026-05,76000000,records,110000000,69,Inventory accuracy gap
APX-APP-006,personalization_events_daily,2026-05,89000000,events,150000000,59,Identity fragmentation
APX-APP-009,incidents_monthly,2026-05,18800,tickets,26000,72,Store device incidents
APX-APP-011,marketing_segments,2026-05,1240,segments,2000,62,Retail media activation
APX-APP-008,close_journal_lines_monthly,2026-05,2100000,lines,3200000,66,Finance automation candidate
