application_id,application_name,domain,primary_business_owner,technical_owner_team,platform_type,hosting_model,environment,criticality,annual_run_cost_usd,users_or_entities_supported,integration_count,data_classification,modernization_state,evidence_id
APX-APP-001,Oracle Retail Merchandising,merchandising,COO,APX-IT-003,custom,saas,production,critical,18200000,1800,8,pci_pii,invest,APX-EVID-001
APX-APP-002,Manhattan Active WMS,warehouse,Chief Digital Officer,APX-IT-004,package,saas,production,critical,16525000,11000,9,internal,optimize,APX-EVID-002
APX-APP-003,IBM Sterling OMS,order_management,Chief Merchandising Officer,APX-IT-002,package,hybrid,production,critical,22050000,20200,10,internal,contain,APX-EVID-003
APX-APP-004,Toshiba POS,pos,Chief Supply Chain Officer,APX-IT-001,package,store_edge,production,critical,22975000,29400,11,confidential,replace_candidate,APX-EVID-004
APX-APP-005,Salesforce Commerce Cloud,ecommerce,Chief Marketing Officer,APX-IT-002,package,saas,production,critical,24600000,38600,12,pci_pii,invest,APX-EVID-005
APX-APP-006,Adobe Experience Cloud,personalization,CFO,APX-IT-005,custom,saas,production,high,13425000,47800,13,internal,optimize,APX-EVID-006
APX-APP-007,Blue Yonder Demand Planning,forecasting,Chief Risk Officer,APX-IT-003,package,saas,production,critical,14950000,57000,14,confidential,contain,APX-EVID-007
APX-APP-008,SAP S/4 Finance,erp_finance,CIO,APX-IT-006,package,private_cloud,production,critical,18475000,66200,15,internal,replace_candidate,APX-EVID-008
APX-APP-009,ServiceNow ITSM,itsm,CHRO,APX-IT-010,package,saas,production,high,9300000,75400,16,pci_pii,invest,APX-EVID-009
APX-APP-010,Databricks Retail Lakehouse,data_platform,Chief Procurement Officer,APX-IT-007,package,aws,production,critical,16325000,84600,17,confidential,optimize,APX-EVID-010
APX-APP-011,Snowflake Marketing Data Cloud,analytics,Chief Real Estate Officer,APX-IT-007,custom,cloud,production,high,12150000,93800,18,internal,contain,APX-EVID-011
APX-APP-012,Kronos Workforce Central,workforce,SVP Private Brands,APX-IT-006,package,saas,production,critical,13175000,103000,19,internal,replace_candidate,APX-EVID-012
APX-APP-013,Oracle Retail Merchandising regional/service component 2,merchandising,COO,APX-IT-003,package,saas,production,critical,19700000,112200,20,pci_pii,invest,APX-EVID-013
APX-APP-014,Manhattan Active WMS regional/service component 2,warehouse,Chief Digital Officer,APX-IT-004,package,saas,production,critical,18025000,121400,21,internal,optimize,APX-EVID-014
APX-APP-015,IBM Sterling OMS regional/service component 2,order_management,Chief Merchandising Officer,APX-IT-002,package,hybrid,production,critical,23550000,130600,22,internal,contain,APX-EVID-001
APX-APP-016,Toshiba POS regional/service component 2,pos,Chief Supply Chain Officer,APX-IT-001,custom,store_edge,production,critical,24475000,139800,23,confidential,replace_candidate,APX-EVID-002
APX-APP-017,Salesforce Commerce Cloud regional/service component 2,ecommerce,Chief Marketing Officer,APX-IT-002,package,saas,production,critical,26100000,149000,24,pci_pii,invest,APX-EVID-003
APX-APP-018,Adobe Experience Cloud regional/service component 2,personalization,CFO,APX-IT-005,package,saas,production,high,14925000,158200,25,internal,optimize,APX-EVID-004
APX-APP-019,Blue Yonder Demand Planning regional/service component 2,forecasting,Chief Risk Officer,APX-IT-003,package,saas,production,critical,16450000,167400,26,confidential,contain,APX-EVID-005
APX-APP-020,SAP S/4 Finance regional/service component 2,erp_finance,CIO,APX-IT-006,package,private_cloud,production,critical,19975000,176600,27,internal,replace_candidate,APX-EVID-006
APX-APP-021,ServiceNow ITSM regional/service component 2,itsm,CHRO,APX-IT-010,custom,saas,production,high,10800000,185800,28,pci_pii,invest,APX-EVID-007
APX-APP-022,Databricks Retail Lakehouse regional/service component 2,data_platform,Chief Procurement Officer,APX-IT-007,package,aws,production,critical,17825000,195000,29,confidential,optimize,APX-EVID-008
APX-APP-023,Snowflake Marketing Data Cloud regional/service component 2,analytics,Chief Real Estate Officer,APX-IT-007,package,cloud,production,high,13650000,204200,30,internal,contain,APX-EVID-009
APX-APP-024,Kronos Workforce Central regional/service component 2,workforce,SVP Private Brands,APX-IT-006,package,saas,production,critical,14675000,213400,31,internal,replace_candidate,APX-EVID-010
APX-APP-025,Oracle Retail Merchandising regional/service component 3,merchandising,COO,APX-IT-003,package,saas,production,critical,21200000,222600,8,pci_pii,invest,APX-EVID-011
APX-APP-026,Manhattan Active WMS regional/service component 3,warehouse,Chief Digital Officer,APX-IT-004,custom,saas,production,critical,19525000,231800,9,internal,optimize,APX-EVID-012
APX-APP-027,IBM Sterling OMS regional/service component 3,order_management,Chief Merchandising Officer,APX-IT-002,package,hybrid,production,critical,25050000,241000,10,internal,contain,APX-EVID-013
APX-APP-028,Toshiba POS regional/service component 3,pos,Chief Supply Chain Officer,APX-IT-001,package,store_edge,production,critical,25975000,250200,11,confidential,replace_candidate,APX-EVID-014
APX-APP-029,Salesforce Commerce Cloud regional/service component 3,ecommerce,Chief Marketing Officer,APX-IT-002,package,saas,production,critical,27600000,259400,12,pci_pii,invest,APX-EVID-001
APX-APP-030,Adobe Experience Cloud regional/service component 3,personalization,CFO,APX-IT-005,package,saas,production,high,16425000,268600,13,internal,optimize,APX-EVID-002
APX-APP-031,Blue Yonder Demand Planning regional/service component 3,forecasting,Chief Risk Officer,APX-IT-003,custom,saas,production,critical,17950000,277800,14,confidential,contain,APX-EVID-003
APX-APP-032,SAP S/4 Finance regional/service component 3,erp_finance,CIO,APX-IT-006,package,private_cloud,production,critical,21475000,287000,15,internal,replace_candidate,APX-EVID-004
APX-APP-033,ServiceNow ITSM regional/service component 3,itsm,CHRO,APX-IT-010,package,saas,production,high,12300000,296200,16,pci_pii,invest,APX-EVID-005
APX-APP-034,Databricks Retail Lakehouse regional/service component 3,data_platform,Chief Procurement Officer,APX-IT-007,package,aws,production,critical,19325000,305400,17,confidential,optimize,APX-EVID-006
