app_id,name,criticality,owner_role,system_of_record,ams_vendor,time_classification,business_function,deployment_model,annual_run_cost_usd
APP-0001,Revenue Accounting Core 1,tier1,Director Revenue Accounting,ServiceNow,TCS,transform,Revenue Accounting,aws,636759
APP-0002,PSS Hub 2,tier2,Director PSS,ServiceNow,Internal,transform,PSS,saas,8746054
APP-0003,MRO Portal 3,tier1,Director MRO,ServiceNow,Capgemini,transform,MRO,aws,5548264
APP-0004,Commercial Hub 4,tier1,Director Commercial,Amadeus,Internal,transform,Commercial,gcp,9320777
APP-0005,Customer Portal 5,tier3,Director Customer,SAP S/4HANA,Internal,transform,Customer,on_prem_distributed,6195417
APP-0006,MRO Service 6,tier1,Director MRO,Oracle Fusion,TCS,grow,MRO,private_cloud,8583065
APP-0007,HR Ledger 7,tier2,Director HR,ServiceNow,IBM Global Services,transform,HR,on_prem_mainframe,5473972
APP-0008,Catering Hub 8,tier2,Director Catering,Custom Java,Wipro,grow,Catering,azure,364433
APP-0009,Ground Ops Ledger 9,tier2,Director Ground Ops,Snowflake,Internal,transform,Ground Ops,azure,1933699
APP-0010,Maintenance Gateway 10,tier1,Director Maintenance,SAP S/4HANA,Accenture,grow,Maintenance,saas,7860046
APP-0011,Customer Hub 11,tier1,Director Customer,Workday,Infosys,transform,Customer,aws,5778304
APP-0012,Finance Portal 12,tier1,Director Finance,Workday,TCS,grow,Finance,saas,3646042
APP-0013,Commercial Hub 13,tier1,Director Commercial,Workday,Wipro,transform,Commercial,on_prem_mainframe,4704217
APP-0014,PSS Engine 14,tier1,Director PSS,ServiceNow,Infosys,grow,PSS,private_cloud,6732020
APP-0015,Loyalty Service 15,tier1,Director Loyalty,Amadeus,TCS,grow,Loyalty,aws,1244565
APP-0016,MRO Ledger 16,tier1,Director MRO,Databricks,IBM Global Services,run,MRO,gcp,2303144
APP-0017,Cargo Service 17,tier3,Director Cargo,Oracle Fusion,Accenture,run,Cargo,aws,1684445
APP-0018,Ground Ops Manager 18,tier2,Director Ground Ops,Mainframe COBOL,TCS,transform,Ground Ops,private_cloud,5864179
APP-0019,Catering Ledger 19,tier3,Director Catering,Oracle Fusion,TCS,transform,Catering,saas,7357366
APP-0020,Commercial Gateway 20,tier2,Director Commercial,Databricks,Infosys,grow,Commercial,gcp,6149569
APP-0021,HR Hub 21,tier3,Director HR,Workday,Internal,grow,HR,on_prem_mainframe,560183
APP-0022,Revenue Accounting Engine 22,tier2,Director Revenue Accounting,Databricks,Internal,run,Revenue Accounting,on_prem_distributed,7284629
APP-0023,Crew Ledger 23,tier3,Director Crew,Sabre,Accenture,run,Crew,saas,9496191
APP-0024,Maintenance Service 24,tier1,Director Maintenance,SAP S/4HANA,Capgemini,grow,Maintenance,saas,2875118
APP-0025,Maintenance Ledger 25,tier1,Director Maintenance,Snowflake,Capgemini,grow,Maintenance,gcp,3548802
APP-0026,Revenue Accounting Core 26,tier1,Director Revenue Accounting,Databricks,Wipro,run,Revenue Accounting,aws,4484640
APP-0027,Crew Gateway 27,tier1,Director Crew,Sabre,Infosys,transform,Crew,on_prem_distributed,5583318
APP-0028,PSS Ledger 28,tier1,Director PSS,Databricks,Wipro,transform,PSS,private_cloud,695909
APP-0029,MRO Service 29,tier2,Director MRO,Mainframe COBOL,Internal,transform,MRO,azure,4169833
APP-0030,Safety Portal 30,tier3,Director Safety,SAP S/4HANA,IBM Global Services,transform,Safety,gcp,5515724
APP-0031,Procurement Engine 31,tier2,Director Procurement,Databricks,TCS,transform,Procurement,on_prem_mainframe,3834206
APP-0032,Customer Engine 32,tier1,Director Customer,Databricks,Accenture,transform,Customer,private_cloud,1715867
APP-0033,Safety Ledger 33,tier1,Director Safety,Workday,TCS,grow,Safety,saas,3854935
APP-0034,Commercial Service 34,tier2,Director Commercial,SAP S/4HANA,TCS,grow,Commercial,on_prem_mainframe,6714951
APP-0035,Catering Service 35,tier2,Director Catering,SAP S/4HANA,Infosys,transform,Catering,private_cloud,3937578
APP-0036,Catering Service 36,tier3,Director Catering,Oracle Fusion,Infosys,transform,Catering,private_cloud,8816939
APP-0037,PSS Manager 37,tier1,Director PSS,Custom Java,Capgemini,transform,PSS,aws,9401551
APP-0038,Ground Ops Gateway 38,tier3,Director Ground Ops,Workday,IBM Global Services,grow,Ground Ops,saas,4884094
APP-0039,Maintenance Gateway 39,tier2,Director Maintenance,Snowflake,TCS,grow,Maintenance,azure,2464101
APP-0040,Ground Ops Hub 40,tier2,Director Ground Ops,Mainframe COBOL,Wipro,run,Ground Ops,gcp,1370336
APP-0041,Catering Core 41,tier2,Director Catering,Amadeus,TCS,transform,Catering,gcp,4234064
APP-0042,HR Ledger 42,tier1,Director HR,Snowflake,Infosys,transform,HR,on_prem_distributed,490023
APP-0043,HR Engine 43,tier2,Director HR,Snowflake,Accenture,run,HR,gcp,977631
APP-0044,Customer Ledger 44,tier2,Director Customer,Amadeus,TCS,transform,Customer,on_prem_mainframe,9457480
APP-0045,PSS Gateway 45,tier2,Director PSS,Workday,IBM Global Services,grow,PSS,on_prem_mainframe,5400405
APP-0046,Safety Portal 46,tier2,Director Safety,Custom Java,Accenture,transform,Safety,gcp,1297875
APP-0047,HR Portal 47,tier1,Director HR,Amadeus,Capgemini,run,HR,saas,6441676
APP-0048,PSS Hub 48,tier3,Director PSS,Snowflake,Wipro,transform,PSS,private_cloud,9029625
APP-0049,Flight Ops Core 49,tier3,Director Flight Ops,Salesforce,Capgemini,grow,Flight Ops,azure,2599372
APP-0050,Finance Engine 50,tier1,Director Finance,Sabre,TCS,grow,Finance,private_cloud,3379184
APP-0051,PSS Service 51,tier1,Director PSS,Snowflake,Capgemini,grow,PSS,on_prem_mainframe,8431079
APP-0052,Customer Ledger 52,tier2,Director Customer,Mainframe COBOL,TCS,transform,Customer,on_prem_mainframe,9109387
APP-0053,MRO Core 53,tier1,Director MRO,SAP S/4HANA,Infosys,transform,MRO,on_prem_distributed,6712533
APP-0054,HR Engine 54,tier2,Director HR,Salesforce,Accenture,transform,HR,on_prem_distributed,8922798
APP-0055,Cargo Manager 55,tier2,Director Cargo,Sabre,TCS,grow,Cargo,aws,1885393
APP-0056,PSS Portal 56,tier1,Director PSS,Oracle Fusion,TCS,transform,PSS,on_prem_distributed,1724772
APP-0057,Commercial Service 57,tier3,Director Commercial,SAP S/4HANA,TCS,grow,Commercial,azure,1651508
APP-0058,Procurement Portal 58,tier1,Director Procurement,ServiceNow,Capgemini,run,Procurement,aws,1155154
APP-0059,Customer Engine 59,tier1,Director Customer,Amadeus,TCS,run,Customer,on_prem_distributed,2431901
APP-0060,Revenue Accounting Ledger 60,tier3,Director Revenue Accounting,SAP S/4HANA,Capgemini,transform,Revenue Accounting,private_cloud,6232697
APP-0061,Procurement Hub 61,tier1,Director Procurement,Snowflake,Wipro,transform,Procurement,private_cloud,8300501
APP-0062,MRO Manager 62,tier2,Director MRO,SAP S/4HANA,Infosys,run,MRO,private_cloud,5337164
APP-0063,Network Planning Engine 63,tier1,Director Network Planning,SAP S/4HANA,Infosys,grow,Network Planning,aws,2596941
APP-0064,Procurement Portal 64,tier1,Director Procurement,Snowflake,Infosys,grow,Procurement,on_prem_mainframe,5407684
APP-0065,Customer Service 65,tier3,Director Customer,Amadeus,Capgemini,grow,Customer,azure,5207236
APP-0066,Commercial Engine 66,tier2,Director Commercial,Sabre,Capgemini,run,Commercial,private_cloud,1078628
APP-0067,Revenue Accounting Core 67,tier2,Director Revenue Accounting,Mainframe COBOL,TCS,transform,Revenue Accounting,on_prem_mainframe,591220
APP-0068,Network Planning Core 68,tier1,Director Network Planning,Databricks,Capgemini,grow,Network Planning,saas,4565512
APP-0069,Customer Ledger 69,tier3,Director Customer,Sabre,Infosys,run,Customer,on_prem_mainframe,5610982
APP-0070,HR Gateway 70,tier3,Director HR,Amadeus,Internal,transform,HR,gcp,174647
APP-0071,Safety Engine 71,tier1,Director Safety,Oracle Fusion,IBM Global Services,run,Safety,on_prem_mainframe,707509
APP-0072,Flight Ops Engine 72,tier1,Director Flight Ops,Oracle Fusion,TCS,transform,Flight Ops,private_cloud,3997288
APP-0073,Network Planning Ledger 73,tier2,Director Network Planning,Workday,Internal,run,Network Planning,on_prem_mainframe,3931887
APP-0074,Revenue Accounting Hub 74,tier2,Director Revenue Accounting,Custom Java,TCS,run,Revenue Accounting,on_prem_distributed,4633688
APP-0075,Revenue Accounting Gateway 75,tier3,Director Revenue Accounting,Mainframe COBOL,Infosys,grow,Revenue Accounting,azure,1047166
APP-0076,MRO Service 76,tier1,Director MRO,Workday,Capgemini,transform,MRO,gcp,1061054
APP-0077,Maintenance Ledger 77,tier3,Director Maintenance,Sabre,Internal,grow,Maintenance,on_prem_distributed,268845
APP-0078,Crew Manager 78,tier3,Director Crew,Snowflake,Accenture,run,Crew,on_prem_distributed,779066
APP-0079,Crew Portal 79,tier2,Director Crew,Workday,Capgemini,grow,Crew,azure,321071
APP-0080,PSS Portal 80,tier1,Director PSS,Custom Java,Accenture,run,PSS,saas,3231307
APP-0081,Revenue Accounting Core 81,tier1,Director Revenue Accounting,Amadeus,IBM Global Services,grow,Revenue Accounting,on_prem_mainframe,1751306
APP-0082,PSS Core 82,tier2,Director PSS,Databricks,IBM Global Services,transform,PSS,azure,8019722
APP-0083,Revenue Accounting Core 83,tier1,Director Revenue Accounting,Custom Java,Infosys,grow,Revenue Accounting,saas,7473336
APP-0084,Procurement Portal 84,tier2,Director Procurement,Sabre,Infosys,transform,Procurement,azure,921005
APP-0085,Customer Service 85,tier3,Director Customer,Databricks,Internal,run,Customer,saas,784351
APP-0086,Catering Engine 86,tier1,Director Catering,ServiceNow,Capgemini,transform,Catering,gcp,8216387
APP-0087,DCS Core 87,tier3,Director DCS,Mainframe COBOL,Accenture,transform,DCS,azure,8023965
APP-0088,DCS Core 88,tier1,Director DCS,Workday,IBM Global Services,transform,DCS,saas,4674601
APP-0089,Revenue Accounting Ledger 89,tier1,Director Revenue Accounting,SAP S/4HANA,IBM Global Services,transform,Revenue Accounting,gcp,8516353
APP-0090,Customer Ledger 90,tier2,Director Customer,Custom Java,IBM Global Services,run,Customer,on_prem_mainframe,3509034
APP-0091,Revenue Accounting Ledger 91,tier1,Director Revenue Accounting,Snowflake,Internal,run,Revenue Accounting,aws,6728241
APP-0092,Commercial Hub 92,tier3,Director Commercial,Workday,Infosys,transform,Commercial,gcp,3269046
APP-0093,Procurement Gateway 93,tier1,Director Procurement,Sabre,Capgemini,run,Procurement,on_prem_distributed,1941484
APP-0094,DCS Manager 94,tier1,Director DCS,Sabre,Internal,grow,DCS,on_prem_mainframe,4707549
APP-0095,Customer Core 95,tier3,Director Customer,Oracle Fusion,Capgemini,transform,Customer,private_cloud,3924031
APP-0096,Ground Ops Engine 96,tier2,Director Ground Ops,Amadeus,Infosys,grow,Ground Ops,private_cloud,2115224
APP-0097,Cargo Ledger 97,tier2,Director Cargo,SAP S/4HANA,IBM Global Services,run,Cargo,private_cloud,2156954
APP-0098,Finance Core 98,tier2,Director Finance,Custom Java,Capgemini,transform,Finance,on_prem_distributed,8427379
APP-0099,Customer Core 99,tier2,Director Customer,Workday,Infosys,transform,Customer,saas,2112965
APP-0100,Cargo Manager 100,tier1,Director Cargo,Amadeus,Infosys,grow,Cargo,azure,7048753
APP-0101,MRO Manager 101,tier1,Director MRO,Oracle Fusion,TCS,run,MRO,private_cloud,2579557
APP-0102,MRO Core 102,tier3,Director MRO,SAP S/4HANA,Capgemini,grow,MRO,azure,9486714
APP-0103,Network Planning Hub 103,tier2,Director Network Planning,Sabre,Internal,transform,Network Planning,azure,4820118
APP-0104,Cargo Ledger 104,tier1,Director Cargo,Mainframe COBOL,TCS,run,Cargo,gcp,2048396
APP-0105,PSS Manager 105,tier3,Director PSS,Workday,IBM Global Services,grow,PSS,on_prem_distributed,3715967
APP-0106,DCS Service 106,tier3,Director DCS,Mainframe COBOL,Capgemini,run,DCS,private_cloud,7973188
APP-0107,Commercial Ledger 107,tier2,Director Commercial,Workday,Internal,grow,Commercial,private_cloud,9173237
APP-0108,Customer Manager 108,tier1,Director Customer,Databricks,TCS,grow,Customer,on_prem_distributed,5179773
APP-0109,Finance Engine 109,tier1,Director Finance,Workday,Wipro,grow,Finance,saas,5344132
APP-0110,Commercial Core 110,tier1,Director Commercial,Mainframe COBOL,IBM Global Services,grow,Commercial,gcp,9030521
APP-0111,PSS Manager 111,tier2,Director PSS,Amadeus,IBM Global Services,grow,PSS,private_cloud,7125744
APP-0112,Commercial Portal 112,tier1,Director Commercial,Snowflake,Wipro,transform,Commercial,private_cloud,5091767
APP-0113,Ground Ops Ledger 113,tier3,Director Ground Ops,Amadeus,Infosys,grow,Ground Ops,private_cloud,472570
APP-0114,PSS Manager 114,tier1,Director PSS,Custom Java,TCS,run,PSS,azure,2545677
APP-0115,Ground Ops Manager 115,tier2,Director Ground Ops,Salesforce,TCS,grow,Ground Ops,on_prem_mainframe,3070956
APP-0116,Ground Ops Ledger 116,tier3,Director Ground Ops,Amadeus,Accenture,transform,Ground Ops,aws,5712071
APP-0117,MRO Portal 117,tier2,Director MRO,Workday,IBM Global Services,run,MRO,gcp,4871096
APP-0118,Customer Ledger 118,tier2,Director Customer,Sabre,Capgemini,run,Customer,on_prem_distributed,942331
APP-0119,Catering Hub 119,tier2,Director Catering,Custom Java,Internal,run,Catering,aws,1314720
APP-0120,Customer Service 120,tier1,Director Customer,Mainframe COBOL,Capgemini,run,Customer,on_prem_mainframe,5015636
APP-0121,Revenue Accounting Hub 121,tier1,Director Revenue Accounting,ServiceNow,Internal,transform,Revenue Accounting,gcp,2691125
APP-0122,DCS Hub 122,tier1,Director DCS,SAP S/4HANA,Internal,grow,DCS,gcp,331985
APP-0123,Network Planning Manager 123,tier1,Director Network Planning,Amadeus,Infosys,grow,Network Planning,saas,8203454
