sla_id,service_name,metric,target,measurement_window,actual,breach_count,credit_at_risk_usd,tower,owner_role
SLA-0001,Mainframe service,Availability,99.9%,monthly,96.33%,1,311852,Mainframe,VP IT Service Management
SLA-0002,Mainframe service,P1 resolution,4h,per-incident,3.6h,0,207682,Mainframe,VP IT Service Management
SLA-0003,Mainframe service,P2 resolution,8h,per-incident,9.9h,3,939820,Mainframe,VP IT Service Management
SLA-0004,Mainframe service,Batch completion,06:00 local,daily,96%,3,1058671,Mainframe,VP IT Service Management
SLA-0005,Mainframe service,Change success rate,98%,monthly,89%,5,1080166,Mainframe,VP IT Service Management
SLA-0006,Mainframe service,First-contact resolution,75%,monthly,74.8h,6,32195,Mainframe,VP IT Service Management
SLA-0007,Compute service,Availability,99.9%,monthly,92.97%,6,158158,Compute,VP IT Service Management
SLA-0008,Compute service,P1 resolution,4h,per-incident,3.2h,6,654911,Compute,VP IT Service Management
SLA-0009,Compute service,P2 resolution,8h,per-incident,10.4h,3,388901,Compute,VP IT Service Management
SLA-0010,Compute service,Batch completion,06:00 local,daily,92%,6,1122975,Compute,VP IT Service Management
SLA-0011,Compute service,Change success rate,98%,monthly,90%,0,831580,Compute,VP IT Service Management
SLA-0012,Compute service,First-contact resolution,75%,monthly,68.7h,0,301550,Compute,VP IT Service Management
SLA-0013,Storage service,Availability,99.9%,monthly,95.72%,2,574585,Storage,VP IT Service Management
SLA-0014,Storage service,P1 resolution,4h,per-incident,3.4h,6,984312,Storage,VP IT Service Management
SLA-0015,Storage service,P2 resolution,8h,per-incident,9.0h,2,1190933,Storage,VP IT Service Management
SLA-0016,Storage service,Batch completion,06:00 local,daily,90%,1,677271,Storage,VP IT Service Management
SLA-0017,Storage service,Change success rate,98%,monthly,91%,2,18899,Storage,VP IT Service Management
SLA-0018,Storage service,First-contact resolution,75%,monthly,93.5h,0,548916,Storage,VP IT Service Management
SLA-0019,Network service,Availability,99.9%,monthly,90.47%,0,554370,Network,VP IT Service Management
SLA-0020,Network service,P1 resolution,4h,per-incident,5.3h,6,806221,Network,VP IT Service Management
SLA-0021,Network service,P2 resolution,8h,per-incident,11.1h,0,763308,Network,VP IT Service Management
SLA-0022,Network service,Batch completion,06:00 local,daily,97%,2,1062353,Network,VP IT Service Management
SLA-0023,Network service,Change success rate,98%,monthly,89%,1,143318,Network,VP IT Service Management
SLA-0024,Network service,First-contact resolution,75%,monthly,73.1h,3,13741,Network,VP IT Service Management
SLA-0025,Application Mgmt service,Availability,99.9%,monthly,91.90%,0,516049,Application Mgmt,VP IT Service Management
SLA-0026,Application Mgmt service,P1 resolution,4h,per-incident,4.1h,0,114396,Application Mgmt,VP IT Service Management
SLA-0027,Application Mgmt service,P2 resolution,8h,per-incident,9.0h,0,396192,Application Mgmt,VP IT Service Management
SLA-0028,Application Mgmt service,Batch completion,06:00 local,daily,97%,0,525928,Application Mgmt,VP IT Service Management
SLA-0029,Application Mgmt service,Change success rate,98%,monthly,85%,6,678078,Application Mgmt,VP IT Service Management
SLA-0030,Application Mgmt service,First-contact resolution,75%,monthly,73.2h,4,1115012,Application Mgmt,VP IT Service Management
SLA-0031,Cloud service,Availability,99.9%,monthly,94.64%,1,80408,Cloud,VP IT Service Management
SLA-0032,Cloud service,P1 resolution,4h,per-incident,3.9h,2,281206,Cloud,VP IT Service Management
SLA-0033,Cloud service,P2 resolution,8h,per-incident,10.1h,0,78857,Cloud,VP IT Service Management
SLA-0034,Cloud service,Batch completion,06:00 local,daily,89%,5,837164,Cloud,VP IT Service Management
SLA-0035,Cloud service,Change success rate,98%,monthly,95%,4,987013,Cloud,VP IT Service Management
SLA-0036,Cloud service,First-contact resolution,75%,monthly,83.7h,3,623006,Cloud,VP IT Service Management
SLA-0037,Security service,Availability,99.9%,monthly,95.44%,0,663465,Security,VP IT Service Management
SLA-0038,Security service,P1 resolution,4h,per-incident,5.3h,6,163518,Security,VP IT Service Management
SLA-0039,Security service,P2 resolution,8h,per-incident,11.0h,0,516517,Security,VP IT Service Management
SLA-0040,Security service,Batch completion,06:00 local,daily,98%,3,200874,Security,VP IT Service Management
SLA-0041,Security service,Change success rate,98%,monthly,96%,4,495363,Security,VP IT Service Management
SLA-0042,Security service,First-contact resolution,75%,monthly,93.8h,5,20,Security,VP IT Service Management
SLA-0043,Data & Analytics service,Availability,99.9%,monthly,94.96%,6,1059450,Data & Analytics,VP IT Service Management
SLA-0044,Data & Analytics service,P1 resolution,4h,per-incident,4.6h,5,1184256,Data & Analytics,VP IT Service Management
SLA-0045,Data & Analytics service,P2 resolution,8h,per-incident,8.6h,6,114242,Data & Analytics,VP IT Service Management
SLA-0046,Data & Analytics service,Batch completion,06:00 local,daily,91%,2,139800,Data & Analytics,VP IT Service Management
SLA-0047,Data & Analytics service,Change success rate,98%,monthly,94%,4,198766,Data & Analytics,VP IT Service Management
SLA-0048,Data & Analytics service,First-contact resolution,75%,monthly,69.8h,4,146107,Data & Analytics,VP IT Service Management
SLA-0049,End User Compute service,Availability,99.9%,monthly,90.34%,1,36552,End User Compute,VP IT Service Management
SLA-0050,End User Compute service,P1 resolution,4h,per-incident,4.2h,0,369546,End User Compute,VP IT Service Management
SLA-0051,End User Compute service,P2 resolution,8h,per-incident,10.4h,6,67006,End User Compute,VP IT Service Management
SLA-0052,End User Compute service,Batch completion,06:00 local,daily,96%,0,989953,End User Compute,VP IT Service Management
SLA-0053,End User Compute service,Change success rate,98%,monthly,85%,0,289773,End User Compute,VP IT Service Management
SLA-0054,End User Compute service,First-contact resolution,75%,monthly,61.2h,5,879343,End User Compute,VP IT Service Management
SLA-0055,Service Desk service,Availability,99.9%,monthly,93.35%,5,767072,Service Desk,VP IT Service Management
SLA-0056,Service Desk service,P1 resolution,4h,per-incident,4.4h,6,31371,Service Desk,VP IT Service Management
SLA-0057,Service Desk service,P2 resolution,8h,per-incident,8.1h,2,945848,Service Desk,VP IT Service Management
SLA-0058,Service Desk service,Batch completion,06:00 local,daily,99%,2,834192,Service Desk,VP IT Service Management
SLA-0059,Service Desk service,Change success rate,98%,monthly,91%,4,666334,Service Desk,VP IT Service Management
SLA-0060,Service Desk service,First-contact resolution,75%,monthly,94.0h,5,211513,Service Desk,VP IT Service Management
SLA-0061,Telecom service,Availability,99.9%,monthly,91.63%,6,770686,Telecom,VP IT Service Management
SLA-0062,Telecom service,P1 resolution,4h,per-incident,4.1h,2,744996,Telecom,VP IT Service Management
SLA-0063,Telecom service,P2 resolution,8h,per-incident,11.1h,1,360647,Telecom,VP IT Service Management
SLA-0064,Telecom service,Batch completion,06:00 local,daily,89%,2,1183725,Telecom,VP IT Service Management
SLA-0065,Telecom service,Change success rate,98%,monthly,85%,0,821064,Telecom,VP IT Service Management
SLA-0066,Telecom service,First-contact resolution,75%,monthly,74.8h,2,620596,Telecom,VP IT Service Management
SLA-0067,Integration service,Availability,99.9%,monthly,99.43%,1,1029731,Integration,VP IT Service Management
SLA-0068,Integration service,P1 resolution,4h,per-incident,4.5h,2,681710,Integration,VP IT Service Management
