line_id,period,metric,value,currency_or_unit,segment,margin_bridge_driver,source_report
FIN-0001,FY2025 actual,it_spend,8261512,USD,Mainframe / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0002,FY2025 actual,it_spend,13088279,USD,Mainframe / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0003,FY2025 actual,it_spend,20091433,USD,Mainframe / Hardware,run,it_budget_book_fy26.xlsx
FIN-0004,FY2025 actual,it_spend,32621673,USD,Mainframe / Software & License,run,it_budget_book_fy26.xlsx
FIN-0005,FY2025 actual,it_spend,58815414,USD,Mainframe / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0006,FY2025 actual,it_spend,9675510,USD,Mainframe / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0007,FY2025 actual,it_spend,9712616,USD,Mainframe / Telecom,run,it_budget_book_fy26.xlsx
FIN-0008,FY2025 actual,it_spend,8585286,USD,Compute / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0009,FY2025 actual,it_spend,40813214,USD,Compute / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0010,FY2025 actual,it_spend,23893771,USD,Compute / Hardware,run,it_budget_book_fy26.xlsx
FIN-0011,FY2025 actual,it_spend,9037879,USD,Compute / Software & License,run,it_budget_book_fy26.xlsx
FIN-0012,FY2025 actual,it_spend,7039937,USD,Compute / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0013,FY2025 actual,it_spend,1913916,USD,Compute / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0014,FY2025 actual,it_spend,22083195,USD,Compute / Telecom,run,it_budget_book_fy26.xlsx
FIN-0015,FY2025 actual,it_spend,31498163,USD,Storage / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0016,FY2025 actual,it_spend,38048502,USD,Storage / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0017,FY2025 actual,it_spend,10936052,USD,Storage / Hardware,run,it_budget_book_fy26.xlsx
FIN-0018,FY2025 actual,it_spend,14944166,USD,Storage / Software & License,run,it_budget_book_fy26.xlsx
FIN-0019,FY2025 actual,it_spend,41394552,USD,Storage / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0020,FY2025 actual,it_spend,24266254,USD,Storage / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0021,FY2025 actual,it_spend,2399966,USD,Storage / Telecom,run,it_budget_book_fy26.xlsx
FIN-0022,FY2025 actual,it_spend,16798348,USD,Network / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0023,FY2025 actual,it_spend,34209024,USD,Network / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0024,FY2025 actual,it_spend,15792212,USD,Network / Hardware,run,it_budget_book_fy26.xlsx
FIN-0025,FY2025 actual,it_spend,16149336,USD,Network / Software & License,run,it_budget_book_fy26.xlsx
FIN-0026,FY2025 actual,it_spend,2425449,USD,Network / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0027,FY2025 actual,it_spend,5901420,USD,Network / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0028,FY2025 actual,it_spend,11916389,USD,Network / Telecom,run,it_budget_book_fy26.xlsx
FIN-0029,FY2025 actual,it_spend,6821339,USD,Application Mgmt / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0030,FY2025 actual,it_spend,65534470,USD,Application Mgmt / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0031,FY2025 actual,it_spend,7260526,USD,Application Mgmt / Hardware,run,it_budget_book_fy26.xlsx
FIN-0032,FY2025 actual,it_spend,6040670,USD,Application Mgmt / Software & License,run,it_budget_book_fy26.xlsx
FIN-0033,FY2025 actual,it_spend,83701552,USD,Application Mgmt / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0034,FY2025 actual,it_spend,35101585,USD,Application Mgmt / Depreciation,run,it_budget_book_fy26.xlsx
