asset_name,asset_class,make_model,location,virtualization,cloud_account,capacity,owner,lifecycle
IBM-0001,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,medium,VP Infrastructure,current
IBM-0002,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,small,VP Infrastructure,aging
IBM-0003,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,xlarge,VP Infrastructure,aging
IBM-0004,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,large,VP Infrastructure,current
IBM-0005,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,xlarge,VP Infrastructure,current
IBM-0006,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,medium,VP Infrastructure,current
IBM-0007,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,xlarge,VP Infrastructure,aging
IBM-0008,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,small,VP Infrastructure,current
IBM-0009,IBM Z mainframe LPAR,IBM z16,Colo-Hub-A,PR/SM,,small,VP Infrastructure,aging
IBM-0010,IBM Z mainframe LPAR,IBM z16,Colo-Hub-A,PR/SM,,large,VP Infrastructure,aging
IBM-0011,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,small,VP Infrastructure,current
IBM-0012,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,large,VP Infrastructure,current
IBM-0013,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,large,VP Infrastructure,current
IBM-0014,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,medium,VP Infrastructure,current
IBM-0015,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,large,VP Infrastructure,current
IBM-0016,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,xlarge,VP Infrastructure,current
IBM-0017,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,large,VP Infrastructure,aging
IBM-0018,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,xlarge,VP Infrastructure,aging
IBM-0019,IBM Z mainframe LPAR,IBM z16,Colo-Hub-A,PR/SM,,large,VP Infrastructure,current
IBM-0020,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,small,VP Infrastructure,aging
IBM-0021,IBM Z mainframe LPAR,IBM z16,Colo-Hub-A,PR/SM,,large,VP Infrastructure,current
IBM-0022,IBM Z mainframe LPAR,IBM z16,Colo-Hub-A,PR/SM,,xlarge,VP Infrastructure,current
IBM-0023,IBM Z mainframe LPAR,IBM z16,Colo-Hub-A,PR/SM,,medium,VP Infrastructure,current
IBM-0024,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,small,VP Infrastructure,aging
IBM-0025,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,large,VP Infrastructure,current
IBM-0026,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,large,VP Infrastructure,aging
IBM-0027,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,medium,VP Infrastructure,current
IBM-0028,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,xlarge,VP Infrastructure,current
IBM-0029,IBM Z mainframe LPAR,IBM z16,Colo-Hub-A,PR/SM,,medium,VP Infrastructure,current
IBM-0030,IBM Z mainframe LPAR,IBM z16,Colo-Hub-A,PR/SM,,small,VP Infrastructure,current
IBM-0031,IBM Z mainframe LPAR,IBM z16,Colo-Hub-A,PR/SM,,large,VP Infrastructure,current
IBM-0032,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,large,VP Infrastructure,aging
IBM-0033,IBM Z mainframe LPAR,IBM z16,Colo-Hub-A,PR/SM,,small,VP Infrastructure,aging
IBM-0034,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,medium,VP Infrastructure,aging
