team_id,measured_at,deploy_freq_per_week,lead_time_hours,mttr_hours,change_failure_rate_pct
TEAM-001,2026-05-31,12.6,109,3.1,17.5
TEAM-002,2026-05-31,2.5,112,3.3,3.1
TEAM-003,2026-05-31,4.2,26,1.3,2.4
TEAM-004,2026-05-31,13.6,207,22.6,11.7
TEAM-005,2026-05-31,4.9,74,0.6,9.3
TEAM-006,2026-05-31,7.5,172,6.8,12.8
TEAM-007,2026-05-31,6.0,38,18.6,4.0
TEAM-008,2026-05-31,13.8,154,15.2,14.6
TEAM-009,2026-05-31,5.5,18,21.0,20.5
TEAM-010,2026-05-31,13.3,229,0.2,11.5
TEAM-011,2026-05-31,5.4,197,7.2,19.7
TEAM-012,2026-05-31,13.8,92,22.1,19.1
TEAM-013,2026-05-31,13.2,143,5.7,1.7
TEAM-014,2026-05-31,8.4,57,9.0,17.4
TEAM-015,2026-05-31,6.9,214,23.0,6.9
TEAM-016,2026-05-31,11.6,184,18.5,14.3
TEAM-017,2026-05-31,13.8,14,19.1,17.7
TEAM-018,2026-05-31,2.3,216,13.7,16.6
TEAM-019,2026-05-31,13.8,96,2.6,22.8
TEAM-020,2026-05-31,10.9,214,3.4,18.0
TEAM-021,2026-05-31,12.1,88,13.4,1.4
TEAM-022,2026-05-31,0.3,81,8.5,5.6
TEAM-023,2026-05-31,1.9,43,6.4,6.8
TEAM-024,2026-05-31,13.4,147,14.7,15.5
TEAM-025,2026-05-31,10.7,162,17.8,4.1
TEAM-026,2026-05-31,7.2,99,21.9,5.4
TEAM-027,2026-05-31,8.9,113,0.2,23.6
TEAM-028,2026-05-31,2.8,236,20.2,11.8
TEAM-029,2026-05-31,9.6,226,17.7,12.9
TEAM-030,2026-05-31,8.4,189,3.8,6.4
TEAM-031,2026-05-31,5.3,127,12.9,15.4
TEAM-032,2026-05-31,3.5,208,1.8,7.2
TEAM-033,2026-05-31,6.6,172,2.5,17.1
TEAM-034,2026-05-31,6.0,68,23.7,1.2
TEAM-035,2026-05-31,2.3,30,2.5,5.6
TEAM-036,2026-05-31,10.3,37,12.3,23.9
TEAM-037,2026-05-31,2.6,149,4.0,7.2
TEAM-038,2026-05-31,4.5,124,0.3,12.4
TEAM-039,2026-05-31,12.6,173,7.9,23.6
TEAM-040,2026-05-31,5.7,128,7.7,7.5
