tenant_key,surface,dimension,expected_mode,story_block_id,rendered_title,route,status
skyharbor-air,home_overview,Overview,approved-artifact,SHA-BLK-000,SkyHarbor Air: Enterprise Context at a Glance,/home?client=skyharbor,Pass
skyharbor-air,knowledge_dimension,Enterprise Profile,approved-artifact,SHA-BLK-01,Who SkyHarbor Air Is as an Enterprise,/home?client=skyharbor&dimension=Enterprise+Profile,Pass
skyharbor-air,knowledge_dimension,Applications & Systems,approved-artifact,SHA-BLK-05,System Landscape: Complex and Partially Integrated,/home?client=skyharbor&dimension=Applications+%26+Systems,Pass
skyharbor-air,knowledge_dimension,Data Assets & Integrations,approved-artifact,SHA-BLK-06,Data Foundations: Fragmented and Not Yet Certified,/home?client=skyharbor&dimension=Data+Assets+%26+Integrations,Pass
skyharbor-air,knowledge_dimension,Vendors & Contracts,approved-artifact,SHA-BLK-08,"Vendor Ecosystem: High Dependency, Unvalidated Controls",/home?client=skyharbor&dimension=Vendors+%26+Contracts,Pass
skyharbor-air,knowledge_dimension,Metrics & Outcomes,approved-artifact,SHA-BLK-15,"Metrics: Baselines Absent, Outcomes Not Yet Measurable",/home?client=skyharbor&dimension=Metrics+%26+Outcomes,Pass
skyharbor-air,home_evidence_gaps,Home Evidence Gaps,approved-artifact,governed-gap-rollup,51 evidence gap groups available,/home?client=skyharbor,Pass
skyharbor-air,home_use_cases,Home Use Cases,approved-artifact,ai-automation-dimension,AI & Automation Use Cases evidence preview,/home?client=skyharbor&dimension=AI%20%26%20Automation%20Use%20Cases,Pass
first-capital,home_overview,Overview,approved-artifact,FCF-BLK-000,First Capital Financial: Enterprise Context at a Glance,/home?client=arcturus,Pass
first-capital,knowledge_dimension,Enterprise Profile,approved-artifact,FCF-BLK-001,Regulated Regional Bank with High Control Expectations,/home?client=arcturus&dimension=Enterprise+Profile,Pass
first-capital,knowledge_dimension,Applications & Systems,approved-artifact,FCF-BLK-005,Twelve-System Estate with Critical Integration and Lineage Gaps,/home?client=arcturus&dimension=Applications+%26+Systems,Pass
first-capital,knowledge_dimension,Data Assets & Integrations,approved-artifact,FCF-BLK-006,"Data Lineage Fragmented Across Marts, Warehouses, and Manual Files",/home?client=arcturus&dimension=Data+Assets+%26+Integrations,Pass
first-capital,knowledge_dimension,Vendors & Contracts,approved-artifact,FCF-BLK-008,"Eight Vendors with Unreconciled SLAs, Invoices, and Third-Party Risk",/home?client=arcturus&dimension=Vendors+%26+Contracts,Pass
first-capital,knowledge_dimension,Metrics & Outcomes,approved-artifact,FCF-BLK-015,No Finance-Approved Baselines or Outcome Metrics Are Confirmed,/home?client=arcturus&dimension=Metrics+%26+Outcomes,Pass
first-capital,home_evidence_gaps,Home Evidence Gaps,approved-artifact,governed-gap-rollup,51 evidence gap groups available,/home?client=arcturus,Pass
first-capital,home_use_cases,Home Use Cases,approved-artifact,ai-automation-dimension,AI & Automation Use Cases evidence preview,/home?client=arcturus&dimension=AI%20%26%20Automation%20Use%20Cases,Pass
meridian-health,home_overview,Overview,approved-artifact,BLK-000-OVERVIEW,Meridian Health System: Enterprise Transformation Readiness Overview,/home?client=meridian,Pass
meridian-health,knowledge_dimension,Enterprise Profile,approved-artifact,BLK-01-ENTERPRISE-PROFILE,Who Meridian Is as an Enterprise,/home?client=meridian&dimension=Enterprise+Profile,Pass
meridian-health,knowledge_dimension,Applications & Systems,approved-artifact,BLK-05-APPLICATIONS-SYSTEMS,Application Landscape Complexity and Integration Risk,/home?client=meridian&dimension=Applications+%26+Systems,Pass
meridian-health,knowledge_dimension,Data Assets & Integrations,approved-artifact,BLK-06-DATA-ASSETS,Data Asset Fragmentation Blocking Decision-Grade Intelligence,/home?client=meridian&dimension=Data+Assets+%26+Integrations,Pass
meridian-health,knowledge_dimension,Vendors & Contracts,approved-artifact,BLK-08-VENDORS-CONTRACTS,Vendor Dependency Map Requires Evidence Before Advisory Action,/home?client=meridian&dimension=Vendors+%26+Contracts,Pass
meridian-health,knowledge_dimension,Metrics & Outcomes,approved-artifact,BLK-15-METRICS-OUTCOMES,"Baseline Metrics Are Absent Across Clinical, Finance, and Operations",/home?client=meridian&dimension=Metrics+%26+Outcomes,Pass
meridian-health,home_evidence_gaps,Home Evidence Gaps,approved-artifact,governed-gap-rollup,50 evidence gap groups available,/home?client=meridian,Pass
meridian-health,home_use_cases,Home Use Cases,approved-artifact,ai-automation-dimension,AI & Automation Use Cases evidence preview,/home?client=meridian&dimension=AI%20%26%20Automation%20Use%20Cases,Pass
